Reaction,Cluster,tSNE1,tSNE2,tSNE3
12PPDStex,4,0.5910893,-17.256329,-2.3727617
12PPDStpp_copy2,4,0.88665646,-17.062712,-2.4396884
12PPDt,4,-17.555403,-16.640482,6.0603266
2HH24DDH1_copy2,3,-3.5027566,15.206095,21.575438
3OAR140,5,6.072316,25.01345,1.236562
3OAS140,5,7.40082,25.89993,0.92358404
5DGLCNR,2,8.351015,0.5275904,-12.94317
5DGLCNt2rpp,2,12.843448,2.7942183,-1.2547667
5DGLCNtex,2,12.503911,2.822546,-1.1127374
5DOAN,1,-21.491728,-8.741446,-8.065277
A5PISO,4,6.020558,-30.368666,-4.958437
AACPS3,4,-12.309236,-22.353716,-0.42280084
AACPS4,1,-33.238857,-7.788707,-7.970149
AACPS7,5,7.40082,25.89993,0.92358404
ABUTt2pp,2,31.270365,-1.7377158,3.0233886
ACACT1r,5,1.8744262,12.812097,-7.3221245
ACACT2r,5,2.671818,11.549068,-7.151787
ACACT3r,5,0.86511034,6.051923,-6.087664
ACACT4r,5,-3.066647,4.810036,-6.0580025
ACACT5r,5,-2.9020097,4.980095,-4.9135427
ACACT6r,5,-1.6176552,31.53232,-1.9956331
ACACT7r,5,-2.9077017,31.580252,-3.7564232
ACALD,3,-9.260283,-3.1288707,18.376293
ACALDtex,3,-8.632818,-3.0349367,19.54624
ACALDtpp,3,-8.632818,-3.0349367,19.54624
ACCOAC,5,6.279984,25.675228,-0.235253
ACCOAL,2,28.38627,8.213851,-2.1287732
ACHBS,5,15.007464,22.716484,-8.007628
ACKr,1,-18.074312,3.6112344,21.275848
ACLS,2,15.02996,5.527235,2.67384
ACOAD1f,4,-5.01715,-22.08004,10.316209
ACOAD2f,4,-5.8690453,-21.944626,11.474582
ACOAD3f,4,-4.5083284,-21.474531,11.399336
ACOAD4f,4,-6.005234,-21.174316,10.262872
ACOAD5f,4,-5.4819517,-20.5569,11.329852
ACOAD6f,4,-0.87825555,-15.021337,5.68161
ACOAD7f,4,-1.7207875,-14.046396,1.0801694
ACONTa,2,17.21051,-13.050959,-2.0784748
ACONTb,2,17.704794,-14.231353,-2.7669804
ACPPAT160,1,-15.896668,-7.8057623,3.1163366
ACPPAT161,1,-16.709536,-9.016545,4.5070214
ACS,3,22.85372,1.0596296,16.786842
ACt2rpp,1,-18.648767,3.6714225,21.615757
ACt4pp,3,19.684067,1.3769419,17.151653
ACtex,2,19.680199,-4.6840186,-14.385556
ADCL,0,-9.613814,0.66041994,-25.88744
ADCS,0,-10.552593,1.1304367,-26.923927
ADEt2rpp,0,10.961267,-17.685272,-18.012276
ADEtex,0,11.8416605,-16.915483,-18.186405
ADK1,3,-11.660621,1.7908112,22.60815
ADK3,3,-7.0173583,1.3194689,20.217035
ADNK1,0,-2.434406,-2.21387,-17.261251
ADNt2pp,2,4.8061066,1.7963421,2.7990594
ADNt2pp_copy1,5,3.7881541,10.501304,5.366891
ADNt2pp_copy2,3,0.974244,4.389174,18.309923
ADNtex,3,9.896774,9.123026,14.817356
ADPT,0,-2.6501148,-1.3636204,-18.018103
ADSK,1,-31.899885,-4.6032243,6.907948
ADSL1r,5,-1.6003422,7.895745,-9.588592
ADSL2r,5,5.2674394,19.510626,11.524996
ADSS,5,-1.7534741,8.139051,-9.370764
AGMPTRCtpp,4,-8.939973,-19.174139,15.31604
AGPAT160,1,-18.093868,-11.381042,8.904464
AGPAT161,1,-17.620697,-14.2173195,11.22515
AHCYSNS,1,-30.145012,9.204072,3.4595478
AICART,5,-0.23639905,9.138204,-2.3446906
AIRC2,5,5.552381,18.453194,12.223182
AIRC3,4,-2.06544,-17.375957,7.684816
AKGDH,2,12.230605,-3.5732062,1.8677876
AKGt2rpp,4,11.086233,-24.702559,11.132714
AKGtex,4,10.360327,-25.196709,10.879651
ALAALAr,1,-9.055248,-1.1986959,0.0018812824
ALAR,0,-9.942334,-8.211886,-5.4166923
ALATA_L,3,-11.100151,1.419281,22.952185
ALAt2pp_copy2,1,-21.521324,3.9179235,20.36663
ALAt4pp,3,19.596243,-2.0631733,19.575144
ALAtex,3,6.1055927,-5.224807,11.311023
ALCD19,3,1.7324605,3.932464,23.20994
ALCD2x,4,10.844274,-26.012972,12.756393
AMPMS2,1,-21.932413,-0.5975003,-3.8843586
