community	medium	receiver	donor	compound	scs	mus	mps	smetana
all	minimal	ic_1306	iNRG857_1313	M_cu2_e	0.5	1.0	1	0.5
all	minimal	ic_1306	iNRG857_1313	M_cys__L_e	0.5	1.0	1	0.5
all	minimal	ic_1306	iNRG857_1313	M_fe3_e	0.5	1.0	1	0.5
all	minimal	ic_1306	iNRG857_1313	M_indole_e	0.5	1.0	1	0.5
all	minimal	ic_1306	iNRG857_1313	M_pi_e	0.5	1.0	1	0.5
all	minimal	ic_1306	iCN900	M_pi_e	1.0	1.0	1	1.0
all	minimal	ic_1306	iUMNK88_1353	M_cu2_e	0.5	1.0	1	0.5
all	minimal	ic_1306	iUMNK88_1353	M_cys__L_e	0.5	1.0	1	0.5
all	minimal	ic_1306	iUMNK88_1353	M_fe3_e	0.5	1.0	1	0.5
all	minimal	ic_1306	iUMNK88_1353	M_indole_e	0.5	1.0	1	0.5
all	minimal	ic_1306	iUMNK88_1353	M_pi_e	0.5	1.0	1	0.5
all	minimal	iECSF_1327	iNRG857_1313	M_cys__L_e	0.5	1.0	1	0.5
all	minimal	iECSF_1327	iNRG857_1313	M_fe3_e	0.5	1.0	1	0.5
all	minimal	iECSF_1327	iNRG857_1313	M_pi_e	0.5	1.0	1	0.5
all	minimal	iECSF_1327	iCN900	M_pi_e	1.0	1.0	1	1.0
all	minimal	iECSF_1327	iUMNK88_1353	M_cys__L_e	0.5	1.0	1	0.5
all	minimal	iECSF_1327	iUMNK88_1353	M_fe3_e	0.5	1.0	1	0.5
all	minimal	iECSF_1327	iUMNK88_1353	M_pi_e	0.5	1.0	1	0.5
all	minimal	iNRG857_1313	iCN900	M_pi_e	1.0	1.0	1	1.0
all	minimal	iCN900	iNRG857_1313	M_ac_e	0.5	0.08	1	0.04
all	minimal	iCN900	iNRG857_1313	M_adn_e	0.5	0.05	1	0.025
all	minimal	iCN900	iNRG857_1313	M_akg_e	0.5	0.02	1	0.01
all	minimal	iCN900	iNRG857_1313	M_ala__L_e	0.5	0.02	1	0.01
all	minimal	iCN900	iNRG857_1313	M_arg__L_e	0.5	0.18	1	0.09
all	minimal	iCN900	iNRG857_1313	M_asn__L_e	0.5	0.13	1	0.065
all	minimal	iCN900	iNRG857_1313	M_asp__L_e	0.5	0.02	1	0.01
all	minimal	iCN900	iNRG857_1313	M_cys__L_e	0.5	0.79	1	0.395
all	minimal	iCN900	iNRG857_1313	M_etha_e	0.5	0.14	1	0.07
all	minimal	iCN900	iNRG857_1313	M_etoh_e	0.5	0.18	1	0.09
all	minimal	iCN900	iNRG857_1313	M_for_e	0.5	0.09	1	0.045
all	minimal	iCN900	iNRG857_1313	M_glu__L_e	0.5	0.02	1	0.01
all	minimal	iCN900	iNRG857_1313	M_gly_e	0.5	0.29	1	0.145
all	minimal	iCN900	iNRG857_1313	M_glyc_e	0.5	0.02	1	0.01
all	minimal	iCN900	iNRG857_1313	M_gthrd_e	0.5	0.21	1	0.105
all	minimal	iCN900	iNRG857_1313	M_h_e	0.5	0.38	1	0.19
all	minimal	iCN900	iNRG857_1313	M_his__L_e	0.5	0.01	1	0.005
all	minimal	iCN900	iNRG857_1313	M_hxan_e	0.5	0.02	1	0.01
all	minimal	iCN900	iNRG857_1313	M_ins_e	0.5	0.07	1	0.035
all	minimal	iCN900	iNRG857_1313	M_lac__L_e	0.5	0.14	1	0.07
all	minimal	iCN900	iNRG857_1313	M_leu__L_e	0.5	1.0	1	0.5
all	minimal	iCN900	iNRG857_1313	M_lys__L_e	0.5	0.01	1	0.005
all	minimal	iCN900	iNRG857_1313	M_mal__L_e	0.5	0.02	1	0.01
all	minimal	iCN900	iNRG857_1313	M_nh4_e	0.5	0.08	1	0.04
all	minimal	iCN900	iNRG857_1313	M_phe__L_e	0.5	0.01	1	0.005
all	minimal	iCN900	iNRG857_1313	M_ser__L_e	0.5	0.02	1	0.01
all	minimal	iCN900	iNRG857_1313	M_thr__L_e	0.5	0.02	1	0.01
all	minimal	iCN900	iNRG857_1313	M_trp__L_e	0.5	1.0	1	0.5
all	minimal	iCN900	iNRG857_1313	M_uri_e	0.5	0.05	1	0.025
all	minimal	iCN900	iNRG857_1313	M_val__L_e	0.5	1.0	1	0.5
all	minimal	iCN900	iNRG857_1313	M_xan_e	0.5	0.01	1	0.005
all	minimal	iCN900	iUMNK88_1353	M_ac_e	0.5	0.08	1	0.04
all	minimal	iCN900	iUMNK88_1353	M_adn_e	0.5	0.05	1	0.025
all	minimal	iCN900	iUMNK88_1353	M_akg_e	0.5	0.02	1	0.01
all	minimal	iCN900	iUMNK88_1353	M_ala__L_e	0.5	0.02	1	0.01
all	minimal	iCN900	iUMNK88_1353	M_arg__L_e	0.5	0.18	1	0.09
all	minimal	iCN900	iUMNK88_1353	M_asn__L_e	0.5	0.13	1	0.065
all	minimal	iCN900	iUMNK88_1353	M_asp__L_e	0.5	0.02	1	0.01
all	minimal	iCN900	iUMNK88_1353	M_cys__L_e	0.5	0.79	1	0.395
all	minimal	iCN900	iUMNK88_1353	M_etha_e	0.5	0.14	1	0.07
all	minimal	iCN900	iUMNK88_1353	M_etoh_e	0.5	0.18	1	0.09
all	minimal	iCN900	iUMNK88_1353	M_for_e	0.5	0.09	1	0.045
all	minimal	iCN900	iUMNK88_1353	M_glu__L_e	0.5	0.02	1	0.01
all	minimal	iCN900	iUMNK88_1353	M_gly_e	0.5	0.29	1	0.145
all	minimal	iCN900	iUMNK88_1353	M_glyc_e	0.5	0.02	1	0.01
all	minimal	iCN900	iUMNK88_1353	M_gthrd_e	0.5	0.21	1	0.105
all	minimal	iCN900	iUMNK88_1353	M_h_e	0.5	0.38	1	0.19
all	minimal	iCN900	iUMNK88_1353	M_his__L_e	0.5	0.01	1	0.005
all	minimal	iCN900	iUMNK88_1353	M_hxan_e	0.5	0.02	1	0.01
all	minimal	iCN900	iUMNK88_1353	M_ins_e	0.5	0.07	1	0.035
all	minimal	iCN900	iUMNK88_1353	M_lac__L_e	0.5	0.14	1	0.07
all	minimal	iCN900	iUMNK88_1353	M_leu__L_e	0.5	1.0	1	0.5
all	minimal	iCN900	iUMNK88_1353	M_lys__L_e	0.5	0.01	1	0.005
all	minimal	iCN900	iUMNK88_1353	M_mal__L_e	0.5	0.02	1	0.01
all	minimal	iCN900	iUMNK88_1353	M_nh4_e	0.5	0.08	1	0.04
all	minimal	iCN900	iUMNK88_1353	M_phe__L_e	0.5	0.01	1	0.005
all	minimal	iCN900	iUMNK88_1353	M_ser__L_e	0.5	0.02	1	0.01
all	minimal	iCN900	iUMNK88_1353	M_thr__L_e	0.5	0.02	1	0.01
all	minimal	iCN900	iUMNK88_1353	M_trp__L_e	0.5	1.0	1	0.5
all	minimal	iCN900	iUMNK88_1353	M_uri_e	0.5	0.05	1	0.025
all	minimal	iCN900	iUMNK88_1353	M_val__L_e	0.5	1.0	1	0.5
all	minimal	iCN900	iUMNK88_1353	M_xan_e	0.5	0.01	1	0.005
all	minimal	iEcSMS35_1347	iNRG857_1313	M_acald_e	0.5	0.02	1	0.01
all	minimal	iEcSMS35_1347	iNRG857_1313	M_cu2_e	0.5	0.01	1	0.005
all	minimal	iEcSMS35_1347	iNRG857_1313	M_cys__L_e	0.5	0.97	1	0.485
all	minimal	iEcSMS35_1347	iNRG857_1313	M_etha_e	0.5	0.01	1	0.005
all	minimal	iEcSMS35_1347	iNRG857_1313	M_etoh_e	0.5	0.97	1	0.485
all	minimal	iEcSMS35_1347	iNRG857_1313	M_fe3_e	0.5	0.95	1	0.475
all	minimal	iEcSMS35_1347	iNRG857_1313	M_nh4_e	0.5	0.02	1	0.01
all	minimal	iEcSMS35_1347	iNRG857_1313	M_pi_e	0.5	1.0	1	0.5
all	minimal	iEcSMS35_1347	iCN900	M_etoh_e	1.0	0.97	1	0.97
all	minimal	iEcSMS35_1347	iCN900	M_nh4_e	1.0	0.02	1	0.02
all	minimal	iEcSMS35_1347	iCN900	M_pi_e	1.0	1.0	1	1.0
all	minimal	iEcSMS35_1347	iUMNK88_1353	M_acald_e	0.5	0.02	1	0.01
all	minimal	iEcSMS35_1347	iUMNK88_1353	M_cu2_e	0.5	0.01	1	0.005
all	minimal	iEcSMS35_1347	iUMNK88_1353	M_cys__L_e	0.5	0.97	1	0.485
all	minimal	iEcSMS35_1347	iUMNK88_1353	M_etha_e	0.5	0.01	1	0.005
all	minimal	iEcSMS35_1347	iUMNK88_1353	M_etoh_e	0.5	0.97	1	0.485
