community	medium	receiver	donor	compound	scs	mus	mps	smetana
all	minimal	ic_1306	iNRG857_1313	M_cu2_e	0.5	1.0	1	0.5
all	minimal	ic_1306	iNRG857_1313	M_cys__L_e	0.5	1.0	1	0.5
all	minimal	ic_1306	iNRG857_1313	M_fe2_e	0.5	1.0	1	0.5
all	minimal	ic_1306	iNRG857_1313	M_indole_e	0.5	1.0	1	0.5
all	minimal	ic_1306	iYL1228	M_cu2_e	1.0	1.0	1	1.0
all	minimal	ic_1306	iYL1228	M_cys__L_e	1.0	1.0	1	1.0
all	minimal	ic_1306	iYL1228	M_fe2_e	1.0	1.0	1	1.0
all	minimal	ic_1306	iYL1228	M_indole_e	1.0	1.0	1	1.0
all	minimal	ic_1306	iYL1228	M_o2_e	1.0	1.0	1	1.0
all	minimal	ic_1306	iUMNK88_1353	M_cu2_e	0.5	1.0	1	0.5
all	minimal	ic_1306	iUMNK88_1353	M_cys__L_e	0.5	1.0	1	0.5
all	minimal	ic_1306	iUMNK88_1353	M_fe2_e	0.5	1.0	1	0.5
all	minimal	ic_1306	iUMNK88_1353	M_indole_e	0.5	1.0	1	0.5
all	minimal	iECSF_1327	iNRG857_1313	M_cu2_e	0.5	1.0	1	0.5
all	minimal	iECSF_1327	iNRG857_1313	M_cys__L_e	0.5	1.0	1	0.5
all	minimal	iECSF_1327	iNRG857_1313	M_fe2_e	0.5	1.0	1	0.5
all	minimal	iECSF_1327	iYL1228	M_cu2_e	1.0	1.0	1	1.0
all	minimal	iECSF_1327	iYL1228	M_cys__L_e	1.0	1.0	1	1.0
all	minimal	iECSF_1327	iYL1228	M_fe2_e	1.0	1.0	1	1.0
all	minimal	iECSF_1327	iYL1228	M_o2_e	1.0	1.0	1	1.0
all	minimal	iECSF_1327	iUMNK88_1353	M_cu2_e	0.5	1.0	1	0.5
all	minimal	iECSF_1327	iUMNK88_1353	M_cys__L_e	0.5	1.0	1	0.5
all	minimal	iECSF_1327	iUMNK88_1353	M_fe2_e	0.5	1.0	1	0.5
all	minimal	iNRG857_1313	iYL1228	M_fe2_e	1.0	1.0	1	1.0
all	minimal	iNRG857_1313	iYL1228	M_o2_e	1.0	1.0	1	1.0
all	minimal	iEcSMS35_1347	iNRG857_1313	M_acald_e	0.5	1.0	1	0.5
all	minimal	iEcSMS35_1347	iNRG857_1313	M_cys__L_e	0.5	1.0	1	0.5
all	minimal	iEcSMS35_1347	iNRG857_1313	M_fe2_e	0.5	1.0	1	0.5
all	minimal	iEcSMS35_1347	iNRG857_1313	M_pi_e	0.5	1.0	1	0.5
all	minimal	iEcSMS35_1347	iYL1228	M_acald_e	1.0	1.0	1	1.0
all	minimal	iEcSMS35_1347	iYL1228	M_cys__L_e	1.0	1.0	1	1.0
all	minimal	iEcSMS35_1347	iYL1228	M_fe2_e	1.0	1.0	1	1.0
all	minimal	iEcSMS35_1347	iYL1228	M_o2_e	1.0	1.0	1	1.0
all	minimal	iEcSMS35_1347	iYL1228	M_pi_e	1.0	1.0	1	1.0
all	minimal	iEcSMS35_1347	iUMNK88_1353	M_acald_e	0.5	1.0	1	0.5
all	minimal	iEcSMS35_1347	iUMNK88_1353	M_cys__L_e	0.5	1.0	1	0.5
all	minimal	iEcSMS35_1347	iUMNK88_1353	M_fe2_e	0.5	1.0	1	0.5
all	minimal	iEcSMS35_1347	iUMNK88_1353	M_pi_e	0.5	1.0	1	0.5
all	minimal	iSDY_1059	iNRG857_1313	M_fe2_e	0.5	1.0	1	0.5
all	minimal	iSDY_1059	iNRG857_1313	M_pi_e	0.5	1.0	1	0.5
all	minimal	iSDY_1059	iNRG857_1313	M_ptrc_e	0.5	1.0	1	0.5
all	minimal	iSDY_1059	iYL1228	M_fe2_e	1.0	1.0	1	1.0
all	minimal	iSDY_1059	iYL1228	M_o2_e	1.0	1.0	1	1.0
all	minimal	iSDY_1059	iYL1228	M_pi_e	1.0	1.0	1	1.0
all	minimal	iSDY_1059	iYL1228	M_ptrc_e	1.0	1.0	1	1.0
all	minimal	iSDY_1059	iUMNK88_1353	M_fe2_e	0.5	1.0	1	0.5
all	minimal	iSDY_1059	iUMNK88_1353	M_pi_e	0.5	1.0	1	0.5
all	minimal	iSDY_1059	iUMNK88_1353	M_ptrc_e	0.5	1.0	1	0.5
all	minimal	iEC1356_Bl21DE3	iNRG857_1313	M_cys__L_e	0.5	1.0	1	0.5
all	minimal	iEC1356_Bl21DE3	iNRG857_1313	M_fe2_e	0.5	1.0	1	0.5
all	minimal	iEC1356_Bl21DE3	iNRG857_1313	M_pi_e	0.5	1.0	1	0.5
all	minimal	iEC1356_Bl21DE3	iNRG857_1313	M_ptrc_e	0.5	1.0	1	0.5
all	minimal	iEC1356_Bl21DE3	iYL1228	M_cys__L_e	1.0	1.0	1	1.0
all	minimal	iEC1356_Bl21DE3	iYL1228	M_fe2_e	1.0	1.0	1	1.0
all	minimal	iEC1356_Bl21DE3	iYL1228	M_o2_e	1.0	1.0	1	1.0
all	minimal	iEC1356_Bl21DE3	iYL1228	M_pi_e	1.0	1.0	1	1.0
all	minimal	iEC1356_Bl21DE3	iYL1228	M_ptrc_e	1.0	1.0	1	1.0
all	minimal	iEC1356_Bl21DE3	iUMNK88_1353	M_cys__L_e	0.5	1.0	1	0.5
all	minimal	iEC1356_Bl21DE3	iUMNK88_1353	M_fe2_e	0.5	1.0	1	0.5
all	minimal	iEC1356_Bl21DE3	iUMNK88_1353	M_pi_e	0.5	1.0	1	0.5
all	minimal	iEC1356_Bl21DE3	iUMNK88_1353	M_ptrc_e	0.5	1.0	1	0.5
all	minimal	iECUMN_1333	iNRG857_1313	M_cys__L_e	0.5	0.98	1	0.49
all	minimal	iECUMN_1333	iNRG857_1313	M_fe2_e	0.5	1.0	1	0.5
all	minimal	iECUMN_1333	iNRG857_1313	M_ptrc_e	0.5	0.02	1	0.01
all	minimal	iECUMN_1333	iYL1228	M_cys__L_e	1.0	0.98	1	0.98
all	minimal	iECUMN_1333	iYL1228	M_fe2_e	1.0	1.0	1	1.0
all	minimal	iECUMN_1333	iYL1228	M_o2_e	1.0	1.0	1	1.0
all	minimal	iECUMN_1333	iYL1228	M_ptrc_e	1.0	0.02	1	0.02
all	minimal	iECUMN_1333	iUMNK88_1353	M_cys__L_e	0.5	0.98	1	0.49
all	minimal	iECUMN_1333	iUMNK88_1353	M_fe2_e	0.5	1.0	1	0.5
all	minimal	iECUMN_1333	iUMNK88_1353	M_ptrc_e	0.5	0.02	1	0.01
all	minimal	iUMNK88_1353	iYL1228	M_fe2_e	1.0	1.0	1	1.0
all	minimal	iUMNK88_1353	iYL1228	M_o2_e	1.0	1.0	1	1.0
all	minimal	iUMNK88_1353	iYL1228	M_pi_e	1.0	1.0	1	1.0
all	minimal	iECSE_1348	iNRG857_1313	M_fe2_e	0.5	1.0	1	0.5
all	minimal	iECSE_1348	iNRG857_1313	M_ptrc_e	0.5	1.0	1	0.5
all	minimal	iECSE_1348	iYL1228	M_fe2_e	1.0	1.0	1	1.0
all	minimal	iECSE_1348	iYL1228	M_o2_e	1.0	1.0	1	1.0
all	minimal	iECSE_1348	iYL1228	M_ptrc_e	1.0	1.0	1	1.0
all	minimal	iECSE_1348	iUMNK88_1353	M_fe2_e	0.5	1.0	1	0.5
all	minimal	iECSE_1348	iUMNK88_1353	M_ptrc_e	0.5	1.0	1	0.5
all	minimal	iETEC_1333	iNRG857_1313	M_cu2_e	0.5	1.0	1	0.5
all	minimal	iETEC_1333	iNRG857_1313	M_cys__L_e	0.5	0.99	1	0.495
all	minimal	iETEC_1333	iNRG857_1313	M_etha_e	0.5	0.01	1	0.005
all	minimal	iETEC_1333	iNRG857_1313	M_fe2_e	0.5	0.93	1	0.465
all	minimal	iETEC_1333	iYL1228	M_cu2_e	1.0	1.0	1	1.0
all	minimal	iETEC_1333	iYL1228	M_cys__L_e	1.0	0.99	1	0.99
all	minimal	iETEC_1333	iYL1228	M_etha_e	1.0	0.01	1	0.01
all	minimal	iETEC_1333	iYL1228	M_fe2_e	1.0	0.93	1	0.93
all	minimal	iETEC_1333	iYL1228	M_o2_e	1.0	1.0	1	1.0
all	minimal	iETEC_1333	iUMNK88_1353	M_cu2_e	0.5	1.0	1	0.5
all	minimal	iETEC_1333	iUMNK88_1353	M_cys__L_e	0.5	0.99	1	0.495
all	minimal	iETEC_1333	iUMNK88_1353	M_etha_e	0.5	0.01	1	0.005
