community	medium	receiver	donor	compound	scs	mus	mps	smetana
all	minimal	ic_1306	iNRG857_1313	M_cu2_e	0.5	1.0	1	0.5
all	minimal	ic_1306	iNRG857_1313	M_fe2_e	0.5	1.0	1	0.5
all	minimal	ic_1306	iNRG857_1313	M_fe3_e	0.5	1.0	1	0.5
all	minimal	ic_1306	iNRG857_1313	M_g3pg_e	0.5	1.0	1	0.5
all	minimal	ic_1306	iNRG857_1313	M_gthrd_e	0.5	1.0	1	0.5
all	minimal	ic_1306	iNRG857_1313	M_indole_e	0.5	1.0	1	0.5
all	minimal	ic_1306	iUMNK88_1353	M_cu2_e	0.5	1.0	1	0.5
all	minimal	ic_1306	iUMNK88_1353	M_fe2_e	0.5	1.0	1	0.5
all	minimal	ic_1306	iUMNK88_1353	M_fe3_e	0.5	1.0	1	0.5
all	minimal	ic_1306	iUMNK88_1353	M_g3pg_e	0.5	1.0	1	0.5
all	minimal	ic_1306	iUMNK88_1353	M_gthrd_e	0.5	1.0	1	0.5
all	minimal	ic_1306	iUMNK88_1353	M_indole_e	0.5	1.0	1	0.5
all	minimal	iCN900	iNRG857_1313	M_adn_e	0.5	0.02	1	0.01
all	minimal	iCN900	iNRG857_1313	M_akg_e	0.5	0.13	1	0.065
all	minimal	iCN900	iNRG857_1313	M_ala__L_e	0.5	0.51	1	0.255
all	minimal	iCN900	iNRG857_1313	M_arg__L_e	0.5	0.02	1	0.01
all	minimal	iCN900	iNRG857_1313	M_asn__L_e	0.5	0.04	1	0.02
all	minimal	iCN900	iNRG857_1313	M_asp__L_e	0.5	0.19	1	0.095
all	minimal	iCN900	iNRG857_1313	M_co2_e	0.5	0.01	1	0.005
all	minimal	iCN900	iNRG857_1313	M_cys__L_e	0.5	0.39	1	0.195
all	minimal	iCN900	iNRG857_1313	M_etha_e	0.5	0.02	1	0.01
all	minimal	iCN900	iNRG857_1313	M_etoh_e	0.5	0.11	1	0.055
all	minimal	iCN900	iNRG857_1313	M_for_e	0.5	0.03	1	0.015
all	minimal	iCN900	iNRG857_1313	M_glu__L_e	0.5	0.14	1	0.07
all	minimal	iCN900	iNRG857_1313	M_gly_e	0.5	0.11	1	0.055
all	minimal	iCN900	iNRG857_1313	M_glyc_e	0.5	0.02	1	0.01
all	minimal	iCN900	iNRG857_1313	M_gthrd_e	0.5	0.61	1	0.305
all	minimal	iCN900	iNRG857_1313	M_h_e	0.5	0.08	1	0.04
all	minimal	iCN900	iNRG857_1313	M_hxan_e	0.5	0.01	1	0.005
all	minimal	iCN900	iNRG857_1313	M_ins_e	0.5	0.02	1	0.01
all	minimal	iCN900	iNRG857_1313	M_leu__L_e	0.5	1.0	1	0.5
all	minimal	iCN900	iNRG857_1313	M_lys__L_e	0.5	0.16	1	0.08
all	minimal	iCN900	iNRG857_1313	M_mal__L_e	0.5	0.02	1	0.01
all	minimal	iCN900	iNRG857_1313	M_phe__L_e	0.5	0.17	1	0.085
all	minimal	iCN900	iNRG857_1313	M_pi_e	0.5	0.1	1	0.05
all	minimal	iCN900	iNRG857_1313	M_ser__L_e	0.5	0.02	1	0.01
all	minimal	iCN900	iNRG857_1313	M_thr__L_e	0.5	0.08	1	0.04
all	minimal	iCN900	iNRG857_1313	M_trp__L_e	0.5	1.0	1	0.5
all	minimal	iCN900	iNRG857_1313	M_uri_e	0.5	0.02	1	0.01
all	minimal	iCN900	iNRG857_1313	M_val__L_e	0.5	1.0	1	0.5
all	minimal	iCN900	iUMNK88_1353	M_adn_e	0.5	0.02	1	0.01
all	minimal	iCN900	iUMNK88_1353	M_akg_e	0.5	0.13	1	0.065
all	minimal	iCN900	iUMNK88_1353	M_ala__L_e	0.5	0.51	1	0.255
all	minimal	iCN900	iUMNK88_1353	M_arg__L_e	0.5	0.02	1	0.01
all	minimal	iCN900	iUMNK88_1353	M_asn__L_e	0.5	0.04	1	0.02
all	minimal	iCN900	iUMNK88_1353	M_asp__L_e	0.5	0.19	1	0.095
all	minimal	iCN900	iUMNK88_1353	M_co2_e	0.5	0.01	1	0.005
all	minimal	iCN900	iUMNK88_1353	M_cys__L_e	0.5	0.39	1	0.195
all	minimal	iCN900	iUMNK88_1353	M_etha_e	0.5	0.02	1	0.01
all	minimal	iCN900	iUMNK88_1353	M_etoh_e	0.5	0.11	1	0.055
all	minimal	iCN900	iUMNK88_1353	M_for_e	0.5	0.03	1	0.015
all	minimal	iCN900	iUMNK88_1353	M_glu__L_e	0.5	0.14	1	0.07
all	minimal	iCN900	iUMNK88_1353	M_gly_e	0.5	0.11	1	0.055
all	minimal	iCN900	iUMNK88_1353	M_glyc_e	0.5	0.02	1	0.01
all	minimal	iCN900	iUMNK88_1353	M_gthrd_e	0.5	0.61	1	0.305
all	minimal	iCN900	iUMNK88_1353	M_h_e	0.5	0.08	1	0.04
all	minimal	iCN900	iUMNK88_1353	M_hxan_e	0.5	0.01	1	0.005
all	minimal	iCN900	iUMNK88_1353	M_ins_e	0.5	0.02	1	0.01
all	minimal	iCN900	iUMNK88_1353	M_leu__L_e	0.5	1.0	1	0.5
all	minimal	iCN900	iUMNK88_1353	M_lys__L_e	0.5	0.16	1	0.08
all	minimal	iCN900	iUMNK88_1353	M_mal__L_e	0.5	0.02	1	0.01
all	minimal	iCN900	iUMNK88_1353	M_phe__L_e	0.5	0.17	1	0.085
all	minimal	iCN900	iUMNK88_1353	M_pi_e	0.5	0.1	1	0.05
all	minimal	iCN900	iUMNK88_1353	M_ser__L_e	0.5	0.02	1	0.01
all	minimal	iCN900	iUMNK88_1353	M_thr__L_e	0.5	0.08	1	0.04
all	minimal	iCN900	iUMNK88_1353	M_trp__L_e	0.5	1.0	1	0.5
all	minimal	iCN900	iUMNK88_1353	M_uri_e	0.5	0.02	1	0.01
all	minimal	iCN900	iUMNK88_1353	M_val__L_e	0.5	1.0	1	0.5
all	minimal	iECSF_1327	iNRG857_1313	M_cu2_e	0.5	1.0	1	0.5
all	minimal	iECSF_1327	iNRG857_1313	M_fe2_e	0.5	1.0	1	0.5
all	minimal	iECSF_1327	iNRG857_1313	M_fe3_e	0.5	1.0	1	0.5
