medium	description	compound	name
Gut	Defined gut environment	glc__D	D-Glucose
Gut	Defined gut environment	ac	Acetate
Gut	Defined gut environment	but	Butyrate
Gut	Defined gut environment	lac__D	D-Lactate
Gut	Defined gut environment	lac__L	L-Lactate
Gut	Defined gut environment	succ	Succinate
Gut	Defined gut environment	ala__L	L-Alanine
Gut	Defined gut environment	arg__L	L-Arginine
Gut	Defined gut environment	asn__L	L-Asparagine
Gut	Defined gut environment	asp__L	L-Aspartate
Gut	Defined gut environment	cys__L	L-Cysteine
Gut	Defined gut environment	gln__L	L-Glutamine
Gut	Defined gut environment	glu__L	L-Glutamate
Gut	Defined gut environment	gly	Glycine
Gut	Defined gut environment	his__L	L-Histidine
Gut	Defined gut environment	ile__L	L-Isoleucine
Gut	Defined gut environment	leu__L	L-Leucine
Gut	Defined gut environment	lys__L	L-Lysine
Gut	Defined gut environment	met__L	L-Methionine
Gut	Defined gut environment	phe__L	L-Phenylalanine
Gut	Defined gut environment	pro__L	L-Proline
Gut	Defined gut environment	ser__L	L-Serine
Gut	Defined gut environment	thr__L	L-Threonine
Gut	Defined gut environment	trp__L	L-Tryptophan
Gut	Defined gut environment	tyr__L	L-Tyrosine
Gut	Defined gut environment	val__L	L-Valine
Gut	Defined gut environment	ca2	Calcium ion (Ca²⁺)
Gut	Defined gut environment	cl	Chloride ion (Cl⁻)
Gut	Defined gut environment	k	Potassium ion (K⁺)
Gut	Defined gut environment	mg2	Magnesium ion (Mg²⁺)
Gut	Defined gut environment	mn2	Manganese ion (Mn²⁺)
Gut	Defined gut environment	nh4	Ammonium ion (NH₄⁺)
Gut	Defined gut environment	pi	Inorganic phosphate (HPO₄²⁻/H₂PO₄⁻)
Gut	Defined gut environment	so4	Sulfate (SO₄²⁻)
Gut	Defined gut environment	fe2	Ferrous ion (Fe²⁺)
Gut	Defined gut environment	zn2	Zinc ion (Zn²⁺)
Gut	Defined gut environment	nac	Nicotinate (Vitamin B3)
Gut	Defined gut environment	thm	Thiamine (Vitamin B1)
Gut	Defined gut environment	btn	Biotin (Vitamin B7)
Gut	Defined gut environment	pnto__R	D-Pantothenate (Vitamin B5)
Gut	Defined gut environment	ribflv	Riboflavin (Vitamin B2)
Gut	Defined gut environment	o2	Oxygen (O₂)
Gut	Defined gut environment	h2o	Water (H₂O)
Gut	Defined gut environment	co2	Carbon dioxide (CO₂)
LB[-O2]	Lysogeny broth (anaerobic)	adn	Adenosine
LB[-O2]	Lysogeny broth (anaerobic)	ala__L	L-Alanine
LB[-O2]	Lysogeny broth (anaerobic)	amp	AMP
LB[-O2]	Lysogeny broth (anaerobic)	arg__L	L-Arginine
LB[-O2]	Lysogeny broth (anaerobic)	aso3	Arsenite 
