community	medium	receiver	donor	compound	scs	mus	mps	smetana
all	minimal	ic_1306	iNRG857_1313	M_cgly_e	0.5	1.0	1	0.5
all	minimal	ic_1306	iNRG857_1313	M_fe3_e	0.5	1.0	1	0.5
all	minimal	ic_1306	iNRG857_1313	M_feoxam_e	0.5	1.0	1	0.5
all	minimal	ic_1306	iNRG857_1313	M_g3pe_e	0.5	1.0	1	0.5
all	minimal	ic_1306	iNRG857_1313	M_trp__L_e	0.5	1.0	1	0.5
all	minimal	ic_1306	iYL1228	M_cgly_e	1.0	1.0	1	1.0
all	minimal	ic_1306	iYL1228	M_fe3_e	1.0	1.0	1	1.0
all	minimal	ic_1306	iYL1228	M_g3pe_e	1.0	1.0	1	1.0
all	minimal	ic_1306	iYL1228	M_o2_e	1.0	1.0	1	1.0
all	minimal	ic_1306	iYL1228	M_trp__L_e	1.0	1.0	1	1.0
all	minimal	ic_1306	iUMNK88_1353	M_cgly_e	0.5	1.0	1	0.5
all	minimal	ic_1306	iUMNK88_1353	M_fe3_e	0.5	1.0	1	0.5
all	minimal	ic_1306	iUMNK88_1353	M_feoxam_e	0.5	1.0	1	0.5
all	minimal	ic_1306	iUMNK88_1353	M_g3pe_e	0.5	1.0	1	0.5
all	minimal	ic_1306	iUMNK88_1353	M_trp__L_e	0.5	1.0	1	0.5
all	minimal	iECSF_1327	iNRG857_1313	M_cgly_e	0.5	0.04	1	0.02
all	minimal	iECSF_1327	iNRG857_1313	M_fe3_e	0.5	0.96	1	0.48
all	minimal	iECSF_1327	iNRG857_1313	M_fecrm_e	0.5	0.04	1	0.02
all	minimal	iECSF_1327	iNRG857_1313	M_g3pe_e	0.5	0.04	1	0.02
all	minimal	iECSF_1327	iNRG857_1313	M_g3pg_e	0.5	0.96	1	0.48
all	minimal	iECSF_1327	iNRG857_1313	M_gthrd_e	0.5	0.96	1	0.48
all	minimal	iECSF_1327	iYL1228	M_cgly_e	1.0	0.04	1	0.04
all	minimal	iECSF_1327	iYL1228	M_fe3_e	1.0	0.96	1	0.96
all	minimal	iECSF_1327	iYL1228	M_g3pe_e	1.0	0.04	1	0.04
all	minimal	iECSF_1327	iYL1228	M_g3pg_e	1.0	0.96	1	0.96
all	minimal	iECSF_1327	iYL1228	M_gthrd_e	1.0	0.96	1	0.96
all	minimal	iECSF_1327	iYL1228	M_o2_e	1.0	1.0	1	1.0
all	minimal	iECSF_1327	iUMNK88_1353	M_cgly_e	0.5	0.04	1	0.02
all	minimal	iECSF_1327	iUMNK88_1353	M_fe3_e	0.5	0.96	1	0.48
all	minimal	iECSF_1327	iUMNK88_1353	M_fecrm_e	0.5	0.04	1	0.02
all	minimal	iECSF_1327	iUMNK88_1353	M_g3pe_e	0.5	0.04	1	0.02
all	minimal	iECSF_1327	iUMNK88_1353	M_g3pg_e	0.5	0.96	1	0.48
all	minimal	iECSF_1327	iUMNK88_1353	M_gthrd_e	0.5	0.96	1	0.48
all	minimal	iNRG857_1313	iYL1228	M_fe3_e	1.0	1.0	1	1.0
all	minimal	iNRG857_1313	iYL1228	M_glyc3p_e	1.0	1.0	1	1.0
all	minimal	iNRG857_1313	iYL1228	M_gthrd_e	1.0	1.0	1	1.0
all	minimal	iNRG857_1313	iYL1228	M_o2_e	1.0	1.0	1	1.0
all	minimal	iYL1228	iNRG857_1313	M_12ppd__S_e	0.5	0.01	1	0.005
all	minimal	iYL1228	iNRG857_1313	M_LalaDgluMdapDala_e	0.5	0.02	1	0.01
all	minimal	iYL1228	iNRG857_1313	M_LalaDgluMdap_e	0.5	0.03	1	0.015
all	minimal	iYL1228	iNRG857_1313	M_acald_e	0.5	0.01	1	0.005
all	minimal	iYL1228	iNRG857_1313	M_ade_e	0.5	0.02	1	0.01
all	minimal	iYL1228	iNRG857_1313	M_adn_e	0.5	0.05	1	0.025
all	minimal	iYL1228	iNRG857_1313	M_agm_e	0.5	0.02	1	0.01
all	minimal	iYL1228	iNRG857_1313	M_ala__D_e	0.5	0.02	1	0.01
all	minimal	iYL1228	iNRG857_1313	M_ala__L_e	0.5	0.02	1	0.01
all	minimal	iYL1228	iNRG857_1313	M_alaala_e	0.5	0.03	1	0.015
all	minimal	iYL1228	iNRG857_1313	M_arg__L_e	0.5	0.04	1	0.02
all	minimal	iYL1228	iNRG857_1313	M_asn__L_e	0.5	0.02	1	0.01
all	minimal	iYL1228	iNRG857_1313	M_asp__L_e	0.5	0.02	1	0.01
all	minimal	iYL1228	iNRG857_1313	M_cgly_e	0.5	0.17	1	0.085
all	minimal	iYL1228	iNRG857_1313	M_cit_e	0.5	0.04	1	0.02
all	minimal	iYL1228	iNRG857_1313	M_cys__L_e	0.5	0.55	1	0.275
all	minimal	iYL1228	iNRG857_1313	M_cytd_e	0.5	0.05	1	0.025
all	minimal	iYL1228	iNRG857_1313	M_dha_e	0.5	0.02	1	0.01
all	minimal	iYL1228	iNRG857_1313	M_etha_e	0.5	0.03	1	0.015
all	minimal	iYL1228	iNRG857_1313	M_etoh_e	0.5	0.02	1	0.01
all	minimal	iYL1228	iNRG857_1313	M_g3pe_e	0.5	0.03	1	0.015
all	minimal	iYL1228	iNRG857_1313	M_g3pg_e	0.5	0.25	1	0.125
all	minimal	iYL1228	iNRG857_1313	M_glu__L_e	0.5	0.02	1	0.01
all	minimal	iYL1228	iNRG857_1313	M_gly_e	0.5	0.04	1	0.02
all	minimal	iYL1228	iNRG857_1313	M_glyald_e	0.5	0.02	1	0.01
all	minimal	iYL1228	iNRG857_1313	M_glyc3p_e	0.5	0.24	1	0.12
all	minimal	iYL1228	iNRG857_1313	M_glyc__R_e	0.5	0.02	1	0.01
all	minimal	iYL1228	iNRG857_1313	M_glyc_e	0.5	0.03	1	0.015
all	minimal	iYL1228	iNRG857_1313	M_gthrd_e	0.5	0.28	1	0.14
all	minimal	iYL1228	iNRG857_1313	M_gua_e	0.5	0.02	1	0.01
all	minimal	iYL1228	iNRG857_1313	M_h_e	0.5	0.03	1	0.015
all	minimal	iYL1228	iNRG857_1313	M_his__L_e	0.5	0.03	1	0.015
all	minimal	iYL1228	iNRG857_1313	M_ins_e	0.5	0.06	1	0.03
all	minimal	iYL1228	iNRG857_1313	M_lac__D_e	0.5	0.02	1	0.01
all	minimal	iYL1228	iNRG857_1313	M_mal__L_e	0.5	0.02	1	0.01
all	minimal	iYL1228	iNRG857_1313	M_nh4_e	0.5	0.05	1	0.025
all	minimal	iYL1228	iNRG857_1313	M_orn_e	0.5	0.02	1	0.01
all	minimal	iYL1228	iNRG857_1313	M_pi_e	0.5	0.48	1	0.24
all	minimal	iYL1228	iNRG857_1313	M_ptrc_e	0.5	0.03	1	0.015
all	minimal	iYL1228	iNRG857_1313	M_pyr_e	0.5	0.02	1	0.01
all	minimal	iYL1228	iNRG857_1313	M_ser__L_e	0.5	0.05	1	0.025
all	minimal	iYL1228	iNRG857_1313	M_thymd_e	0.5	0.02	1	0.01
all	minimal	iYL1228	iNRG857_1313	M_urea_e	0.5	0.03	1	0.015
all	minimal	iYL1228	iNRG857_1313	M_uri_e	0.5	0.06	1	0.03
all	minimal	iYL1228	iNRG857_1313	M_xan_e	0.5	0.01	1	0.005
all	minimal	iYL1228	iUMNK88_1353	M_12ppd__S_e	0.5	0.01	1	0.005
all	minimal	iYL1228	iUMNK88_1353	M_LalaDgluMdapDala_e	0.5	0.02	1	0.01
all	minimal	iYL1228	iUMNK88_1353	M_LalaDgluMdap_e	0.5	0.03	1	0.015
all	minimal	iYL1228	iUMNK88_1353	M_acald_e	0.5	0.01	1	0.005
all	minimal	iYL1228	iUMNK88_1353	M_ade_e	0.5	0.02	1	0.01
all	minimal	iYL1228	iUMNK88_1353	M_adn_e	0.5	0.05	1	0.025
all	minimal	iYL1228	iUMNK88_1353	M_agm_e	0.5	0.02	1	0.01
all	minimal	iYL1228	iUMNK88_1353	M_ala__D_e	0.5	0.02	1	0.01
all	minimal	iYL1228	iUMNK88_1353	M_ala__L_e	0.5	0.02	1	0.01
all	minimal	iYL1228	iUMNK88_1353	M_alaala_e	0.5	0.03	1	0.015
all	minimal	iYL1228	iUMNK88_1353	M_arg__L_e	0.5	0.04	1	0.02
all	minimal	iYL1228	iUMNK88_1353	M_asn__L_e	0.5	0.02	1	0.01
all	minimal	iYL1228	iUMNK88_1353	M_asp__L_e	0.5	0.02	1	0.01
all	minimal	iYL1228	iUMNK88_1353	M_cgly_e	0.5	0.17	1	0.085
all	minimal	iYL1228	iUMNK88_1353	M_cit_e	0.5	0.04	1	0.02
all	minimal	iYL1228	iUMNK88_1353	M_cys__L_e	0.5	0.55	1	0.275
