,minimum,maximum
EX_amp_e,0.0,0.0
EX_arab__L_e,0.0,0.0
EX_arbt_e,0.0,0.0
EX_arbtn_e,0.0,0.0
EX_g3pc_e,0.0,0.0
EX_anhgm_e,0.0,0.0
EX_arbtn_fe3_e,0.0,0.0
EX_arg__L_e,0.0,0.0
EX_ascb__L_e,0.0,0.0
EX_asn__L_e,0.0,0.0
EX_aso3_e,0.0,0.0
EX_alltn_e,0.0,0.0
DM_4crsol_c,0.0002190926918225203,0.00021909269181864745
DM_5drib_c,0.00022105764869985233,0.00022105764869985233
DM_aacald_c,0.0,0.0
DM_amob_c,1.964956877332021e-06,1.9649568689938945e-06
DM_mththf_c,0.0004401503405223488,0.0004401503405140426
DM_oxam_c,0.0,0.0
BIOMASS_Ec_iJO1366_WT_53p95M,0.0,0.0
BIOMASS_Ec_iJO1366_core_53p95M,0.9824784386660104,0.9824784386660125
EX_12ppd__R_e,0.0,0.0
EX_asp__L_e,0.0,0.0
EX_btn_e,0.0,0.0
EX_but_e,0.0,0.0
EX_butso3_e,0.0,0.0
EX_ca2_e,-0.005113800273256595,-0.005113800273256584
EX_12ppd__S_e,0.0,0.0
EX_g3pe_e,0.0,0.0
EX_14glucan_e,0.0,0.0
EX_15dap_e,0.0,0.0
EX_cbi_e,0.0,0.0
EX_cbl1_e,0.0,0.0
EX_cd2_e,0.0,0.0
EX_cgly_e,0.0,0.0
EX_chol_e,0.0,0.0
EX_chtbs_e,0.0,0.0
EX_cit_e,0.0,0.0
EX_cl_e,-0.005113800273256595,-0.005113800273256584
EX_cm_e,0.0,0.0
EX_cmp_e,0.0,0.0
EX_co2_e,19.670845812961275,19.670845812960568
EX_cobalt2_e,-2.4561960966650313e-05,-2.456196096665026e-05
EX_23camp_e,0.0,0.0
EX_23ccmp_e,0.0,0.0
EX_23cgmp_e,0.0,0.0
EX_23cump_e,0.0,0.0
EX_23dappa_e,0.0,0.0
EX_26dap__M_e,0.0,0.0
EX_2ddglcn_e,0.0,0.0
EX_34dhpac_e,0.0,0.0
EX_3amp_e,0.0,0.0
EX_3cmp_e,0.0,0.0
EX_3gmp_e,0.0,0.0
EX_3hcinnm_e,0.0,0.0
EX_3hpp_e,0.0,0.0
EX_3hpppn_e,0.0,0.0
EX_3ump_e,0.0,0.0
EX_colipa_e,0.0,0.0
EX_colipap_e,0.0,0.0
EX_cpgn_e,0.0,0.0
EX_cpgn_un_e,0.0,0.0
EX_crn_e,0.0,0.0
EX_crn__D_e,0.0,0.0
EX_4abut_e,0.0,-1.3028467193976212e-13
EX_4hoxpacd_e,0.0,0.0
EX_csn_e,0.0,0.0
EX_g3pg_e,0.0,0.0
EX_cu_e,0.0,0.0
EX_cu2_e,-0.0006965772130142028,-0.0006965772130142013
EX_cyan_e,0.0,0.0
EX_cynt_e,0.0,0.0
EX_5dglcn_e,0.0,0.0
EX_5mtr_e,0.0,0.0
EX_LalaDglu_e,0.0,0.0
EX_LalaDgluMdap_e,0.0,0.0
EX_LalaDgluMdapDala_e,0.0,0.0
EX_LalaLglu_e,0.0,0.0
EX_ac_e,0.0,-1.1271365785159304e-13
EX_acac_e,0.0,0.0
EX_acald_e,0.0,0.0
EX_acgal_e,0.0,0.0
EX_cys__D_e,0.0,0.0
EX_cys__L_e,0.0,0.0
EX_cytd_e,0.0,0.0
EX_dad_2_e,0.0,0.0
EX_damp_e,0.0,0.0
EX_dca_e,0.0,0.0
EX_dcmp_e,0.0,0.0
EX_dcyt_e,0.0,0.0
EX_ddca_e,0.0,0.0
EX_acgal1p_e,0.0,0.0
EX_acgam_e,0.0,0.0
EX_acgam1p_e,0.0,0.0
EX_acmana_e,0.0,0.0
EX_dgmp_e,0.0,0.0
EX_dgsn_e,0.0,0.0
EX_acmum_e,0.0,0.0
EX_g3pi_e,0.0,0.0
EX_acnam_e,0.0,0.0
EX_acolipa_e,0.0,0.0
EX_acser_e,0.0,0.0
EX_dha_e,0.0,0.0
EX_dimp_e,0.0,0.0
EX_din_e,0.0,0.0
EX_dms_e,0.0,0.0
EX_g3ps_e,0.0,0.0
EX_dmso_e,0.0,0.0
EX_ade_e,0.0,0.0
EX_adn_e,0.0,0.0
EX_adocbl_e,0.0,0.0
EX_ag_e,0.0,0.0
EX_agm_e,0.0,0.0
EX_akg_e,0.0,0.0
EX_dopa_e,0.0,0.0
EX_doxrbcn_e,0.0,0.0
EX_dtmp_e,0.0,0.0
EX_dump_e,0.0,0.0
EX_duri_e,0.0,0.0
EX_eca4colipa_e,0.0,0.0
EX_enlipa_e,0.0,0.0
EX_ala_B_e,0.0,0.0
EX_ala__D_e,0.0,0.0
EX_ala__L_e,0.0,0.0
EX_enter_e,0.0,0.0
EX_alaala_e,0.0,0.0
EX_etha_e,0.0,-1.1061290772218513e-13
EX_g6p_e,0.0,0.0
EX_ethso3_e,0.0,0.0
EX_etoh_e,0.0,0.0
EX_f6p_e,0.0,0.0
EX_all__D_e,0.0,0.0
EX_fald_e,0.0,0.0
EX_gal_e,0.0,0.0
EX_fe2_e,-1000.0,-0.01577958620409691
EX_fe3_e,1.5560885913146194e-12,999.9842204137966
EX_gal_bD_e,0.0,0.0
EX_gal1p_e,0.0,0.0
EX_fe3dcit_e,0.0,0.0
EX_fe3dhbzs_e,5.329070518200751e-13,0.0
EX_fe3hox_e,1.9184653865522705e-13,0.0
EX_galct__D_e,0.0,0.0
EX_fe3hox_un_e,0.0,0.0
EX_melib_e,0.0,0.0
EX_meoh_e,1.964956877332021e-06,1.9649568681334717e-06
EX_fecrm_e,0.0,0.0
EX_galctn__D_e,0.0,0.0
EX_fecrm_un_e,0.0,0.0
EX_feenter_e,0.0,0.0
EX_feoxam_e,0.0,0.0
EX_feoxam_un_e,0.0,0.0
EX_for_e,0.0,-7.120953674812081e-13
EX_met__D_e,0.0,0.0
EX_met__L_e,0.0,0.0
EX_metsox_R__L_e,0.0,0.0
EX_metsox_S__L_e,0.0,0.0
EX_mg2_e,-0.008523000455427658,-0.008523000455427641
EX_mincyc_e,0.0,0.0
EX_minohp_e,0.0,0.0
EX_mmet_e,0.0,0.0
EX_mn2_e,-0.0006788926011182146,-0.0006788926011182132
EX_fru_e,0.0,0.0
EX_frulys_e,0.0,0.0
EX_fruur_e,0.0,0.0
EX_fuc__L_e,0.0,0.0
EX_fum_e,0.0,0.0
EX_mnl_e,0.0,0.0
EX_mobd_e,-0.00012673971858791533,-0.00012673971858791533
EX_fusa_e,0.0,0.0
EX_mso3_e,0.0,0.0
EX_galctn__L_e,0.0,0.0
EX_n2o_e,0.0,0.0
EX_na1_e,0.0,0.0
EX_g1p_e,0.0,0.0
EX_nac_e,0.0,0.0
EX_galt_e,0.0,0.0
EX_nh4_e,-10.61157669982628,-10.611576699826156
EX_ni2_e,-0.000317340535689122,-0.00031734053568912136
EX_trp__L_e,0.0,0.0
EX_nmn_e,0.0,0.0
EX_galur_e,0.0,0.0
EX_no_e,0.0,0.0
EX_no2_e,0.0,0.0
EX_no3_e,0.0,0.0
EX_gam_e,0.0,0.0
EX_novbcn_e,0.0,0.0
EX_o16a4colipa_e,0.0,0.0
EX_o2_e,-267.5703842812695,-17.574329177820758
EX_o2s_e,0.0,0.0
EX_tsul_e,0.0,0.0
EX_ocdca_e,0.0,0.0
EX_gam6p_e,0.0,0.0
EX_ocdcea_e,0.0,0.0
EX_octa_e,0.0,0.0
EX_ttdca_e,0.0,0.0
EX_ttdcea_e,0.0,0.0
EX_ttrcyc_e,0.0,0.0
EX_tungs_e,0.0,0.0
EX_orn_e,0.0,0.0
EX_orot_e,0.0,0.0
EX_tym_e,0.0,0.0
EX_gbbtn_e,0.0,0.0
EX_tyr__L_e,0.0,0.0
EX_pacald_e,0.0,0.0
EX_peamn_e,0.0,0.0
EX_tyrp_e,0.0,0.0
EX_uacgam_e,0.0,0.0
EX_phe__L_e,0.0,0.0
EX_gdp_e,0.0,0.0
EX_pheme_e,0.0,0.0
EX_pi_e,-0.9477291587688064,-0.9477291587688033
EX_pnto__R_e,0.0,0.0
EX_udpacgal_e,0.0,0.0
EX_udpg_e,0.0,0.0
EX_udpgal_e,0.0,0.0
EX_udpglcur_e,0.0,0.0
EX_ppa_e,0.0,0.0
EX_ppal_e,0.0,0.0
EX_ump_e,0.0,0.0
EX_glc__D_e,-10.0,-10.000000000000014
EX_ura_e,0.0,0.0
EX_urea_e,0.0,0.0
EX_uri_e,0.0,0.0
EX_val__L_e,0.0,0.0
EX_xan_e,0.0,0.0
EX_pppn_e,0.0,0.0
EX_ppt_e,0.0,0.0
EX_pro__L_e,0.0,0.0
EX_progly_e,0.0,0.0
EX_psclys_e,0.0,0.0
EX_pser__L_e,0.0,0.0
EX_ptrc_e,0.0,0.0
EX_xmp_e,0.0,0.0
EX_xtsn_e,0.0,0.0
EX_xyl__D_e,0.0,0.0
EX_xylu__L_e,0.0,0.0
EX_pydam_e,0.0,0.0
EX_pydx_e,0.0,0.0
EX_pydxn_e,0.0,0.0
EX_zn2_e,-0.00033502514758510844,-0.0003350251475851095
12DGR120tipp,0.0,-3.0109248427834245e-13
EX_pyr_e,0.0,0.0
12DGR140tipp,0.0,0.0
EX_glcn_e,0.0,0.0
12DGR141tipp,0.0,0.0
12DGR160tipp,0.0,-4.1033842990145786e-13
12DGR161tipp,0.0,-3.7925218521195347e-13
EX_quin_e,0.0,0.0
EX_r5p_e,0.0,0.0
EX_rfamp_e,0.0,0.0
EX_rib__D_e,0.0,0.0
12DGR180tipp,0.0,-1.5276668818842154e-13
12DGR181tipp,0.0,-2.6290081223123707e-13
12PPDRtex,0.0,0.0
EX_rmn_e,0.0,0.0
EX_glcr_e,0.0,0.0
EX_sbt__D_e,0.0,0.0
EX_sel_e,0.0,0.0
12PPDRtpp,0.0,0.0
12PPDStex,0.0,0.0
12PPDStpp,0.0,0.0
14GLUCANabcpp,0.0,0.0
14GLUCANtexi,0.0,0.0
23CAMPtex,0.0,0.0
23CCMPtex,0.0,0.0
EX_ser__D_e,0.0,0.0
EX_ser__L_e,0.0,-1.6504853039833733e-13
EX_skm_e,0.0,0.0
EX_slnt_e,0.0,0.0
EX_so2_e,0.0,0.0
EX_so3_e,0.0,0.0
EX_so4_e,-0.24779088701603244,-0.24779088701595472
EX_spmd_e,0.0,0.0
23CGMPtex,0.0,0.0
23CUMPtex,0.0,0.0
23DAPPAt2pp,0.0,0.0
23DAPPAtex,0.0,0.0
EX_succ_e,0.0,0.0
EX_sucr_e,0.0,0.0
23PDE2pp,0.0,0.0
