,minimum,maximum
EX_asn__L_e,0.0,-2.0589085991673528e-13
EX_asp__L_e,0.0,-1.91402449445377e-13
EX_btn_e,0.0,0.0
EX_arbtn_fe3_e,0.0,0.0
EX_aso3_e,0.0,0.0
EX_ascb__L_e,0.0,0.0
EX_but_e,0.0,0.0
EX_arg__L_e,0.0,-1.0236256287043943e-13
EX_butso3_e,0.0,0.0
EX_ca2_e,-0.005114911926539599,-0.005114911926539599
DM_4crsol_c,0.00021914031885078396,0.00021914031885078396
EX_cbi_e,0.0,0.0
DM_5drib_c,0.00022110570287635153,0.00022110570287635153
DM_aacald_c,0.0,0.0
EX_gal_bD_e,0.0,0.0
EX_gal1p_e,0.0,0.0
EX_galct__D_e,0.0,0.0
EX_cbl1_e,0.0,0.0
EX_galctn__D_e,0.0,0.0
DM_amob_c,1.965384025567569e-06,1.965384017717664e-06
DM_mththf_c,0.00044024602172724044,0.0004402460217192856
DM_oxam_c,0.0,-1.9095836023552692e-13
EX_galctn__L_e,0.0,0.0
EX_cd2_e,0.0,0.0
EX_galt_e,0.0,0.0
BIOMASS_Ec_iJO1366_WT_53p95M,0.0,0.0
EX_cgly_e,0.0,0.0
BIOMASS_Ec_iJO1366_core_53p95M,0.9826920127837846,0.9826920127837846
EX_12ppd__R_e,0.0,-1.4033219031261979e-13
EX_12ppd__S_e,0.0,-2.1579352887934888e-13
EX_galur_e,0.0,0.0
EX_gam_e,0.0,0.0
EX_gam6p_e,0.0,0.0
EX_gbbtn_e,0.0,0.0
EX_gdp_e,0.0,0.0
EX_glc__D_e,-10.0,-10.000000000000114
EX_glcn_e,0.0,-1.1013412404281553e-13
EX_glcr_e,0.0,0.0
EX_glcur_e,0.0,0.0
EX_glcur1p_e,0.0,0.0
EX_gln__L_e,0.0,0.0
EX_glu__L_e,0.0,0.0
EX_gly_e,0.0,-3.40394379350073e-13
EX_14glucan_e,0.0,0.0
EX_15dap_e,0.0,0.0
EX_23camp_e,0.0,0.0
EX_23ccmp_e,0.0,0.0
EX_23cgmp_e,0.0,0.0
EX_23cump_e,0.0,0.0
EX_23dappa_e,0.0,0.0
EX_26dap__M_e,0.0,0.0
EX_2ddglcn_e,0.0,0.0
EX_34dhpac_e,0.0,0.0
EX_3amp_e,0.0,0.0
EX_3cmp_e,0.0,0.0
EX_3gmp_e,0.0,0.0
EX_3hcinnm_e,0.0,0.0
EX_3hpp_e,0.0,0.0
EX_3hpppn_e,0.0,0.0
EX_glyald_e,0.0,-1.8474111129762605e-13
EX_glyb_e,0.0,0.0
EX_glyc_e,0.0,-2.0020096691553135e-13
EX_glyc__R_e,0.0,-2.310331830360224e-13
EX_glyc2p_e,0.0,0.0
EX_3ump_e,0.0,0.0
EX_glyc3p_e,0.0,0.0
EX_4abut_e,0.0,-1.2112533198660458e-13
EX_glyclt_e,0.0,-4.4164671919588727e-13
EX_4hoxpacd_e,0.0,0.0
EX_chol_e,0.0,0.0
EX_5dglcn_e,0.0,-1.0136336214827679e-13
EX_5mtr_e,0.0,0.0
EX_LalaDglu_e,0.0,0.0
EX_LalaDgluMdap_e,0.0,0.0
EX_LalaDgluMdapDala_e,0.0,0.0
EX_LalaLglu_e,0.0,0.0
EX_gmp_e,0.0,0.0
EX_gsn_e,0.0,0.0
EX_gthox_e,0.0,0.0
EX_gthrd_e,0.0,0.0
EX_gtp_e,0.0,0.0
EX_gua_e,0.0,-1.0458300891968975e-13
EX_h_e,-990.9594919303881,9.024725053186888
EX_h2_e,0.0,0.0
EX_ac_e,0.0,-4.66203464721815e-13
EX_acac_e,0.0,0.0
EX_acald_e,0.0,-2.3447910280083306e-13
EX_h2o_e,45.61698165484745,545.6090901466347
EX_acgal_e,0.0,0.0
EX_h2o2_e,0.0,0.0
EX_chtbs_e,0.0,0.0
EX_h2s_e,0.0,-2.4408253196384067e-13
EX_hacolipa_e,0.0,0.0
EX_acgal1p_e,0.0,0.0
EX_acgam_e,0.0,0.0
EX_acgam1p_e,0.0,0.0
EX_acmana_e,0.0,0.0
EX_halipa_e,0.0,0.0
EX_cit_e,0.0,0.0
EX_hdca_e,0.0,0.0
EX_hdcea_e,0.0,0.0
EX_hg2_e,0.0,0.0
EX_acmum_e,0.0,0.0
EX_acnam_e,0.0,0.0
EX_acolipa_e,0.0,0.0
EX_his__L_e,0.0,0.0
EX_acser_e,0.0,-1.4305223672295142e-13
EX_cl_e,-0.005114911926539599,-0.005114911926539599
EX_ade_e,0.0,-1.6351996796545865e-13
EX_adn_e,0.0,0.0
EX_adocbl_e,0.0,0.0
EX_ag_e,0.0,0.0
EX_agm_e,0.0,0.0
EX_hom__L_e,0.0,-1.5798473640415978e-13
EX_hxa_e,0.0,-1.1080025785759062e-13
EX_hxan_e,0.0,-1.1246559239452836e-13
EX_idon__L_e,0.0,-1.3711254354120683e-13
EX_ile__L_e,0.0,0.0
EX_imp_e,0.0,0.0
EX_akg_e,0.0,-1.3589129821411916e-13
EX_ala_B_e,0.0,0.0
EX_indole_e,0.0,0.0
EX_ala__D_e,0.0,-2.7401518554182047e-13
EX_inost_e,0.0,0.0
EX_cm_e,0.0,0.0
EX_ins_e,0.0,0.0
EX_isetac_e,0.0,0.0
EX_ala__L_e,0.0,-2.7400304247748863e-13
EX_alaala_e,0.0,0.0
EX_all__D_e,0.0,0.0
EX_alltn_e,0.0,-2.1965762542208722e-13
EX_k_e,-0.19181460205130527,-0.19181460205130527
EX_amp_e,0.0,0.0
EX_kdo2lipid4_e,0.0,-7.08461067588928e-15
EX_cmp_e,0.0,0.0
EX_lac__D_e,0.0,-2.5845992013273644e-13
EX_anhgm_e,0.0,0.0
EX_arab__L_e,0.0,0.0
EX_arbt_e,0.0,0.0
EX_co2_e,19.675510374566812,19.67551037456518
EX_arbtn_e,0.0,-8.455458555545192e-13
EX_lac__L_e,0.0,-2.7622348852673895e-13
EX_lcts_e,0.0,0.0
EX_leu__L_e,0.0,-1.0030865027488289e-13
EX_cobalt2_e,-2.4567300319594616e-05,-2.4567300319594616e-05
EX_lipa_e,0.0,0.0
EX_lipa_cold_e,0.0,0.0
EX_lipoate_e,0.0,0.0
EX_lys__L_e,0.0,0.0
EX_lyx__L_e,0.0,0.0
EX_mal__D_e,0.0,0.0
EX_mincyc_e,0.0,0.0
EX_minohp_e,0.0,0.0
EX_mmet_e,0.0,0.0
EX_mn2_e,-0.0006790401808335952,-0.0006790401808335952
EX_mnl_e,0.0,0.0
EX_mal__L_e,0.0,-2.1049828546892968e-13
EX_malt_e,0.0,0.0
EX_colipa_e,0.0,0.0
EX_malthx_e,0.0,0.0
EX_maltpt_e,0.0,0.0
EX_mobd_e,-0.0001267672696491082,-0.0001267672696491082
EX_mso3_e,0.0,0.0
EX_colipap_e,0.0,0.0
EX_n2o_e,0.0,0.0
EX_malttr_e,0.0,0.0
EX_maltttr_e,0.0,0.0
EX_man_e,0.0,0.0
EX_na1_e,0.0,0.0
EX_cpgn_e,8.455458555545192e-13,0.0
EX_nac_e,-0.0022385724050404954,-0.002238572405120709
EX_man6p_e,0.0,0.0
EX_manglyc_e,0.0,0.0
EX_nh4_e,-10.611644903877433,-10.611644903878242
EX_cpgn_un_e,0.0,0.0
EX_ni2_e,-0.0003174095201291624,-0.0003174095201291624
EX_nmn_e,0.0,0.0
EX_melib_e,0.0,0.0
EX_meoh_e,1.965384025567569e-06,1.965384025567569e-06
EX_met__D_e,0.0,0.0
EX_no_e,0.0,0.0
EX_no2_e,0.0,0.0
EX_met__L_e,0.0,0.0
EX_no3_e,0.0,0.0
EX_novbcn_e,0.0,0.0
EX_o16a4colipa_e,0.0,0.0
EX_o2_e,-267.57347295202675,-17.57741870613329
EX_o2s_e,0.0,0.0
EX_metsox_R__L_e,0.0,0.0
EX_metsox_S__L_e,0.0,0.0
EX_mg2_e,-0.008524853210899332,-0.008524853210899332
EX_ocdca_e,0.0,0.0
EX_crn_e,0.0,0.0
EX_ocdcea_e,0.0,0.0
EX_octa_e,0.0,0.0
EX_orn_e,0.0,0.0
EX_tyr__L_e,0.0,0.0
EX_tyrp_e,0.0,0.0
EX_uacgam_e,0.0,0.0
EX_orot_e,0.0,0.0
EX_crn__D_e,0.0,0.0
EX_pacald_e,0.0,0.0
EX_udpacgal_e,0.0,0.0
EX_udpg_e,0.0,0.0
EX_udpgal_e,0.0,0.0
EX_peamn_e,0.0,0.0
EX_udpglcur_e,0.0,0.0
EX_csn_e,0.0,0.0
EX_ump_e,0.0,0.0
EX_ura_e,0.0,-2.852995617530496e-13
EX_phe__L_e,0.0,0.0
EX_pheme_e,0.0,0.0
EX_urea_e,0.0,-4.75397499144492e-13
EX_pi_e,-0.947935178983494,-0.947935178983621
EX_uri_e,0.0,0.0
EX_cu_e,0.0,0.0
EX_val__L_e,0.0,0.0
EX_xan_e,0.0,-1.458277942845143e-13
EX_pnto__R_e,0.0,0.0
EX_ppa_e,0.0,0.0
EX_xmp_e,0.0,0.0
