,minimum,maximum
DM_4crsol_c,0.00021909269182251914,0.00021909269182251914
EX_glc__D_e,-10.0,-9.999999999999972
EX_glcn_e,0.0,0.0
EX_glcr_e,0.0,0.0
EX_glcur_e,0.0,0.0
EX_glcur1p_e,0.0,0.0
EX_gln__L_e,0.0,0.0
EX_glu__L_e,0.0,0.0
EX_gly_e,0.0,0.0
EX_glyald_e,0.0,0.0
EX_glyb_e,0.0,0.0
EX_glyc_e,0.0,0.0
EX_glyc__R_e,0.0,0.0
EX_glyc2p_e,0.0,0.0
DM_5drib_c,0.00022105764869985114,0.00022105764869985114
DM_aacald_c,0.0,0.0
DM_amob_c,1.96495687733201e-06,1.964956881876201e-06
DM_mththf_c,0.00044015034052235,0.00044015034052691455
EX_glyc3p_e,0.0,0.0
DM_oxam_c,0.0,0.0
BIOMASS_Ec_iJO1366_WT_53p95M,0.0,0.0
EX_cm_e,0.0,0.0
EX_cmp_e,0.0,0.0
BIOMASS_Ec_iJO1366_core_53p95M,0.982478438666005,0.982478438666006
EX_glyclt_e,0.0,0.0
EX_12ppd__R_e,0.0,0.0
EX_co2_e,19.67084581296035,19.670845812960525
EX_gmp_e,0.0,0.0
EX_cobalt2_e,-2.4561960966650127e-05,-2.4561960966650127e-05
EX_colipa_e,0.0,0.0
EX_12ppd__S_e,0.0,0.0
EX_14glucan_e,0.0,0.0
EX_15dap_e,0.0,0.0
EX_colipap_e,0.0,0.0
EX_cpgn_e,0.0,0.0
EX_cpgn_un_e,0.0,0.0
EX_crn_e,0.0,0.0
EX_crn__D_e,0.0,0.0
EX_csn_e,0.0,0.0
EX_cu_e,0.0,0.0
EX_cu2_e,-0.0006965772130141975,-0.0006965772130141975
EX_23camp_e,0.0,0.0
EX_23ccmp_e,0.0,0.0
EX_23cgmp_e,0.0,0.0
EX_23cump_e,0.0,0.0
EX_23dappa_e,0.0,0.0
EX_26dap__M_e,0.0,0.0
EX_2ddglcn_e,0.0,0.0
EX_34dhpac_e,0.0,0.0
EX_3amp_e,0.0,0.0
EX_3cmp_e,0.0,0.0
EX_3gmp_e,0.0,0.0
EX_cyan_e,0.0,0.0
EX_cynt_e,0.0,0.0
EX_cys__D_e,0.0,0.0
EX_cys__L_e,0.0,0.0
EX_3hcinnm_e,0.0,0.0
EX_3hpp_e,0.0,0.0
EX_cytd_e,0.0,0.0
EX_3hpppn_e,0.0,0.0
EX_gsn_e,0.0,0.0
EX_3ump_e,0.0,0.0
EX_4abut_e,0.0,0.0
EX_dad_2_e,0.0,0.0
EX_damp_e,0.0,0.0
EX_dca_e,0.0,0.0
EX_4hoxpacd_e,0.0,0.0
EX_gthox_e,0.0,0.0
EX_5dglcn_e,0.0,0.0
EX_dcmp_e,0.0,0.0
EX_5mtr_e,0.0,0.0
EX_LalaDglu_e,0.0,0.0
EX_LalaDgluMdap_e,0.0,0.0
EX_LalaDgluMdapDala_e,0.0,0.0
EX_dcyt_e,0.0,0.0
EX_ddca_e,0.0,0.0
EX_dgmp_e,0.0,0.0
EX_dgsn_e,0.0,0.0
EX_dha_e,0.0,0.0
EX_LalaLglu_e,0.0,0.0
EX_ac_e,0.0,0.0
EX_dimp_e,0.0,0.0
EX_gthrd_e,0.0,0.0
EX_din_e,0.0,0.0
EX_dms_e,0.0,0.0
EX_dmso_e,0.0,0.0
EX_acac_e,0.0,0.0
EX_acald_e,0.0,0.0
EX_acgal_e,0.0,0.0
EX_acgal1p_e,0.0,0.0
EX_dopa_e,0.0,0.0
EX_gtp_e,0.0,0.0
EX_doxrbcn_e,0.0,0.0
EX_dtmp_e,0.0,0.0
EX_acgam_e,0.0,0.0
EX_acgam1p_e,0.0,0.0
EX_acmana_e,0.0,0.0
EX_dump_e,0.0,0.0
EX_duri_e,0.0,0.0
EX_acmum_e,0.0,0.0
EX_gua_e,0.0,0.0
EX_acnam_e,0.0,0.0
EX_acolipa_e,0.0,0.0
EX_eca4colipa_e,0.0,0.0
EX_enlipa_e,0.0,0.0
EX_enter_e,0.0,0.0
EX_acser_e,0.0,0.0
EX_h_e,-990.9569805843356,9.027239829460257
EX_ade_e,0.0,0.0
EX_adn_e,0.0,0.0
EX_adocbl_e,0.0,0.0
EX_ag_e,0.0,0.0
EX_agm_e,0.0,0.0
EX_etha_e,0.0,0.0
EX_ethso3_e,0.0,0.0
EX_etoh_e,0.0,0.0
EX_f6p_e,0.0,0.0
EX_fald_e,0.0,0.0
EX_fe2_e,-1000.0,-0.01577958620319444
EX_fe3_e,0.0,999.9842204137966
EX_fe3dcit_e,0.0,0.0
EX_fe3dhbzs_e,-2.462474668618597e-13,0.0
EX_akg_e,0.0,0.0
EX_ala_B_e,0.0,0.0
EX_ala__D_e,0.0,0.0
EX_ala__L_e,0.0,0.0
EX_fe3hox_e,0.0,0.0
EX_alaala_e,0.0,0.0
EX_fe3hox_un_e,0.0,0.0
EX_h2_e,0.0,0.0
EX_fecrm_e,0.0,0.0
EX_fecrm_un_e,0.0,0.0
EX_feenter_e,0.0,0.0
EX_all__D_e,0.0,0.0
EX_alltn_e,0.0,1.2570500196318335e-13
EX_amp_e,0.0,0.0
EX_anhgm_e,0.0,0.0
EX_arab__L_e,0.0,0.0
EX_feoxam_e,0.0,0.0
EX_feoxam_un_e,0.0,0.0
EX_arbt_e,0.0,0.0
EX_arbtn_e,0.0,0.0
EX_h2o_e,45.61786951321821,545.6099797201163
EX_arbtn_fe3_e,0.0,0.0
EX_for_e,0.0,-3.123100736357465e-13
EX_fru_e,0.0,0.0
EX_frulys_e,0.0,0.0
EX_fruur_e,0.0,0.0
EX_fuc__L_e,0.0,0.0
EX_fum_e,0.0,0.0
EX_arg__L_e,0.0,0.0
EX_ascb__L_e,0.0,0.0
EX_asn__L_e,0.0,0.0
EX_aso3_e,0.0,0.0
EX_asp__L_e,0.0,0.0
EX_btn_e,0.0,0.0
EX_fusa_e,0.0,0.0
EX_g1p_e,0.0,0.0
EX_but_e,0.0,0.0
EX_g3pc_e,0.0,0.0
EX_h2o2_e,0.0,0.0
EX_g3pe_e,0.0,0.0
EX_g3pg_e,0.0,0.0
EX_g3pi_e,0.0,0.0
EX_butso3_e,0.0,0.0
