,minimum,maximum
EX_arab__L_e,0.0,0.0
EX_arbtn_e,0.0,0.0
EX_arg__L_e,0.0,-1.0841327835464654e-13
EX_arbt_e,0.0,0.0
EX_anhgm_e,0.0,0.0
EX_arbtn_fe3_e,0.0,0.0
DM_4crsol_c,0.00021909269182252223,0.00021909269182252223
EX_alltn_e,0.0,-1.0891287871572786e-13
EX_amp_e,0.0,0.0
EX_all__D_e,0.0,0.0
DM_5drib_c,0.00022105764869985426,0.00022105764869985426
EX_ascb__L_e,0.0,0.0
DM_aacald_c,0.0,0.0
EX_asn__L_e,0.0,-1.758593271006248e-13
EX_aso3_e,0.0,0.0
EX_asp__L_e,0.0,-1.8274270985330077e-13
EX_g3pg_e,0.0,0.0
EX_g3pi_e,0.0,0.0
EX_btn_e,0.0,0.0
EX_g3ps_e,0.0,0.0
EX_but_e,0.0,0.0
DM_amob_c,1.9649568773320378e-06,1.9649568773320378e-06
EX_butso3_e,0.0,0.0
EX_g6p_e,0.0,0.0
EX_gal_e,0.0,0.0
EX_ca2_e,-0.005113800273256598,-0.005113800273256629
DM_mththf_c,0.00044015034052237467,0.00044015034050736687
EX_cbi_e,0.0,0.0
EX_gal_bD_e,0.0,0.0
EX_cbl1_e,0.0,0.0
EX_gal1p_e,0.0,0.0
DM_oxam_c,0.0,-1.1801670751765414e-13
EX_galct__D_e,0.0,-1.4921397450962104e-13
EX_cd2_e,0.0,0.0
EX_cgly_e,0.0,0.0
EX_chol_e,0.0,0.0
EX_chtbs_e,0.0,0.0
EX_cit_e,0.0,0.0
EX_cl_e,-0.0051138002732566,-0.005113800273256629
EX_cm_e,0.0,0.0
EX_cmp_e,0.0,0.0
EX_co2_e,19.67084581296168,19.670845812960103
EX_galctn__D_e,0.0,-1.3944401189291966e-13
EX_galctn__L_e,0.0,0.0
EX_galt_e,0.0,0.0
EX_galur_e,0.0,0.0
EX_gam_e,0.0,0.0
EX_gam6p_e,0.0,0.0
EX_gbbtn_e,0.0,0.0
EX_gdp_e,0.0,0.0
EX_glc__D_e,-10.0,-10.000000000000071
EX_glcn_e,0.0,0.0
EX_glcr_e,0.0,0.0
EX_glcur_e,0.0,0.0
EX_cobalt2_e,-2.4561960966650334e-05,-2.4561960966650473e-05
EX_colipa_e,0.0,0.0
EX_colipap_e,0.0,0.0
EX_cpgn_e,0.0,0.0
EX_cpgn_un_e,0.0,0.0
EX_glcur1p_e,0.0,0.0
EX_gln__L_e,0.0,0.0
EX_glu__L_e,0.0,0.0
EX_crn_e,0.0,0.0
EX_crn__D_e,0.0,0.0
EX_gly_e,0.0,-3.785860513971784e-13
BIOMASS_Ec_iJO1366_WT_53p95M,0.0,0.0
EX_glyald_e,0.0,-1.2789769243681803e-13
EX_glyb_e,0.0,0.0
EX_csn_e,0.0,0.0
EX_cu_e,0.0,0.0
EX_cu2_e,-0.0006965772130142065,-0.0006965772130142074
EX_cyan_e,0.0,0.0
EX_cynt_e,0.0,0.0
EX_cys__D_e,0.0,0.0
EX_cys__L_e,0.0,-1.3207490656697018e-13
EX_glyc_e,0.0,-1.2878587085651816e-13
EX_glyc__R_e,0.0,-3.074817961010168e-13
EX_glyc2p_e,0.0,0.0
EX_glyc3p_e,0.0,-2.3314683517128287e-13
EX_glyclt_e,0.0,-4.852895429258153e-13
EX_gmp_e,0.0,0.0
EX_gsn_e,0.0,0.0
EX_cytd_e,0.0,0.0
EX_dad_2_e,0.0,0.0
EX_damp_e,0.0,0.0
EX_gthox_e,0.0,0.0
EX_dca_e,0.0,0.0
BIOMASS_Ec_iJO1366_core_53p95M,0.9824784386660189,0.9824784386660125
EX_dcmp_e,0.0,0.0
EX_dcyt_e,0.0,0.0
EX_ddca_e,0.0,0.0
EX_gthrd_e,0.0,0.0
EX_gtp_e,0.0,0.0
EX_gua_e,0.0,-1.6608936448392342e-13
EX_h_e,-990.956980584335,9.027239829452775
EX_h2_e,0.0,0.0
EX_h2o_e,45.6178695132211,545.6099797201156
EX_h2o2_e,0.0,0.0
EX_dgmp_e,0.0,0.0
EX_dgsn_e,0.0,0.0
EX_h2s_e,0.0,-2.7544633240950134e-13
EX_dha_e,0.0,-2.575717417130363e-13
EX_12ppd__R_e,0.0,-3.170796958329447e-13
EX_dimp_e,0.0,0.0
EX_din_e,0.0,0.0
EX_dms_e,0.0,0.0
EX_hacolipa_e,0.0,0.0
EX_halipa_e,0.0,0.0
EX_hdca_e,0.0,0.0
EX_hdcea_e,0.0,0.0
EX_hg2_e,0.0,0.0
EX_his__L_e,0.0,-1.304650831812637e-13
EX_dmso_e,2.303934820702125e-12,0.0
EX_dopa_e,0.0,0.0
EX_doxrbcn_e,0.0,0.0
EX_dtmp_e,0.0,0.0
EX_hom__L_e,0.0,-1.2678746941219288e-13
EX_hxa_e,0.0,0.0
EX_dump_e,0.0,0.0
EX_hxan_e,0.0,-1.7041923427996153e-13
EX_duri_e,0.0,0.0
EX_12ppd__S_e,0.0,-3.1441516057384433e-13
EX_eca4colipa_e,0.0,0.0
EX_enlipa_e,0.0,0.0
EX_enter_e,0.0,0.0
EX_idon__L_e,0.0,-1.7197354651443675e-13
EX_ile__L_e,0.0,0.0
EX_imp_e,0.0,0.0
EX_indole_e,0.0,0.0
EX_inost_e,1.6076029396572267e-13,0.0
EX_etha_e,0.0,-2.1693064011785168e-13
EX_ethso3_e,0.0,0.0
EX_etoh_e,0.0,-2.1582735598713043e-13
EX_ins_e,0.0,0.0
EX_isetac_e,0.0,0.0
EX_f6p_e,0.0,0.0
EX_fald_e,0.0,0.0
EX_14glucan_e,0.0,0.0
EX_fe2_e,-1000.0,-0.01577958621239619
EX_fe3_e,6.266986929404084e-12,999.9842204137966
EX_k_e,-0.19177291387853598,-0.19177291387853623
EX_kdo2lipid4_e,0.0,-5.97091820431217e-15
EX_lac__D_e,0.0,-2.1582735598713043e-13
EX_fe3dcit_e,0.0,0.0
EX_lac__L_e,0.0,-3.4772185131259903e-13
EX_15dap_e,0.0,-1.7924550732573152e-13
EX_lcts_e,0.0,0.0
EX_leu__L_e,0.0,-1.2917444891513696e-13
EX_lipa_e,0.0,0.0
EX_lipa_cold_e,0.0,0.0
EX_fe3dhbzs_e,0.0,0.0
EX_fe3hox_e,0.0,0.0
EX_fe3hox_un_e,0.0,0.0
EX_fecrm_e,0.0,0.0
EX_fecrm_un_e,0.0,0.0
EX_feenter_e,0.0,0.0
EX_feoxam_e,0.0,0.0
EX_lipoate_e,0.0,0.0
EX_lys__L_e,0.0,-1.1340928196545974e-13
EX_lyx__L_e,0.0,0.0
EX_mal__D_e,0.0,0.0
EX_feoxam_un_e,0.0,0.0
EX_for_e,0.0,-1.9210355962223646e-12
EX_mal__L_e,0.0,-2.460254222569347e-13
EX_malt_e,0.0,0.0
EX_23camp_e,0.0,0.0
EX_malthx_e,0.0,0.0
EX_maltpt_e,0.0,0.0
EX_fru_e,0.0,0.0
EX_frulys_e,0.0,0.0
EX_fruur_e,0.0,0.0
EX_malttr_e,0.0,0.0
EX_fuc__L_e,0.0,0.0
EX_maltttr_e,0.0,0.0
EX_23ccmp_e,0.0,0.0
EX_man_e,0.0,0.0
EX_man6p_e,0.0,0.0
EX_fum_e,0.0,0.0
EX_fusa_e,0.0,0.0
EX_g1p_e,0.0,0.0
EX_g3pc_e,0.0,0.0
EX_manglyc_e,0.0,0.0
EX_melib_e,0.0,0.0
EX_g3pe_e,0.0,0.0
EX_23cgmp_e,0.0,0.0
EX_23cump_e,0.0,0.0
EX_met__D_e,0.0,0.0
EX_met__L_e,0.0,0.0
EX_23dappa_e,0.0,0.0
EX_metsox_R__L_e,0.0,0.0
EX_metsox_S__L_e,0.0,0.0
EX_meoh_e,1.9649568773205672e-06,1.9649568773320378e-06
EX_26dap__M_e,0.0,0.0
EX_mg2_e,-0.008523000455427704,-0.008523000455427714
EX_mincyc_e,0.0,0.0
EX_2ddglcn_e,0.0,0.0
EX_minohp_e,0.0,0.0
EX_34dhpac_e,0.0,0.0
EX_mmet_e,0.0,0.0
EX_ttdca_e,0.0,0.0
EX_ttdcea_e,0.0,0.0
EX_3amp_e,0.0,0.0
EX_ttrcyc_e,0.0,0.0
EX_mn2_e,-0.0006788926011182182,-0.0006788926011182191
EX_mnl_e,0.0,0.0
EX_tungs_e,0.0,0.0
EX_mobd_e,-0.00012673971858791645,-0.00012673971858791645
EX_tym_e,0.0,0.0
EX_3cmp_e,0.0,0.0
EX_tyr__L_e,0.0,0.0
EX_mso3_e,0.0,0.0
EX_n2o_e,0.0,0.0
EX_tyrp_e,0.0,0.0
EX_na1_e,0.0,0.0
