,minimum,maximum
EX_amp_e,0.0,0.0
EX_arab__L_e,0.0,0.0
EX_arbt_e,0.0,0.0
DM_4crsol_c,0.0002091495400357977,0.0002091495400357977
EX_anhgm_e,0.0,0.0
EX_alltn_e,0.0,0.0
EX_all__D_e,0.0,0.0
EX_arbtn_e,0.0,0.0
DM_5drib_c,0.00021102532066392146,0.00021102532066392146
EX_arbtn_fe3_e,0.0,0.0
DM_aacald_c,0.0,0.0
EX_arg__L_e,0.0,0.0
EX_g1p_e,0.0,0.0
DM_amob_c,1.8757806281237464e-06,1.8757806369398734e-06
EX_g3pc_e,0.0,0.0
EX_g3pe_e,0.0,0.0
EX_ascb__L_e,0.0,0.0
EX_asn__L_e,0.0,1.4430123762565472e-13
EX_aso3_e,0.0,0.0
EX_g3pg_e,0.0,0.0
EX_g3pi_e,0.0,0.0
EX_asp__L_e,0.0,0.0
DM_mththf_c,0.00042017486069971906,0.00042017486070474916
EX_btn_e,0.0,0.0
EX_but_e,0.0,0.0
EX_g3ps_e,0.0,0.0
EX_g6p_e,0.0,0.0
DM_oxam_c,0.0,0.0
EX_gal_e,0.0,0.0
EX_gal_bD_e,0.0,0.0
EX_butso3_e,0.0,0.0
EX_ca2_e,-0.00488171908469205,-0.00488171908469205
EX_gal1p_e,0.0,0.0
EX_cbi_e,0.0,0.0
EX_cbl1_e,0.0,0.0
EX_cd2_e,0.0,0.0
EX_cgly_e,0.0,0.0
EX_chol_e,0.0,0.0
EX_chtbs_e,0.0,0.0
EX_cit_e,0.0,0.0
EX_cl_e,-0.00488171908469205,-0.00488171908469205
EX_cm_e,0.0,0.0
EX_galct__D_e,0.0,0.0
EX_galctn__D_e,0.0,0.0
EX_galctn__L_e,0.0,0.0
EX_galt_e,0.0,0.0
EX_galur_e,0.0,0.0
EX_gam_e,0.0,0.0
EX_gam6p_e,0.0,0.0
EX_gbbtn_e,0.0,0.0
EX_gdp_e,0.0,0.0
EX_glc__D_e,-10.0,-9.999999999999961
EX_glcn_e,0.0,0.0
EX_cmp_e,0.0,0.0
EX_co2_e,24.048329853015638,24.048329853016714
EX_cobalt2_e,-2.344725785154683e-05,-2.344725785154683e-05
EX_colipa_e,0.0,0.0
EX_glcr_e,0.0,0.0
EX_glcur_e,0.0,0.0
EX_colipap_e,0.0,0.0
BIOMASS_Ec_iJO1366_WT_53p95M,0.0,0.0
EX_cpgn_e,0.0,0.0
EX_cpgn_un_e,0.0,2.6290081223123707e-13
EX_glcur1p_e,0.0,0.0
EX_gln__L_e,0.0,0.0
EX_crn_e,0.0,0.0
BIOMASS_Ec_iJO1366_core_53p95M,0.9378903140618732,0.9378903140618775
EX_crn__D_e,0.0,0.0
EX_glu__L_e,0.0,0.0
EX_gly_e,0.0,1.6064927166326015e-13
EX_12ppd__R_e,0.0,0.0
EX_glyald_e,0.0,0.0
EX_glyb_e,0.0,0.0
EX_glyc_e,0.0,1.153799278341694e-13
EX_glyc__R_e,0.0,1.5187850976872141e-13
EX_glyc2p_e,0.0,0.0
EX_csn_e,0.0,0.0
EX_cu_e,0.0,0.0
EX_cu2_e,-0.0006649642326698681,-0.0006649642326698681
EX_cyan_e,0.0,0.0
EX_cynt_e,0.0,0.0
EX_cys__D_e,0.0,0.0
EX_cys__L_e,0.0,0.0
EX_cytd_e,0.0,0.0
EX_dad_2_e,0.0,0.0
EX_glyc3p_e,0.0,0.0
EX_glyclt_e,0.0,2.4513724383723456e-13
EX_gmp_e,0.0,0.0
EX_gsn_e,0.0,0.0
EX_damp_e,0.0,0.0
EX_dca_e,0.0,0.0
EX_gthox_e,0.0,0.0
EX_gthrd_e,0.0,0.0
EX_12ppd__S_e,0.0,1.0994850863088601e-13
EX_gtp_e,0.0,0.0
EX_gua_e,0.0,0.0
EX_dcmp_e,0.0,0.0
EX_dcyt_e,0.0,0.0
EX_ddca_e,0.0,0.0
EX_h_e,-991.7955784461784,8.189358097488915
EX_dgmp_e,0.0,0.0
EX_14glucan_e,0.0,0.0
EX_dgsn_e,0.0,0.0
EX_h2_e,0.0,0.0
EX_h2o_e,48.38394896902892,548.3764172408631
EX_dha_e,0.0,0.0
EX_15dap_e,0.0,0.0
EX_dimp_e,0.0,0.0
EX_din_e,0.0,0.0
EX_h2o2_e,0.0,0.0
EX_h2s_e,0.0,1.412203687323199e-13
EX_hacolipa_e,0.0,0.0
EX_halipa_e,0.0,0.0
EX_hdca_e,0.0,0.0
EX_hdcea_e,0.0,0.0
EX_dms_e,0.0,0.0
EX_dmso_e,0.0,0.0
EX_dopa_e,0.0,0.0
EX_doxrbcn_e,0.0,0.0
EX_dtmp_e,0.0,0.0
EX_dump_e,0.0,0.0
EX_hg2_e,0.0,0.0
EX_his__L_e,0.0,0.0
EX_duri_e,0.0,0.0
EX_eca4colipa_e,0.0,0.0
EX_hom__L_e,0.0,0.0
EX_23camp_e,0.0,0.0
EX_hxa_e,0.0,0.0
EX_enlipa_e,0.0,0.0
EX_23ccmp_e,0.0,0.0
EX_enter_e,0.0,0.0
EX_etha_e,0.0,1.1457501614131615e-13
EX_hxan_e,0.0,0.0
EX_23cgmp_e,0.0,0.0
EX_idon__L_e,0.0,0.0
EX_ile__L_e,0.0,0.0
EX_ethso3_e,0.0,0.0
EX_etoh_e,0.0,1.4921397450962104e-13
EX_imp_e,0.0,0.0
EX_f6p_e,0.0,0.0
EX_23cump_e,0.0,0.0
EX_fald_e,0.0,0.0
EX_indole_e,0.0,0.0
EX_inost_e,0.0,0.0
EX_fe2_e,-1000.0,-0.015063456332257702
EX_23dappa_e,0.0,0.0
EX_fe3_e,-1.2363443602225743e-12,999.9849365436659
EX_fe3dcit_e,0.0,0.0
EX_fe3dhbzs_e,-6.394884621840902e-13,0.0
EX_fe3hox_e,-2.913225216616411e-13,0.0
EX_fe3hox_un_e,0.0,0.0
EX_ins_e,0.0,0.0
EX_isetac_e,0.0,0.0
EX_k_e,-0.1830696240726792,-0.1830696240726792
EX_kdo2lipid4_e,0.0,3.445160823289939e-15
EX_lac__D_e,0.0,1.4921397450962104e-13
EX_lac__L_e,0.0,0.0
EX_fecrm_e,0.0,0.0
EX_fecrm_un_e,0.0,0.0
EX_feenter_e,0.0,0.0
EX_lcts_e,0.0,0.0
EX_feoxam_e,0.0,0.0
EX_leu__L_e,-0.4225486610846098,-0.4225486610846098
EX_26dap__M_e,0.0,0.0
EX_lipa_e,0.0,0.0
EX_lipa_cold_e,0.0,0.0
EX_feoxam_un_e,0.0,0.0
EX_for_e,0.0,6.340808954286015e-13
EX_2ddglcn_e,0.0,0.0
EX_fru_e,0.0,0.0
EX_frulys_e,0.0,0.0
EX_lipoate_e,0.0,0.0
EX_lys__L_e,0.0,0.0
EX_lyx__L_e,0.0,0.0
EX_fruur_e,0.0,0.0
EX_fuc__L_e,0.0,0.0
EX_34dhpac_e,0.0,0.0
EX_fum_e,0.0,0.0
EX_fusa_e,0.0,0.0
EX_mal__D_e,0.0,0.0
EX_mal__L_e,0.0,1.270095140171179e-13
EX_malt_e,0.0,0.0
EX_malthx_e,0.0,0.0
EX_3amp_e,0.0,0.0
EX_maltpt_e,0.0,0.0
EX_malttr_e,0.0,0.0
EX_maltttr_e,0.0,0.0
EX_man_e,0.0,0.0
EX_man6p_e,0.0,0.0
EX_manglyc_e,0.0,0.0
EX_melib_e,0.0,0.0
EX_meoh_e,1.8757806281237464e-06,1.8757806281237464e-06
EX_met__D_e,0.0,0.0
EX_met__L_e,0.0,0.0
EX_metsox_R__L_e,0.0,0.0
EX_metsox_S__L_e,0.0,0.0
EX_mg2_e,-0.008136198474486751,-0.008136198474486751
EX_mincyc_e,0.0,0.0
EX_minohp_e,0.0,0.0
EX_mmet_e,0.0,0.0
EX_mn2_e,-0.0006480822070167543,-0.0006480822070167543
EX_mnl_e,0.0,0.0
EX_tre_e,0.0,0.0
EX_trp__L_e,0.0,0.0
EX_tsul_e,0.0,0.0
EX_ttdca_e,0.0,0.0
EX_ttdcea_e,0.0,0.0
EX_ttrcyc_e,0.0,0.0
EX_mobd_e,-0.00012098785051398164,-0.00012098785051398164
EX_tungs_e,0.0,0.0
EX_3cmp_e,0.0,0.0
EX_tym_e,0.0,0.0
EX_tyr__L_e,0.0,0.0
EX_tyrp_e,0.0,0.0
EX_mso3_e,0.0,0.0
EX_n2o_e,0.0,0.0
EX_na1_e,0.0,0.0
EX_nac_e,0.0,0.0
EX_uacgam_e,0.0,0.0
EX_3gmp_e,0.0,0.0
EX_udpacgal_e,0.0,0.0
EX_udpg_e,0.0,0.0
EX_udpgal_e,0.0,0.0
EX_udpglcur_e,0.0,0.0
EX_ump_e,0.0,0.0
EX_ura_e,0.0,1.1157741397482823e-13
EX_nh4_e,-9.703047412062096,-9.703047412061807
EX_ni2_e,-0.00030293857144198503,-0.00030293857144198503
EX_nmn_e,0.0,0.0
EX_no_e,0.0,0.0
EX_no2_e,0.0,0.0
EX_no3_e,0.0,0.0
EX_novbcn_e,0.0,0.0
EX_o16a4colipa_e,0.0,0.0
EX_urea_e,0.0,2.3514523661560816e-13
EX_uri_e,0.0,0.0
EX_val__L_e,0.0,0.0
EX_xan_e,0.0,1.195155086008981e-13
EX_xmp_e,0.0,0.0
EX_o2_e,-272.6754485904912,-22.679214454573998
EX_3hcinnm_e,0.0,0.0
EX_o2s_e,0.0,0.0
EX_ocdca_e,0.0,0.0
EX_ocdcea_e,0.0,0.0
EX_octa_e,0.0,0.0
EX_xtsn_e,0.0,0.0
EX_xyl__D_e,0.0,0.0
EX_xylu__L_e,0.0,0.0
EX_zn2_e,-0.00031982059709509874,-0.00031982059709509874
EX_orn_e,0.0,0.0
EX_orot_e,0.0,0.0
12DGR120tipp,0.0,1.8474111129762605e-13
EX_3hpp_e,0.0,0.0
12DGR140tipp,0.0,3.419486915845482e-13
EX_pacald_e,0.0,0.0
EX_peamn_e,0.0,0.0
EX_phe__L_e,0.0,0.0
12DGR141tipp,0.0,1.5276668818842154e-13
12DGR160tipp,0.0,1.9539925233402755e-13
12DGR161tipp,0.0,3.89910326248355e-13
12DGR180tipp,0.0,0.0
12DGR181tipp,0.0,4.739542092124793e-13
EX_pheme_e,0.0,0.0
EX_pi_e,-0.9047180715438916,-0.904718071543801
EX_pnto__R_e,0.0,0.0
EX_ppa_e,0.0,0.0
EX_ppal_e,0.0,0.0
12PPDRtex,-1.5720758028692217e-13,0.0
12PPDRtpp,-1.5720758028692217e-13,0.0
12PPDStex,-1.7497114868092467e-13,0.0
EX_3hpppn_e,0.0,0.0
