,minimum,maximum
EX_agm_e,0.0,0.0
EX_akg_e,0.0,0.0
EX_ala_B_e,0.0,0.0
EX_ala__D_e,0.0,0.0
EX_ala__L_e,0.0,0.0
EX_alaala_e,0.0,0.0
EX_all__D_e,0.0,0.0
EX_acmum_e,0.0,0.0
EX_arbtn_fe3_e,0.0,0.0
EX_arg__L_e,0.0,0.0
EX_acnam_e,0.0,0.0
EX_alltn_e,0.0,0.0
EX_acolipa_e,0.0,0.0
EX_ascb__L_e,0.0,0.0
EX_amp_e,0.0,0.0
EX_asn__L_e,0.0,0.0
EX_aso3_e,0.0,0.0
EX_anhgm_e,0.0,0.0
EX_asp__L_e,0.0,0.0
EX_btn_e,0.0,0.0
EX_arab__L_e,0.0,0.0
EX_but_e,0.0,0.0
EX_butso3_e,0.0,0.0
EX_ca2_e,-0.005371155467986506,-0.005371155467986506
EX_acser_e,0.0,0.0
EX_ade_e,0.0,0.0
EX_cbi_e,0.0,0.0
EX_arbt_e,0.0,0.0
EX_adn_e,0.0,0.0
EX_arbtn_e,0.0,0.0
EX_adocbl_e,0.0,0.0
EX_ag_e,0.0,0.0
EX_colipa_e,0.0,0.0
EX_cbl1_e,0.0,0.0
EX_cd2_e,0.0,0.0
EX_cgly_e,0.0,0.0
EX_chol_e,0.0,0.0
EX_chtbs_e,0.0,0.0
EX_cit_e,0.0,0.0
EX_cl_e,-0.005371155467986506,-0.005371155467986506
EX_cm_e,0.0,0.0
EX_cmp_e,0.0,0.0
EX_co2_e,21.110516389282246,21.110516389282367
EX_cynt_e,0.0,0.0
EX_cys__D_e,0.0,0.0
EX_cobalt2_e,-2.5798057002817034e-05,-2.5798057002817034e-05
EX_cys__L_e,0.0,0.0
EX_cytd_e,0.0,0.0
EX_dopa_e,0.0,0.0
EX_colipap_e,0.0,0.0
EX_dha_e,0.0,0.0
EX_dimp_e,0.0,0.0
EX_dad_2_e,0.0,0.0
EX_damp_e,0.0,0.0
EX_cpgn_e,0.0,0.0
EX_dca_e,0.0,0.0
EX_dcmp_e,0.0,0.0
EX_din_e,0.0,0.0
EX_dms_e,0.0,0.0
EX_dmso_e,0.0,0.0
EX_dcyt_e,0.0,0.0
EX_cpgn_un_e,0.0,0.0
EX_ddca_e,0.0,0.0
EX_doxrbcn_e,0.0,0.0
EX_dtmp_e,0.0,0.0
EX_crn_e,0.0,0.0
EX_dump_e,0.0,0.0
EX_duri_e,0.0,0.0
EX_eca4colipa_e,0.0,0.0
EX_dgmp_e,0.0,0.0
EX_dgsn_e,0.0,0.0
EX_enlipa_e,0.0,0.0
EX_crn__D_e,0.0,0.0
EX_enter_e,0.0,0.0
EX_etha_e,0.0,0.0
EX_fe2_e,-1000.0,-0.01657370373617177
EX_ethso3_e,0.0,0.0
EX_csn_e,0.0,0.0
EX_etoh_e,0.0,2.078337502098293e-13
EX_f6p_e,0.0,0.0
EX_fald_e,0.0,0.0
EX_fe3_e,-1.7408297026122455e-12,999.9834262962592
EX_feoxam_un_e,0.0,0.0
EX_for_e,0.0,7.100374433376133e-13
EX_g1p_e,0.0,0.0
EX_fru_e,0.0,0.0
EX_fe3dcit_e,0.0,0.0
EX_fe3dhbzs_e,-5.826450433232822e-13,0.0
EX_cu_e,0.0,0.0
EX_fe3hox_e,-2.2737367544323206e-13,0.0
EX_frulys_e,0.0,0.0
EX_cu2_e,-0.000731632896599891,-0.000731632896599891
EX_fruur_e,0.0,0.0
EX_fuc__L_e,0.0,0.0
EX_fe3hox_un_e,0.0,0.0
EX_fecrm_e,0.0,0.0
EX_fecrm_un_e,0.0,0.0
EX_feenter_e,0.0,0.0
EX_fum_e,0.0,0.0
EX_fusa_e,0.0,0.0
EX_feoxam_e,0.0,0.0
EX_cyan_e,0.0,0.0
EX_g3pc_e,0.0,0.0
EX_g3pe_e,0.0,0.0
EX_galct__D_e,0.0,0.0
EX_g3pg_e,0.0,0.0
EX_g3pi_e,0.0,0.0
EX_g3ps_e,0.0,0.0
EX_g6p_e,0.0,0.0
EX_gal_e,0.0,0.0
EX_gal_bD_e,0.0,0.0
EX_gal1p_e,0.0,0.0
EX_galctn__D_e,0.0,0.0
EX_galctn__L_e,0.0,0.0
EX_galt_e,0.0,0.0
EX_galur_e,0.0,0.0
EX_gam_e,0.0,0.0
EX_glcn_e,0.0,0.0
EX_gam6p_e,0.0,0.0
EX_gbbtn_e,0.0,0.0
EX_glcr_e,0.0,0.0
EX_gdp_e,0.0,0.0
EX_glcur_e,0.0,0.0
EX_glcur1p_e,0.0,0.0
EX_gln__L_e,0.0,0.0
EX_glu__L_e,0.0,0.0
EX_gly_e,0.0,1.6231460620019789e-13
EX_glyald_e,0.0,0.0
EX_glc__D_e,-10.0,-10.000000000000012
EX_glyb_e,0.0,0.0
EX_glyc_e,0.0,0.0
EX_h2o2_e,0.0,0.0
EX_h2s_e,0.0,0.0
EX_glyc__R_e,0.0,1.1141088052113446e-13
EX_glyc2p_e,0.0,0.0
EX_glyc3p_e,0.0,0.0
EX_glyclt_e,0.0,1.3223341692458757e-13
EX_gmp_e,0.0,0.0
EX_gsn_e,0.0,0.0
DM_4crsol_c,0.00023011866846512792,0.00023011866846512792
EX_gthox_e,0.0,0.0
EX_gthrd_e,0.0,0.0
EX_gtp_e,0.0,0.0
EX_gua_e,0.0,0.0
EX_h_e,-991.5605425387835,8.422883757478537
EX_h2_e,0.0,5.10702591327572e-13
EX_h2o_e,46.0113949243883,546.0031080725189
EX_pser__L_e,0.0,0.0
EX_ptrc_e,0.0,0.0
EX_pydam_e,0.0,0.0
EX_pydx_e,0.0,0.0
EX_pydxn_e,0.0,0.0
EX_pyr_e,0.0,0.0
EX_hacolipa_e,0.0,0.0
EX_halipa_e,0.0,0.0
EX_hdca_e,0.0,0.0
EX_hdcea_e,0.0,0.0
EX_hg2_e,0.0,0.0
EX_his__L_e,0.0,0.0
EX_hom__L_e,0.0,1.170175067954915e-13
EX_hxa_e,0.0,0.0
EX_hxan_e,0.0,1.3289369604763124e-13
EX_idon__L_e,0.0,1.0802470029602773e-13
EX_ile__L_e,0.0,0.0
EX_imp_e,0.0,0.0
EX_indole_e,0.9413424418315987,0.9413424418315549
EX_quin_e,0.0,0.0
EX_r5p_e,0.0,0.0
EX_rfamp_e,0.0,0.0
EX_rib__D_e,0.0,0.0
EX_rmn_e,0.0,0.0
EX_sbt__D_e,0.0,0.0
EX_inost_e,0.0,0.0
EX_ins_e,0.0,0.0
DM_5drib_c,0.00023218251302535329,0.00023218251302535329
EX_isetac_e,0.0,0.0
EX_k_e,-0.20142400562203477,-0.2014240056220346
EX_kdo2lipid4_e,0.0,2.824129818890242e-15
EX_sel_e,0.0,0.0
EX_ser__D_e,0.0,0.0
EX_ser__L_e,0.0,2.281647093482775e-13
EX_skm_e,0.0,0.0
EX_lac__D_e,0.0,0.0
DM_aacald_c,0.0,0.0
EX_lac__L_e,0.0,0.0
EX_lcts_e,0.0,0.0
EX_leu__L_e,0.0,0.0
EX_lipa_e,0.0,0.0
EX_lipa_cold_e,0.0,0.0
EX_lipoate_e,0.0,0.0
EX_lys__L_e,0.0,0.0
EX_slnt_e,0.0,0.0
EX_so2_e,0.0,0.0
EX_so3_e,0.0,0.0
EX_so4_e,-0.2602611182672888,-0.2602611182672188
EX_spmd_e,0.0,0.0
EX_succ_e,0.0,0.0
EX_sucr_e,0.0,0.0
EX_sulfac_e,0.0,0.0
EX_tartr__D_e,0.0,0.0
EX_lyx__L_e,0.0,0.0
EX_mal__D_e,0.0,0.0
EX_mal__L_e,0.0,0.0
EX_malt_e,0.0,0.0
EX_tartr__L_e,0.0,0.0
DM_amob_c,2.0638445602253623e-06,2.0638445602253623e-06
EX_taur_e,0.0,0.0
EX_tcynt_e,0.0,0.0
EX_thm_e,0.0,0.0
EX_thr__L_e,0.0,0.0
EX_malthx_e,0.0,0.0
EX_maltpt_e,0.0,0.0
EX_malttr_e,0.0,0.0
EX_maltttr_e,0.0,0.0
EX_thrp_e,0.0,0.0
EX_man_e,0.0,0.0
DM_mththf_c,0.0004623011814904207,0.0004623011814904876
EX_man6p_e,0.0,0.0
