,minimum,maximum
NAabc,0.0,7.13799999999855
ASNS1,0.0,4.7988430268908395
ASNS2,0.0,7.198264540336245
SSALx,0.0,10.410897716243438
AMID_1,-10.791761726078878,0.0
AGTi,-14.275999999996694,0.0
GLUDxi,0.0,14.275999999996685
ABTA,0.0,0.9733636363634719
SSALy,0.0,14.275999999996777
ASPTA,-16.686581613505872,-2.41058161350861
GF6PTA,0.24105816135084412,14.517058161347968
A4PA,0.0,0.9733636363634655
GLUR,-0.06696060037523452,0.0
ARGSL,0.0,4.7586666666657225
ASNN,0.0,7.137999999998407
GLUSy,0.0,17.52611976234999
GLUN,0.0,14.275999999997222
3A2OA,-0.879470919324578,0.0
ALATA_L,0.0,14.914412757975342
A4GA,0.0,0.9733636363637732
UAMAS,0.06026454033771103,0.06696060037523455
GTHRDH_syn,0.0,0.0
UAMAGS,0.06026454033771103,0.06696060037523455
GLNS,13.37540176896236,31.072575359597217
ALAR,-4.698402126328122,0.13392120075046907
ALAALAD,0.0,14.275999999997294
ALAALAr,0.06026454033771103,14.336264540335005
SPTc,0.0,0.0
ARGSS,0.0,4.7586666666655875
GLUSx,0.0,28.782522826763653
MSADC,-0.879470919324578,0.0
ASP4DC,0.0,14.276000000001495
G6PDA,0.0,14.276000000001494
ACGAMK,0.0,0.0
UAGDP,0.24105816135084412,4.999724828017969
PGAMT,-4.999724828016683,-0.24105816135084412
G1PACT,0.24105816135084412,4.999724828017969
AGDC,0.0,4.758666666667125
UAG2EMA,0.0,4.758666666667125
UAGCVT,0.06026454033771103,0.06696060037523435
ACNML,0.0,0.0
AMANAPEr,0.0,4.758666666665704
AMANK,0.0,4.758666666665704
UAPGR,0.0,0.06696060037523435
UAG2E,0.06026454033771103,0.06696060037523435
ARGDC,0.0,0.9733636363634621
ALPHNH,0.0,0.9733636363634621
PTRCAT1,0.0,0.0
AGPR,-4.939460287679024,-0.1807936210131331
AGMT,0.0,0.9733636363634621
OCBT,0.1807936210131331,1.1541572573765952
ACODA,0.0,3.7045952157591415
ORNTAC,0.0,4.939460287678839
DM1PE_2,0.0,0.0
SHSL1,0.0,0.13304753028890956
SPMS,0.0,0.0
ADMDC,0.0,0.0
CYSDS,0.0,4.758666666665656
LCYSTST,0.0,0.0
SPMDAT2,0.0,0.0
SPRMS,0.0,0.0
METRR,0.0,0.0
AHCYSNS,0.0,0.8080754716979448
M51PH,0.0,0.0
M523I,0.0,0.0
METGL,0.0,0.8565599999998128
HSST,0.0,0.13304753028890956
AHSERL,0.0,0.8565599999998357
RHCCE,0.0,0.8080754716979512
MTRK,0.0,0.0
MTRI,0.0,0.0
MTAN,0.0,0.0
CYSTL,0.0,0.13304753028890956
HCYSMT,0.0,3.56899999999919
ORNR,0.0,4.758666666665613
A24T,0.0,4.758666666665613
O45AM,0.0,4.758666666665613
DOP1,0.0,4.758666666665613
DOP2,0.0,4.758666666665745
DNMPPA,0.0,0.0
DHPS2_2,0.0,0.0
DNTPPA,0.0,0.0
HPPK2,0.0,0.0
ADCS,0.0,0.0
DHFS,0.0,0.0
ADCL,0.0,0.0
DACL,0.0,0.0
DHPS2,0.0,0.0
GTPCI,0.0,0.0
DHNPA2r,0.0,0.0
PMANM,0.0,0.0
FRUK,0.0,0.0
r0191,0.0,25.09458724202354
SBTPD,0.0,0.0
MAN1PT2,0.0,0.0
A6PAG,0.0,0.0
HEX4,0.0,0.0
FBP,0.0,14.275999999997163
TALA,0.0,14.456793621010316
HEX7,0.0,14.275999999997275
FBA,-11.914515947465736,22.38268292682639
A6PAG2,0.0,0.0
FCLPA,0.0,0.0
ID6P,0.0,25.0945872420237
FBA3,-14.27599999999706,3.2399364781553084
PFK_3,0.0,14.45679362101015
DGAK,0.0,14.275999999997051
MAN6PI,0.0,0.0
M1PD,0.0,0.0
SBTD_D2,0.0,0.0
CD6P,0.0,25.094587242023582
PGK,0.0,14.275999999996353
LDH_L,-2.4679764138296263,0.0
G1PP,0.0,14.697851782360637
HEX1,0.0,14.275999999996813
GalMr_2,-14.336264540334858,-0.06026454033771103
XYLI2,0.0,14.275999999996827
TPI,-13.119806754220056,6.9013921200749895
ENO,-17.15863320825372,5.627368855534142
ACS,0.0,14.275999999997394
ALCD2x,-4.991361632268081,0.0
PYK,-37.35952345215954,6.591168855531668
PFK_adp,-16.987904315193845,0.0
DGLACH,0.36158724202626624,4.798353137376807
OBFOX,0.0,5.70441329402081
