,minimum,maximum
DM_4crsol_c,0.0,0.00021779892768600167
DM_5drib_c,1.7580624488775915e-06,0.22149170847758148
DM_aacald_c,0.0,0.0
DM_amob_c,1.7580624488775915e-06,1.953402720975096e-06
DM_mththf_c,0.0,0.00043756220949842155
DM_oxam_c,0.0,1.9946391752569308
BIOMASS_Ec_iJO1366_WT_53p95M,0.0,0.0
Biomass_Gut,0.8790312244387958,0.9767013604875435
EX_12ppd__R_e,0.0,1.4489919733474608
EX_12ppd__S_e,0.0,1.4069922060016324
EX_14glucan_e,0.0,0.0
EX_15dap_e,0.0,0.7677777777765513
EX_23camp_e,0.0,0.0
EX_23ccmp_e,0.0,0.0
EX_ala__L_e,0.0,2.0582978723378704
EX_alaala_e,0.0,0.21788288288268398
EX_23cgmp_e,0.0,0.0
EX_all__D_e,0.0,0.0
EX_alltn_e,0.0,1.599008264456021
EX_23cump_e,0.0,0.0
EX_amp_e,0.0,0.0
EX_anhgm_e,0.0,0.27798850574688266
EX_23dappa_e,0.0,0.0
EX_arab__L_e,0.0,0.0
EX_arbt_e,0.0,0.0
EX_26dap__M_e,0.0,0.0
EX_arbtn_e,0.0,0.0
EX_arbtn_fe3_e,0.0,0.0
EX_2ddglcn_e,0.0,0.0
EX_arg__L_e,0.0,0.8875229357787475
EX_ascb__L_e,0.0,0.0
EX_asn__L_e,0.0,1.727499999998016
EX_aso3_e,0.0,0.0
EX_asp__L_e,0.0,1.8603846153822428
EX_btn_e,0.0,0.0
EX_but_e,0.0,0.0
EX_butso3_e,0.0,0.0
EX_ca2_e,-0.005083730581337703,-0.004575357523203933
EX_feoxam_un_e,0.0,0.0
EX_for_e,0.0,11.76548041310972
EX_fru_e,0.0,0.0
EX_frulys_e,0.0,0.0
EX_fruur_e,0.0,0.0
EX_fuc__L_e,0.0,0.0
EX_fum_e,0.0,0.0
EX_cbi_e,0.0,0.0
EX_cbl1_e,0.0,0.0
EX_cd2_e,0.0,0.0
EX_fusa_e,0.0,0.0
EX_34dhpac_e,0.0,0.0
EX_g1p_e,0.0,0.0
EX_g3pc_e,0.0,0.0
EX_g3pe_e,0.0,0.7441538461537118
EX_g3pg_e,0.0,0.6536486486506907
EX_cgly_e,0.0,0.6941472614193905
EX_chol_e,0.0,0.0
EX_chtbs_e,0.0,0.0
EX_cit_e,0.0,1.256363636362268
EX_3amp_e,0.0,0.0
EX_cl_e,-0.00508373058133765,-0.004575357523203933
EX_cm_e,0.0,0.0
EX_cmp_e,0.0,0.0
EX_g3pi_e,0.0,0.0
EX_g3ps_e,0.0,0.0
EX_g6p_e,0.0,0.0
EX_co2_e,12.152686699883134,23.918167112996798
EX_3cmp_e,0.0,0.0
EX_cobalt2_e,-2.3932711084737473e-05,-2.1975780610969895e-05
EX_colipa_e,0.0,0.0
EX_colipap_e,0.0,0.0
EX_cpgn_e,0.0,0.0
EX_gal_e,0.0,0.0
EX_gal_bD_e,0.0,0.0
EX_gal1p_e,0.0,0.0
EX_galct__D_e,0.0,0.0
EX_galctn__D_e,0.0,0.0
EX_galctn__L_e,0.0,0.0
EX_galt_e,0.0,0.0
EX_cpgn_un_e,0.0,0.0
EX_crn_e,0.0,0.0
EX_crn__D_e,0.0,0.0
EX_csn_e,0.0,0.0
EX_galur_e,0.0,0.0
EX_3gmp_e,0.0,0.0
EX_gam_e,0.0,0.0
EX_gam6p_e,0.0,0.0
EX_gbbtn_e,0.0,0.0
EX_cu_e,0.0,0.0
EX_cu2_e,-0.0006924812645856663,-0.0006232331381271062
EX_cyan_e,0.0,0.0
EX_cynt_e,0.0,0.0
EX_gdp_e,0.0,0.0
EX_glc__D_e,-10.0,-9.012857142857488
EX_cys__D_e,0.0,0.0
EX_3hcinnm_e,0.0,0.0
EX_cys__L_e,0.0,1.007708333332143
EX_cytd_e,0.0,0.0
EX_glcn_e,0.0,1.0291489361692427
EX_glcr_e,0.0,0.0
EX_glcur_e,0.0,0.0
EX_dad_2_e,0.0,0.0
EX_3hpp_e,0.0,1.2402564102541127
EX_damp_e,0.0,0.0
EX_dca_e,0.0,0.0
EX_glcur1p_e,0.0,0.0
EX_gln__L_e,0.0,0.0
EX_glu__L_e,0.0,1.3072972972963102
EX_gly_e,0.0,3.2346047163031244
EX_glyald_e,0.0,1.7589090909088259
EX_dcmp_e,0.0,0.0
EX_dcyt_e,0.0,0.0
EX_ddca_e,0.0,0.0
EX_dgmp_e,0.0,0.0
