,minimum,maximum
DM_4crsol_c,0.0,7.244990724986304e-05
DM_5drib_c,0.00013041681624169495,0.19769940015542775
DM_aacald_c,0.0,0.0
DM_amob_c,0.0,6.218190405763146e-07
DM_mththf_c,0.0,0.0001455572538837351
DM_oxam_c,0.0,0.24555555555555364
BIOMASS_Ec_iJO1366_WT_53p95M,0.0,0.0
Biomass_Gut,0.29241438619214116,0.32490487354682474
EX_12ppd__R_e,0.0,3.2534339135301122
EX_12ppd__S_e,0.0,2.9245674606545142
EX_14glucan_e,0.0,0.0
EX_15dap_e,0.0,1.7912063641813565
EX_23camp_e,0.0,0.0
EX_23ccmp_e,0.0,0.0
EX_ala__L_e,-1.0,5.0
EX_alaala_e,0.0,0.14031746031747214
EX_23cgmp_e,0.0,0.0
EX_all__D_e,0.0,0.0
EX_alltn_e,0.0,0.2209999999999992
EX_23cump_e,0.0,0.0
EX_amp_e,0.0,0.0
EX_anhgm_e,0.0,0.14491803278690057
EX_23dappa_e,0.0,0.0
EX_arab__L_e,0.0,0.0
EX_arbt_e,0.0,0.0
EX_26dap__M_e,0.0,0.0
EX_arbtn_e,0.0,0.0
EX_arbtn_fe3_e,0.0,0.0
EX_2ddglcn_e,0.0,0.0
EX_arg__L_e,-1.0,0.492040557333848
EX_ascb__L_e,0.0,0.0
EX_asn__L_e,-1.0,1.0930080334243435
EX_aso3_e,0.0,0.0
EX_asp__L_e,-1.0,2.4865872957082855
EX_btn_e,-6.344838316297017e-07,0.0
EX_but_e,-3.159728560877974,0.0
EX_butso3_e,0.0,0.0
EX_ca2_e,-0.001691129866811215,-0.0015220168801300948
EX_feoxam_un_e,0.0,0.0
EX_for_e,0.0,18.753866453888847
EX_fru_e,0.0,0.0
EX_frulys_e,0.0,0.0
EX_fruur_e,0.0,0.0
EX_fuc__L_e,0.0,0.0
EX_fum_e,0.0,0.0
EX_cbi_e,0.0,0.0
EX_cbl1_e,0.0,0.0
EX_cd2_e,0.0,0.0
EX_fusa_e,0.0,0.0
EX_34dhpac_e,0.0,0.0
EX_g1p_e,0.0,0.0
EX_g3pc_e,0.0,0.0
EX_g3pe_e,0.0,0.2762499999999952
EX_g3pg_e,0.0,0.23263157894736455
EX_cgly_e,0.0,0.4911111111111048
EX_chol_e,0.0,0.0
EX_chtbs_e,0.0,0.0
EX_cit_e,0.0,2.085577296513948
EX_3amp_e,0.0,0.0
EX_cl_e,-0.001691129866811215,-0.0015220168801300948
EX_cm_e,0.0,0.0
EX_cmp_e,0.0,0.0
EX_g3pi_e,0.0,0.0
EX_g3ps_e,0.0,0.0
EX_g6p_e,0.0,0.0
EX_co2_e,-2.577690503055528,30.957802685613117
EX_3cmp_e,0.0,0.0
EX_cobalt2_e,-7.5468724519744435e-06,-7.310359654803529e-06
EX_colipa_e,0.0,0.0
EX_colipap_e,0.0,0.0
EX_cpgn_e,0.0,0.0
EX_gal_e,0.0,0.0
EX_gal_bD_e,0.0,0.0
EX_gal1p_e,0.0,0.0
EX_galct__D_e,0.0,0.0
