,0
EX_arg__L_e,0.0295792
EX_asn__L_e,0.19960640000000213
EX_btn_e,2e-07
EX_ca2_e,0.0005205
EX_cl_e,0.0005205
EX_cobalt2_e,2.5e-06
EX_cu2_e,7.09e-05
EX_glc__D_e,4.578530647916672
EX_cys__L_e,0.00937359999999999
EX_gln__L_e,0.07794000000000001
EX_fe2_e,0.0008253
EX_fe3_e,0.0007808
EX_his__L_e,0.009473800000000001
EX_k_e,0.019519300000000003
EX_leu__L_e,0.045053100000000006
EX_lys__L_e,0.0343161
EX_met__L_e,0.015390899999999999
EX_mg2_e,0.0008675000000000001
EX_mn2_e,6.91e-05
EX_thm_e,2.23e-05
EX_thr__L_e,0.06817829999999864
EX_mobd_e,1.29e-05
EX_trp__L_e,0.0056843
EX_ni2_e,3.23e-05
EX_tyr__L_e,0.013789599999999999
EX_phe__L_e,0.0185265
EX_pi_e,0.09646310000000069
EX_pnto__R_e,5.759999999999099e-05
EX_zn2_e,3.41e-05
EX_ser__L_e,0.12779040000000275
EX_so4_e,0.00043380000000000003
