,minimum,maximum
EX_23cump_e,0.0,0.0
EX_23dappa_e,0.0,0.0
EX_26dap__M_e,0.0,0.0
EX_2ddglcn_e,0.0,0.0
EX_34dhpac_e,0.0,0.0
EX_3amp_e,0.0,0.0
EX_3cmp_e,0.0,0.0
EX_3gmp_e,0.0,0.0
EX_3hcinnm_e,0.0,0.0
EX_3hpp_e,0.0,1.2632000000013148
EX_3hpppn_e,0.0,0.0
EX_3ump_e,0.0,0.0
EX_4abut_e,0.0,1.3343661971847869
EX_4hoxpacd_e,0.0,0.0
DM_4crsol_c,0.00019718342264026773,0.0002190926918225192
EX_5dglcn_e,0.0,0.0
DM_5drib_c,0.00019895188382986655,0.2239511447910436
DM_aacald_c,0.0,0.0
EX_5mtr_e,0.0,0.2810833950484693
DM_amob_c,1.7684611895988136e-06,1.9570329413340647e-06
EX_LalaDglu_e,0.0,0.0
DM_mththf_c,0.0003961353064701351,0.00044015034052238833
DM_oxam_c,0.0,2.0024288143136157
BIOMASS_Ec_iJO1366_WT_53p95M,0.0,0.0
EX_LalaDgluMdap_e,0.0,0.3324210526318495
Biomass_Gut,0.8842305947994068,0.9824784386660078
EX_LalaDgluMdapDala_e,0.0,0.28536144578349154
EX_12ppd__R_e,0.0,1.4421700423694563
EX_LalaLglu_e,0.0,0.0
EX_12ppd__S_e,0.0,1.42064511636395
EX_14glucan_e,0.0,0.0
EX_cynt_e,0.0,0.0
EX_cys__D_e,0.0,0.0
EX_cys__L_e,0.0,1.0511665359309295
EX_cytd_e,0.0,0.6443986343938011
EX_dad_2_e,0.0,0.0
EX_damp_e,0.0,0.0
EX_dca_e,0.0,0.0
EX_dcmp_e,0.0,0.0
EX_dcyt_e,0.0,0.0
EX_ddca_e,0.0,0.0
EX_dgmp_e,0.0,0.0
EX_15dap_e,0.0,0.7895000000006342
EX_23camp_e,0.0,0.0
EX_23ccmp_e,0.0,0.0
EX_23cgmp_e,0.0,0.0
EX_glyclt_e,0.0,3.643937161582675
EX_gmp_e,0.0,0.0
EX_gsn_e,0.0,0.0
EX_gthox_e,0.0,0.0
EX_gthrd_e,0.0,0.46429485404428306
EX_gtp_e,0.0,0.0
EX_gua_e,0.0,1.1483122584448238
EX_dgsn_e,0.0,0.0
EX_dha_e,0.0,1.9698689961925568
EX_dimp_e,0.0,0.0
EX_h_e,-1000.0,19.667176085160236
EX_h2_e,0.0,0.0
EX_ac_e,0.0,3.643846153846539
EX_h2o_e,35.51746605315577,552.7905712435094
EX_h2o2_e,0.0,0.0
EX_din_e,0.0,0.0
EX_dms_e,0.0,0.0
EX_dmso_e,0.0,0.0
EX_acac_e,0.0,0.0
EX_dopa_e,0.0,0.0
EX_doxrbcn_e,0.0,0.0
EX_dtmp_e,0.0,0.0
EX_h2s_e,0.0,2.203255813954279
EX_hacolipa_e,0.0,0.0
EX_halipa_e,0.0,0.0
EX_hdca_e,0.0,0.0
EX_hdcea_e,0.0,0.0
EX_hg2_e,0.0,0.0
EX_his__L_e,0.0,0.8859008648334794
EX_hom__L_e,0.0,1.3312850908356224
EX_dump_e,0.0,0.0
EX_duri_e,0.0,0.0
EX_eca4colipa_e,0.0,0.0
EX_enlipa_e,0.0,0.04144356955387206
EX_enter_e,0.0,0.18453456704669505
EX_etha_e,0.0,1.6316086635165143
EX_ethso3_e,0.0,0.0
EX_etoh_e,0.0,2.153181818183146
EX_hxa_e,0.0,0.8028813559323592
EX_hxan_e,0.0,1.176183915202875
EX_idon__L_e,0.0,0.0
EX_f6p_e,0.0,0.0
EX_fald_e,0.0,0.0
EX_ile__L_e,0.0,0.7519047619058115
EX_acald_e,0.0,2.560540540543326
EX_imp_e,0.0,0.0
EX_indole_e,0.0,0.570774762148469
EX_fe2_e,-1000.0,9.965012070841684
EX_fe3_e,-9.979213698427657,999.985798372417
EX_fe3dcit_e,0.0,0.0
EX_inost_e,0.0,0.0
EX_fe3dhbzs_e,0.0,0.0
EX_ins_e,0.0,0.5789579128602327
EX_acgal_e,0.0,0.0
EX_isetac_e,0.0,0.0
EX_k_e,-0.1917729138785344,-0.1725956224906806
EX_kdo2lipid4_e,0.0,0.056392857142929895
EX_fe3hox_e,0.0,0.0
EX_fe3hox_un_e,0.0,0.0
EX_fecrm_e,0.0,0.0
EX_fecrm_un_e,0.0,0.0
EX_feenter_e,0.0,0.18453456704641819
EX_lac__D_e,0.0,2.153181818182583
EX_lac__L_e,0.0,1.7902447313793068
EX_lcts_e,0.0,0.0
EX_leu__L_e,0.0,0.8384070796465224
EX_lipa_e,0.0,0.04244623655917405
EX_feoxam_e,0.0,0.0
EX_feoxam_un_e,0.0,0.0
EX_for_e,0.0,11.536284051846346
EX_fru_e,0.0,0.0
EX_lipa_cold_e,0.0,0.04095979247731791
EX_frulys_e,0.0,0.0
EX_acgal1p_e,0.0,0.0
EX_fruur_e,0.0,0.0
EX_fuc__L_e,0.0,0.0
EX_fum_e,0.0,0.0
EX_fusa_e,0.0,0.0
EX_g1p_e,0.0,0.0
EX_lipoate_e,0.0,0.0
EX_lys__L_e,0.0,0.78950000000006
EX_lyx__L_e,0.0,0.0
EX_mal__D_e,0.0,0.0
EX_mal__L_e,0.0,1.8566581343436592
EX_malt_e,0.0,0.0
EX_g3pc_e,0.0,0.0
EX_g3pe_e,0.0,0.8022976375229435
EX_malthx_e,0.0,0.0
EX_g3pg_e,0.0,0.6966176470591146
EX_maltpt_e,0.0,0.0
EX_acgam_e,0.0,0.0
EX_malttr_e,0.0,0.0
EX_maltttr_e,0.0,0.0
EX_g3pi_e,0.0,0.0
EX_g3ps_e,0.0,0.0
EX_man_e,0.0,0.0
EX_g6p_e,0.0,0.0
EX_acgam1p_e,0.0,0.0
EX_gal_e,0.0,0.0
EX_man6p_e,0.0,0.0
