,minimum,maximum
EX_23cump_e,0.0,0.0
EX_23dappa_e,0.0,0.0
EX_26dap__M_e,0.0,0.0
EX_2ddglcn_e,0.0,0.0
EX_34dhpac_e,0.0,0.0
EX_3amp_e,0.0,0.0
EX_3cmp_e,0.0,0.0
EX_3gmp_e,0.0,0.0
EX_3hcinnm_e,0.0,0.0
EX_3hpp_e,0.0,0.0
EX_3hpppn_e,0.0,0.0
EX_3ump_e,0.0,0.0
EX_4abut_e,0.0,4.202545354391574
EX_4hoxpacd_e,0.0,0.0
DM_4crsol_c,0.0,7.527790894870408e-05
EX_5dglcn_e,0.0,0.0
DM_5drib_c,0.0001355074509786253,0.1917866981082157
DM_aacald_c,0.0,0.0
EX_5mtr_e,0.0,0.40544117647065075
DM_amob_c,0.0,6.75173550137636e-07
EX_LalaDglu_e,0.0,0.0
DM_mththf_c,0.0001355074509786253,0.00015123887523082178
DM_oxam_c,0.0,0.2588762177305906
BIOMASS_Ec_iJO1366_WT_53p95M,0.0,0.0
EX_LalaDgluMdap_e,0.0,0.1570940170940333
Biomass_Gut,0.3038283654229267,0.3375870726921489
EX_LalaDgluMdapDala_e,0.0,0.15190082644630143
EX_12ppd__R_e,0.0,3.1880781620754846
EX_LalaLglu_e,0.0,0.0
EX_12ppd__S_e,0.0,2.6241115357220237
EX_14glucan_e,0.0,0.0
EX_cynt_e,0.0,0.0
EX_cys__D_e,0.0,0.0
EX_cys__L_e,-1.0,0.4702023368895116
EX_cytd_e,0.0,0.2757000000000118
EX_dad_2_e,0.0,0.0
EX_damp_e,0.0,0.0
EX_dca_e,0.0,0.0
EX_dcmp_e,0.0,0.0
EX_dcyt_e,0.0,0.0
EX_ddca_e,0.0,0.0
EX_dgmp_e,0.0,0.0
EX_15dap_e,0.0,1.7271779349155083
EX_23camp_e,0.0,0.0
EX_23ccmp_e,0.0,0.0
EX_23cgmp_e,0.0,0.0
EX_glyclt_e,0.0,3.1147306091202305
EX_gmp_e,0.0,0.0
EX_gsn_e,0.0,0.0
EX_gthox_e,0.0,0.0
EX_gthrd_e,0.0,0.46706105696996514
EX_gtp_e,0.0,0.0
EX_gua_e,0.0,0.1967459254752506
EX_dgsn_e,0.0,0.0
EX_dha_e,0.0,2.2975000000003103
EX_dimp_e,0.0,0.0
EX_h_e,-6.900576514822295,31.271086731455906
EX_h2_e,0.0,0.0
EX_ac_e,1.0614285714281737,5.0
EX_h2o_e,-12.9315476378466,4.702551220767976
EX_h2o2_e,0.0,0.0
EX_din_e,0.0,0.0
EX_dms_e,0.0,0.0
EX_dmso_e,0.0,0.0
EX_acac_e,0.0,0.0
EX_dopa_e,0.0,0.0
EX_doxrbcn_e,0.0,0.0
EX_dtmp_e,0.0,0.0
EX_h2s_e,0.0,1.4702023368895125
EX_hacolipa_e,0.0,0.0
EX_halipa_e,0.0,0.0
EX_hdca_e,0.0,0.0
EX_hdcea_e,0.0,0.0
EX_hg2_e,0.0,0.0
EX_his__L_e,-0.03198232409270816,0.27582094547086794
EX_hom__L_e,0.0,1.2210944595068935
EX_dump_e,0.0,0.0
EX_duri_e,0.0,0.0
EX_eca4colipa_e,0.0,0.0
EX_enlipa_e,0.0,0.05549240280831263
EX_enter_e,0.0,0.0937755102040907
EX_etha_e,0.0,0.5459405940595188
EX_ethso3_e,0.0,0.0
EX_etoh_e,0.0,23.795616840709858
EX_hxa_e,0.0,4.670610569699394
EX_hxan_e,0.0,0.24582160893154198
EX_idon__L_e,0.0,0.0
EX_f6p_e,0.0,0.0
EX_fald_e,0.0,0.0
EX_ile__L_e,-0.09807883464217339,1.4848642119262427
EX_acald_e,0.0,9.341221139399572
EX_imp_e,0.0,0.0
EX_indole_e,0.0,1.279181097127515
EX_fe2_e,-0.01,1.6439117574259108
EX_fe3_e,-1.648791544802819,-0.0023722918772222114
EX_fe3dcit_e,0.0,0.0
EX_inost_e,0.0,0.0
EX_fe3dhbzs_e,0.0,0.0
EX_ins_e,0.0,0.19553191489364619
EX_acgal_e,0.0,0.0
EX_isetac_e,0.0,0.0
EX_k_e,-0.0658946334799974,-0.05930517013199733
EX_kdo2lipid4_e,0.0,0.0651713102748767
EX_fe3hox_e,0.0,0.0
EX_fe3hox_un_e,0.0,0.0
EX_fecrm_e,0.0,0.0
EX_fecrm_un_e,0.0,0.0
EX_feenter_e,0.0,0.09377551020409422
EX_lac__D_e,-2.0,5.0
EX_lac__L_e,-2.0,1.8959401621280025
EX_lcts_e,0.0,0.0
EX_leu__L_e,-0.15209344144706544,2.5231626670190566
EX_lipa_e,0.0,0.060136616777249303
EX_feoxam_e,0.0,0.0
EX_feoxam_un_e,0.0,0.0
EX_for_e,0.0,20.52727046679213
EX_fru_e,0.0,0.0
EX_lipa_cold_e,0.0,0.05975194758677354
EX_frulys_e,0.0,0.0
EX_acgal1p_e,0.0,0.0
EX_fruur_e,0.0,0.0
EX_fuc__L_e,0.0,0.0
EX_fum_e,0.0,0.0
EX_fusa_e,0.0,0.0
EX_g1p_e,0.0,0.0
EX_lipoate_e,0.0,0.0
EX_lys__L_e,-1.0,0.7271779349155088
EX_lyx__L_e,0.0,0.0
EX_mal__D_e,0.0,0.0
EX_mal__L_e,0.0,1.8682442278797882
EX_malt_e,0.0,0.0
EX_g3pc_e,0.0,0.0
EX_g3pe_e,0.0,0.3829166666667697
EX_malthx_e,0.0,0.0
EX_g3pg_e,0.0,0.3029670329670502
EX_maltpt_e,0.0,0.0
EX_acgam_e,0.0,0.0
EX_malttr_e,0.0,0.0
EX_maltttr_e,0.0,0.0
EX_g3pi_e,0.0,0.0
EX_g3ps_e,0.0,0.0
EX_man_e,0.0,0.0
EX_g6p_e,0.0,0.0
EX_acgam1p_e,0.0,0.0
EX_gal_e,0.0,0.0
