,minimum,maximum
EX_amp_e,0.0,0.0
EX_arab__L_e,0.0,0.0
EX_arbt_e,0.0,0.0
EX_arbtn_e,0.0,0.0
EX_g3pc_e,0.0,0.0
EX_anhgm_e,0.0,0.27864705882275775
EX_arbtn_fe3_e,0.0,0.0
EX_arg__L_e,0.0,0.8772222222243973
EX_ascb__L_e,0.0,0.0
EX_asn__L_e,0.0,1.7494143431968041
EX_aso3_e,0.0,0.0
EX_alltn_e,0.0,1.6045952750502015
DM_4crsol_c,0.0001971834226402681,0.00021918496792791177
DM_5drib_c,0.00019895188382986693,0.2239511447911451
DM_aacald_c,0.0,0.0
DM_amob_c,1.7684611895988172e-06,1.965784465721182e-06
DM_mththf_c,0.0003961353063726437,0.0005283419014573687
DM_oxam_c,0.0,2.002428814310287
BIOMASS_Ec_iJO1366_WT_53p95M,0.0,0.0986616380611846
Biomass_Gut,0.8842305947994086,0.9824784386660119
EX_12ppd__R_e,0.0,1.4421700423680175
EX_asp__L_e,0.0,1.885555537216078
EX_btn_e,0.0,0.0
EX_but_e,0.0,0.0
EX_butso3_e,0.0,0.0
EX_ca2_e,-0.005113800273256586,-0.004602420245930922
EX_12ppd__S_e,0.0,1.4206451163649945
EX_g3pe_e,0.0,0.8022976375233396
EX_14glucan_e,0.0,0.0
EX_15dap_e,0.0,0.7895000000005266
EX_cbi_e,0.0,0.0
EX_cbl1_e,-2.2001545287696566e-05,0.0
EX_cd2_e,0.0,0.0
EX_cgly_e,0.0,0.7141426713986412
EX_chol_e,0.0,0.0
EX_chtbs_e,0.0,0.0
EX_cit_e,0.0,1.2632000000023003
EX_cl_e,-0.005113800273256594,-0.004602420245930922
EX_cm_e,0.0,0.0
EX_cmp_e,0.0,0.0
EX_co2_e,12.167477179832304,23.703761231668523
EX_cobalt2_e,-2.4134274385361037e-05,-2.2105764869985215e-05
EX_23camp_e,0.0,0.0
EX_23ccmp_e,0.0,0.0
EX_23cgmp_e,0.0,0.0
EX_23cump_e,0.0,0.0
EX_23dappa_e,0.0,0.0
EX_26dap__M_e,0.0,0.0
EX_2ddglcn_e,0.0,0.0
EX_34dhpac_e,0.0,0.0
EX_3amp_e,0.0,0.0
EX_3cmp_e,0.0,0.0
EX_3gmp_e,0.0,0.0
EX_3hcinnm_e,0.0,0.0
EX_3hpp_e,0.0,1.263200000000459
EX_3hpppn_e,0.0,0.0
EX_3ump_e,0.0,0.0
EX_colipa_e,0.0,0.02819642857147248
EX_colipap_e,0.0,0.02060013046317567
EX_cpgn_e,0.0,0.0
EX_cpgn_un_e,0.0,0.0
EX_crn_e,0.0,0.0
EX_crn__D_e,0.0,0.0
EX_4abut_e,0.0,1.3343661971799183
EX_4hoxpacd_e,0.0,0.0
EX_csn_e,0.0,0.0
EX_g3pg_e,0.0,0.6966176470601423
EX_cu_e,0.0,0.0
EX_cu2_e,-0.0006965772130142027,-0.0006269194917127807
EX_cyan_e,0.0,0.0
EX_cynt_e,0.0,0.0
EX_5dglcn_e,0.0,1.1278571428526307
EX_5mtr_e,0.0,0.28108339504768987
EX_LalaDglu_e,0.0,0.0
EX_LalaDgluMdap_e,0.0,0.3324210526306903
EX_LalaDgluMdapDala_e,0.0,0.28536144578277656
EX_LalaLglu_e,0.0,0.0
EX_ac_e,0.0,3.64384615384925
EX_acac_e,0.0,0.0
EX_acald_e,0.0,2.560540540531406
EX_acgal_e,0.0,0.0
EX_cys__D_e,0.0,0.0
EX_cys__L_e,0.0,1.0511665359259732
EX_cytd_e,0.0,0.6443986343942925
EX_dad_2_e,0.0,0.0
EX_damp_e,0.0,0.0
EX_dca_e,0.0,0.0
EX_dcmp_e,0.0,0.0
EX_dcyt_e,0.0,0.0
EX_ddca_e,0.0,0.0
EX_acgal1p_e,0.0,0.0
EX_acgam_e,0.0,0.0
EX_acgam1p_e,0.0,0.0
EX_acmana_e,0.0,0.0
EX_dgmp_e,0.0,0.0
EX_dgsn_e,0.0,0.0
EX_acmum_e,0.0,0.0
EX_g3pi_e,0.0,0.0
EX_acnam_e,0.0,0.0
EX_acolipa_e,0.0,0.027492745211930066
EX_acser_e,0.0,1.297808219182811
EX_dha_e,0.0,1.9698689962016545
EX_dimp_e,0.0,0.0
EX_din_e,0.0,0.0
EX_dms_e,0.0,0.0
EX_g3ps_e,0.0,0.0
EX_dmso_e,0.0,0.0
EX_ade_e,0.0,1.1063919516164848
EX_adn_e,0.0,0.5582945562350687
EX_adocbl_e,0.0,0.0
EX_ag_e,0.0,0.0
EX_agm_e,0.0,0.8854205607484378
EX_akg_e,0.0,1.4803125000012893
EX_dopa_e,0.0,0.0
EX_doxrbcn_e,0.0,0.0
EX_dtmp_e,0.0,0.0
EX_dump_e,0.0,0.0
EX_duri_e,0.0,0.0
EX_eca4colipa_e,0.0,0.019116222760356072
EX_enlipa_e,0.0,0.04144356955386616
EX_ala_B_e,0.0,0.0
EX_ala__D_e,0.0,1.4613186153480167
EX_ala__L_e,0.0,2.1053333333321107
EX_enter_e,0.0,0.18453456704637286
EX_alaala_e,0.0,0.7287692307688461
EX_etha_e,0.0,1.631608663511758
EX_g6p_e,0.0,0.0
EX_ethso3_e,0.0,0.0
EX_etoh_e,0.0,2.1531818181792586
EX_f6p_e,0.0,0.0
EX_all__D_e,0.0,0.0
EX_fald_e,0.0,0.0
EX_gal_e,0.0,0.0
EX_fe2_e,-1000.0,9.965012070819913
EX_fe3_e,-9.97921369843175,999.985798372417
EX_gal_bD_e,0.0,0.0
EX_gal1p_e,0.0,0.0
EX_fe3dcit_e,0.0,0.0
EX_fe3dhbzs_e,0.0,0.0
EX_fe3hox_e,0.0,0.0
EX_galct__D_e,0.0,0.0
EX_fe3hox_un_e,0.0,0.0
EX_melib_e,0.0,0.0
EX_meoh_e,1.7684611895988172e-06,1.9656161759868245e-06
EX_fecrm_e,0.0,0.0
EX_galctn__D_e,0.0,0.0
EX_fecrm_un_e,0.0,0.0
EX_feenter_e,0.0,0.1845345670464158
EX_feoxam_e,0.0,0.0
EX_feoxam_un_e,0.0,0.0
EX_for_e,0.0,11.536284051837002
EX_met__D_e,0.0,0.0
EX_met__L_e,0.0,0.0
EX_metsox_R__L_e,0.0,0.0
EX_metsox_S__L_e,0.0,0.0
EX_mg2_e,-0.008523000455427643,-0.00767070040988487
EX_mincyc_e,0.0,0.0
EX_minohp_e,0.0,0.0
EX_mmet_e,0.0,0.0
EX_mn2_e,-0.0006788926011182133,-0.0006110033410063914
EX_fru_e,0.0,0.0
EX_frulys_e,0.0,0.0
EX_fruur_e,0.0,0.0
EX_fuc__L_e,0.0,0.0
EX_fum_e,0.0,0.0
EX_mnl_e,0.0,0.0
EX_mobd_e,-0.00012758239114352629,-0.00011406574672912371
EX_fusa_e,0.0,0.0
EX_mso3_e,0.0,0.0
EX_galctn__L_e,0.0,0.0
EX_n2o_e,0.0,0.0
EX_na1_e,0.0,0.0
EX_g1p_e,0.0,0.0
EX_nac_e,0.0,0.0
EX_galt_e,0.0,0.0
EX_nh4_e,-17.7886798994208,-9.550419029840896
EX_ni2_e,-0.00031734053568912223,-0.000285606482120209
EX_trp__L_e,0.0,0.46594978179221247
EX_nmn_e,0.0,0.0
EX_galur_e,0.0,0.0
EX_no_e,0.0,0.0
EX_no2_e,0.0,0.0
EX_no3_e,0.0,0.0
EX_gam_e,0.0,0.0
EX_novbcn_e,0.0,0.0
EX_o16a4colipa_e,0.0,0.0
EX_o2_e,-271.8133458531479,-14.528274557972281
EX_o2s_e,0.0,0.0
EX_tsul_e,0.0,0.0
EX_ocdca_e,0.0,0.0
EX_gam6p_e,0.0,0.0
EX_ocdcea_e,0.0,0.0
EX_octa_e,0.0,0.0
EX_ttdca_e,0.0,0.0
EX_ttdcea_e,0.0,0.0
EX_ttrcyc_e,0.0,0.0
EX_tungs_e,0.0,0.0
EX_orn_e,0.0,0.9767010309272397
EX_orot_e,0.0,0.0
EX_tym_e,0.0,0.0
EX_gbbtn_e,0.0,0.0
EX_tyr__L_e,0.0,0.5789579128604347
EX_pacald_e,0.0,0.0
EX_peamn_e,0.0,0.0
EX_tyrp_e,0.0,0.0
EX_uacgam_e,0.0,0.0
EX_phe__L_e,0.0,0.5557199232387526
EX_gdp_e,0.0,0.0
EX_pheme_e,0.0,0.14268072289174902
EX_pi_e,-2.1507644620701285,-0.8529562428921054
EX_pnto__R_e,0.0,0.0
EX_udpacgal_e,0.0,0.0
EX_udpg_e,0.0,0.0
EX_udpgal_e,0.0,0.0
EX_udpglcur_e,0.0,0.0
EX_ppa_e,0.0,0.0
EX_ppal_e,0.0,0.0
EX_ump_e,0.0,0.0
EX_glc__D_e,-10.0,-9.013124999998286
EX_ura_e,0.0,1.749414343180232
EX_urea_e,0.0,4.119130434773245
EX_uri_e,0.0,0.6854141061712653
EX_val__L_e,0.0,1.0526666666673918
EX_xan_e,0.0,1.2853787083976729
EX_pppn_e,0.0,0.0
EX_ppt_e,0.0,0.0
EX_pro__L_e,0.0,1.0410989011002136
EX_progly_e,0.0,0.0
EX_psclys_e,0.0,0.0
EX_pser__L_e,0.0,0.0
EX_ptrc_e,0.0,0.9868749999993367
EX_xmp_e,0.0,0.0
EX_xtsn_e,0.0,0.6042241559364654
EX_xyl__D_e,0.0,0.0
EX_xylu__L_e,0.0,0.0
EX_pydam_e,0.0,0.0
EX_pydx_e,0.0,0.0
EX_pydxn_e,0.0,0.0
EX_zn2_e,-0.0003350251475851102,-0.00030152263282659834
12DGR120tipp,0.0,10.526666666645497
EX_pyr_e,0.0,2.5605405405413983
12DGR140tipp,0.0,10.526666666640892
EX_glcn_e,0.0,1.0297826086957613
12DGR141tipp,0.0,10.526666666657945
12DGR160tipp,0.0,10.52666666664453
12DGR161tipp,0.0,10.526666666654762
EX_quin_e,0.0,0.8158043317570688
EX_r5p_e,0.0,0.0
EX_rfamp_e,0.0,0.0
EX_rib__D_e,0.0,0.0
12DGR180tipp,0.0,10.526666666663743
12DGR181tipp,0.0,10.52666666667335
12PPDRtex,-1.442170042368609,0.0
EX_rmn_e,0.0,0.0
EX_glcr_e,0.0,0.0
EX_sbt__D_e,0.0,0.0
EX_sel_e,0.0,0.0
12PPDRtpp,-1.442170042368609,0.0
12PPDStex,-1.4206451163630618,0.0
12PPDStpp,-1.4206451163630618,0.0
14GLUCANabcpp,0.0,0.0
14GLUCANtexi,0.0,0.0
23CAMPtex,0.0,0.0
23CCMPtex,0.0,0.0
EX_ser__D_e,0.0,0.0
EX_ser__L_e,0.0,2.233123378178226
