,minimum,maximum
EX_amp_e,0.0,0.0
EX_arab__L_e,0.0,0.0
EX_arbt_e,0.0,0.0
EX_arbtn_e,0.0,0.0
EX_g3pc_e,0.0,0.0
EX_anhgm_e,0.0,0.15899999999999082
EX_arbtn_fe3_e,0.0,0.0
EX_arg__L_e,-1.0,0.15066284584664746
EX_ascb__L_e,0.0,0.0
EX_asn__L_e,-1.0,1.0785847201513117
EX_aso3_e,0.0,0.0
EX_alltn_e,0.0,0.26974213484178367
DM_4crsol_c,0.0,7.88304676903193e-05
DM_5drib_c,0.0001419022680557472,0.18815860484125013
DM_aacald_c,0.0,0.0
DM_amob_c,0.0,6.879845709246529e-07
DM_mththf_c,0.00014190226805574704,0.000189776941561348
DM_oxam_c,0.0,0.28606554571678194
BIOMASS_Ec_iJO1366_WT_53p95M,0.0,0.035252801094640046
Biomass_Gut,0.31816652030436593,0.3535183558937389
EX_12ppd__R_e,0.0,3.1032364170075035
EX_asp__L_e,-1.0,2.1087638826801527
EX_btn_e,-6.944267130386367e-07,0.0
EX_but_e,-3.411825671689276,0.0
EX_butso3_e,0.0,0.0
EX_ca2_e,-0.0018400630424269138,-0.0016560567381842248
EX_12ppd__S_e,0.0,2.4027062314585113
EX_g3pe_e,0.0,0.3974999999999744
EX_14glucan_e,0.0,0.0
EX_15dap_e,0.0,1.7012542890207993
EX_cbi_e,0.0,0.0
EX_cbl1_e,-7.861374644104127e-06,0.0
EX_cd2_e,0.0,0.0
EX_cgly_e,0.0,0.5299999999999783
EX_chol_e,0.0,0.0
EX_chtbs_e,0.0,0.0
EX_cit_e,0.0,1.8138152417063473
EX_cl_e,-0.0018400630424269193,-0.0016560567381842248
EX_cm_e,0.0,0.0
EX_cmp_e,0.0,0.0
EX_co2_e,-1.8224617474964588,28.332258999747445
EX_cobalt2_e,-8.677749354566983e-06,-7.954163007609149e-06
EX_23camp_e,0.0,0.0
EX_23ccmp_e,0.0,0.0
EX_23cgmp_e,0.0,0.0
EX_23cump_e,0.0,0.0
EX_23dappa_e,0.0,0.0
EX_26dap__M_e,0.0,0.0
EX_2ddglcn_e,0.0,0.0
EX_34dhpac_e,0.0,0.0
EX_3amp_e,0.0,0.0
EX_3cmp_e,0.0,0.0
EX_3gmp_e,0.0,0.0
EX_3hcinnm_e,0.0,0.0
EX_3hpp_e,0.0,0.0
EX_3hpppn_e,0.0,0.0
EX_3ump_e,0.0,0.0
EX_colipa_e,0.0,0.030063025210083513
EX_colipap_e,0.0,0.02116863905325467
EX_cpgn_e,0.0,0.0
EX_cpgn_un_e,0.0,0.0
EX_crn_e,0.0,0.0
EX_crn__D_e,0.0,0.0
EX_4abut_e,0.0,4.502575802435652
EX_4hoxpacd_e,0.0,0.0
EX_csn_e,0.0,0.0
EX_g3pg_e,0.0,0.29812499999998865
EX_cu_e,0.0,0.0
EX_cu2_e,-0.00025064451432866056,-0.00022558006289579544
EX_cyan_e,0.0,0.0
EX_cynt_e,0.0,0.0
EX_5dglcn_e,0.0,0.0
EX_5mtr_e,0.0,0.4208823529411567
EX_LalaDglu_e,0.0,0.0
EX_LalaDgluMdap_e,0.0,0.15639344262294477
EX_LalaDgluMdapDala_e,0.0,0.15142857142856625
EX_LalaLglu_e,0.0,0.0
EX_ac_e,0.4048083432496034,5.0
EX_acac_e,0.0,0.0
EX_acald_e,0.0,9.539999999999587
EX_acgal_e,0.0,0.0
EX_cys__D_e,0.0,0.0
EX_cys__L_e,-1.0,0.4687961366876696
EX_cytd_e,0.0,0.3012631578947174
EX_dad_2_e,0.0,0.0
EX_damp_e,0.0,0.0
EX_dca_e,0.0,0.0
EX_dcmp_e,0.0,0.0
EX_dcyt_e,0.0,0.0
EX_ddca_e,0.0,0.0
EX_acgal1p_e,0.0,0.0
EX_acgam_e,0.0,0.0
EX_acgam1p_e,0.0,0.0
EX_acmana_e,0.0,0.0
EX_dgmp_e,0.0,0.0
EX_dgsn_e,0.0,0.0
EX_acmum_e,0.0,0.0
EX_g3pi_e,0.0,0.0
EX_acnam_e,0.0,0.0
EX_acolipa_e,0.0,0.02887991927346024
EX_acser_e,0.0,1.9698815714874733
EX_dha_e,0.0,2.3849999999999216
EX_dimp_e,0.0,0.0
EX_din_e,0.0,0.0
EX_dms_e,0.0,0.0
EX_g3ps_e,0.0,0.0
EX_dmso_e,0.0,0.0
EX_ade_e,0.0,0.25750692912496786
EX_adn_e,0.0,0.20445289753166515
EX_adocbl_e,0.0,0.0
EX_ag_e,0.0,0.0
EX_agm_e,0.0,1.215794705045466
EX_akg_e,0.0,2.9573001764180455
EX_dopa_e,0.0,0.0
EX_doxrbcn_e,0.0,0.0
EX_dtmp_e,0.0,0.0
EX_dump_e,0.0,0.0
EX_duri_e,0.0,0.0
EX_eca4colipa_e,0.0,0.01788749999999866
EX_enlipa_e,0.0,0.05633858267716423
EX_ala_B_e,0.0,0.0
EX_ala__D_e,0.0,0.4814206056331042
EX_ala__L_e,-1.0,5.0
EX_enter_e,0.0,0.09636363636363544
EX_alaala_e,0.0,0.2385000000000017
EX_etha_e,0.0,0.5959348590041111
EX_g6p_e,0.0,0.0
EX_ethso3_e,0.0,0.0
EX_etoh_e,0.0,23.419446726289216
EX_f6p_e,0.0,0.0
EX_all__D_e,0.0,0.0
EX_fald_e,0.0,0.0
EX_gal_e,0.0,0.0
EX_fe2_e,-0.01,1.7323970495792276
EX_fe3_e,-1.7375071220617997,-0.002484244190536489
EX_gal_bD_e,0.0,0.0
EX_gal1p_e,0.0,0.0
EX_fe3dcit_e,0.0,0.0
EX_fe3dhbzs_e,0.0,0.0
EX_fe3hox_e,0.0,0.0
EX_galct__D_e,0.0,0.0
EX_fe3hox_un_e,0.0,0.0
EX_melib_e,0.0,0.0
EX_meoh_e,0.0,7.050614276362078e-07
EX_fecrm_e,0.0,0.0
EX_galctn__D_e,0.0,0.0
EX_fecrm_un_e,0.0,0.0
EX_feenter_e,0.0,0.09636363636363257
EX_feoxam_e,0.0,0.0
EX_feoxam_un_e,0.0,0.0
EX_for_e,0.0,22.110956338882513
EX_met__D_e,0.0,0.0
EX_met__L_e,-0.4698510439146849,0.0
EX_metsox_R__L_e,0.0,0.0
EX_metsox_S__L_e,0.0,0.0
EX_mg2_e,-0.0030667717373781852,-0.0027600945636403747
EX_mincyc_e,0.0,0.0
EX_minohp_e,0.0,0.0
EX_mmet_e,0.0,0.0
EX_mn2_e,-0.00024428118392257357,-0.00021985306553031685
EX_fru_e,0.0,0.0
EX_frulys_e,0.0,0.0
EX_fruur_e,0.0,0.0
EX_fuc__L_e,0.0,0.0
EX_fum_e,0.0,0.0
EX_mnl_e,0.0,0.0
EX_mobd_e,-4.587311486922879e-05,-4.1043481119263204e-05
EX_fusa_e,0.0,0.0
EX_mso3_e,0.0,0.0
EX_galctn__L_e,0.0,0.0
EX_n2o_e,0.0,0.0
EX_na1_e,0.0,0.0
EX_g1p_e,0.0,0.0
EX_nac_e,-0.0008053148147260177,0.0
EX_galt_e,0.0,0.0
EX_nh4_e,-1.1380288880054428,5.0
EX_ni2_e,-0.00011418642895367777,-0.00010276778605831019
EX_trp__L_e,-1.0,0.24935463359614207
EX_nmn_e,0.0,0.0
EX_galur_e,0.0,0.0
EX_no_e,0.0,0.0
EX_no2_e,0.0,0.0
EX_no3_e,0.0,0.0
EX_gam_e,0.0,0.0
EX_novbcn_e,0.0,0.0
EX_o16a4colipa_e,0.0,0.0
EX_o2_e,0.0,0.0
EX_o2s_e,0.0,0.0
EX_tsul_e,0.0,0.0
EX_ocdca_e,0.0,0.0
EX_gam6p_e,0.0,0.0
EX_ocdcea_e,0.0,0.0
EX_octa_e,0.0,0.0
EX_ttdca_e,0.0,0.0
EX_ttdcea_e,0.0,0.0
EX_ttrcyc_e,0.0,0.0
EX_tungs_e,0.0,0.0
EX_orn_e,0.0,1.8861481479729565
EX_orot_e,0.0,0.0
EX_tym_e,0.0,0.0
EX_gbbtn_e,0.0,0.0
EX_tyr__L_e,-0.04882504648842705,0.36498325237326096
EX_pacald_e,0.0,0.0
EX_peamn_e,0.0,0.0
EX_tyrp_e,0.0,0.0
EX_uacgam_e,0.0,0.0
EX_phe__L_e,-0.06549457820465364,0.3682190587204118
EX_gdp_e,0.0,0.0
EX_pheme_e,0.0,0.09400835128660112
EX_pi_e,-0.7611990029334166,-0.30691328864771483
EX_pnto__R_e,-0.00020362657299484056,0.0
EX_udpacgal_e,0.0,0.0
EX_udpg_e,0.0,0.0
EX_udpgal_e,0.0,0.0
EX_udpglcur_e,0.0,0.0
EX_ppa_e,0.0,0.0
EX_ppal_e,0.0,0.0
EX_ump_e,0.0,0.0
EX_glc__D_e,-10.0,-8.807500000000038
EX_ura_e,0.0,0.6814285714285618
EX_urea_e,0.0,1.2157947050455644
EX_uri_e,0.0,0.38675675675674664
EX_val__L_e,-1.0,4.674160962146096
EX_xan_e,0.0,0.27632121130133086
EX_pppn_e,0.0,0.0
EX_ppt_e,0.0,0.0
EX_pro__L_e,-1.0,1.8158721654766432
EX_progly_e,0.0,0.0
EX_psclys_e,0.0,0.0
EX_pser__L_e,0.0,0.0
EX_ptrc_e,0.0,2.1219166664695632
EX_xmp_e,0.0,0.0
EX_xtsn_e,0.0,0.22308648417672222
EX_xyl__D_e,0.0,0.0
EX_xylu__L_e,0.0,0.0
EX_pydam_e,0.0,0.0
EX_pydx_e,0.0,0.0
EX_pydxn_e,0.0,0.0
EX_zn2_e,-0.00012054975935976515,-0.00010849478342378878
12DGR120tipp,0.0,1.0600000000000076
EX_pyr_e,0.0,9.539999999999507
12DGR140tipp,0.0,1.059999999999948
EX_glcn_e,0.0,0.0
12DGR141tipp,0.0,1.059999999999914
12DGR160tipp,0.0,1.0599999999999472
12DGR161tipp,0.0,1.0599999999999263
EX_quin_e,0.0,0.7155000000000031
EX_r5p_e,0.0,0.0
EX_rfamp_e,0.0,0.0
EX_rib__D_e,0.0,0.0
12DGR180tipp,0.0,1.0599999999999479
12DGR181tipp,0.0,1.0599999999999357
12PPDRtex,-3.103236417007496,0.0
EX_rmn_e,0.0,0.0
EX_glcr_e,0.0,0.0
EX_sbt__D_e,0.0,0.0
EX_sel_e,0.0,0.0
12PPDRtpp,-3.103236417007496,0.0
12PPDStex,-2.4027062314584775,0.0
12PPDStpp,-2.4027062314584775,0.0
14GLUCANabcpp,0.0,0.0
14GLUCANtexi,0.0,0.0
23CAMPtex,0.0,0.0
23CCMPtex,0.0,0.0
EX_ser__D_e,0.0,0.0
