,minimum,maximum
EX_asn__L_e,0.0,1.7494625067401146
EX_asp__L_e,0.0,1.8856074488974173
EX_btn_e,0.0,0.0
EX_arbtn_fe3_e,0.0,0.0
EX_aso3_e,0.0,0.0
EX_ascb__L_e,0.0,0.0
EX_but_e,0.0,0.0
EX_arg__L_e,0.0,0.8772222222231392
EX_butso3_e,0.0,0.0
EX_ca2_e,-0.0051149119265119225,-0.004603420733928942
DM_4crsol_c,0.0001972262869657029,0.0002191403188507805
EX_cbi_e,0.0,0.0
DM_5drib_c,0.0001989951325887137,0.22395125516680087
DM_aacald_c,0.0,0.0
EX_gal_bD_e,0.0,0.0
EX_gal1p_e,0.0,0.0
EX_galct__D_e,0.0,0.0
EX_cbl1_e,0.0,0.0
EX_galctn__D_e,0.0,0.0
DM_amob_c,1.7688456230107884e-06,1.965384025567538e-06
DM_mththf_c,0.0003962214195544166,0.00044024602172712535
DM_oxam_c,0.0,2.0024839436570208
EX_galctn__L_e,0.0,0.0
EX_cd2_e,0.0,0.0
EX_galt_e,0.0,0.0
BIOMASS_Ec_iJO1366_WT_53p95M,0.0,0.0
EX_cgly_e,0.0,0.7141630167470864
Biomass_Gut,0.8844228115053943,0.9826920127837724
EX_12ppd__R_e,0.0,1.4421715022002721
EX_12ppd__S_e,0.0,1.4206465544059341
EX_galur_e,0.0,0.0
EX_gam_e,0.0,0.0
EX_gam6p_e,0.0,0.0
EX_gbbtn_e,0.0,0.0
EX_gdp_e,0.0,0.0
EX_glc__D_e,-10.0,-9.013125000002267
EX_glcn_e,0.0,1.0297826086955393
EX_glcr_e,0.0,0.0
EX_glcur_e,0.0,0.0
EX_glcur1p_e,0.0,0.0
EX_gln__L_e,0.0,0.0
EX_glu__L_e,0.0,1.3158333333287828
EX_gly_e,0.0,3.225557466409727
EX_14glucan_e,0.0,0.0
EX_15dap_e,0.0,0.7894999999992907
EX_23camp_e,0.0,0.0
EX_23ccmp_e,0.0,0.0
EX_23cgmp_e,0.0,0.0
EX_23cump_e,0.0,0.0
EX_23dappa_e,0.0,0.0
EX_26dap__M_e,0.0,0.0
EX_2ddglcn_e,0.0,0.0
EX_34dhpac_e,0.0,0.0
EX_3amp_e,0.0,0.0
EX_3cmp_e,0.0,0.0
EX_3gmp_e,0.0,0.0
EX_3hcinnm_e,0.0,0.0
EX_3hpp_e,0.0,1.2632000000003103
EX_3hpppn_e,0.0,0.0
EX_glyald_e,0.0,1.781621744006582
EX_glyb_e,0.0,0.0
EX_glyc_e,0.0,1.5785052585238981
EX_glyc__R_e,0.0,2.1053464817519116
EX_glyc2p_e,0.0,0.0
EX_3ump_e,0.0,0.0
EX_glyc3p_e,0.0,1.2978082191755371
EX_4abut_e,0.0,1.3343661971841294
EX_glyclt_e,0.0,3.6439371813852404
EX_4hoxpacd_e,0.0,0.0
EX_chol_e,0.0,0.0
EX_5dglcn_e,0.0,1.1278571428564979
EX_5mtr_e,0.0,0.0
EX_LalaDglu_e,0.0,0.0
EX_LalaDgluMdap_e,0.0,0.33242105263201044
