,minimum,maximum
EX_asn__L_e,-1.0,0.8640376789843658
EX_asp__L_e,-1.0,1.9682789537688614
EX_btn_e,-6.751741453842847e-07,0.0
EX_arbtn_fe3_e,0.0,0.0
EX_aso3_e,0.0,0.0
EX_ascb__L_e,0.0,0.0
EX_but_e,-3.076877733077887,0.0
EX_arg__L_e,-1.0,0.36332339297035854
EX_butso3_e,0.0,0.0
EX_ca2_e,-0.0017571407133626352,-0.0015814266420263387
DM_4crsol_c,0.0,7.527790894870389e-05
EX_cbi_e,0.0,0.0
DM_5drib_c,0.00013550745097862574,0.19178669810820168
DM_aacald_c,0.0,0.0
EX_gal_bD_e,0.0,0.0
EX_gal1p_e,0.0,0.0
EX_galct__D_e,0.0,0.0
EX_cbl1_e,0.0,0.0
EX_galctn__D_e,0.0,0.0
DM_amob_c,0.0,6.751735501376437e-07
DM_mththf_c,0.00013550745097862574,0.0001512388752308322
DM_oxam_c,0.0,0.25887621773058456
EX_galctn__L_e,0.0,0.0
EX_cd2_e,0.0,0.0
EX_galt_e,0.0,0.0
BIOMASS_Ec_iJO1366_WT_53p95M,0.0,0.0
EX_cgly_e,0.0,0.510555555555619
Biomass_Gut,0.3038283654229277,0.3375870726921421
EX_12ppd__R_e,0.0,3.1880781620752963
EX_12ppd__S_e,0.0,2.6241115357219726
EX_galur_e,0.0,0.0
EX_gam_e,0.0,0.0
EX_gam6p_e,0.0,0.0
EX_gbbtn_e,0.0,0.0
EX_gdp_e,0.0,0.0
EX_glc__D_e,-10.0,-8.851249999999851
EX_glcn_e,0.0,0.0
EX_glcr_e,0.0,0.0
EX_glcur_e,0.0,0.0
EX_glcur1p_e,0.0,0.0
EX_gln__L_e,-1.0,0.0
EX_glu__L_e,-1.0,2.1987444619479417
EX_gly_e,-1.0,2.565149823207559
EX_14glucan_e,0.0,0.0
EX_15dap_e,0.0,1.7271779349154786
EX_23camp_e,0.0,0.0
EX_23ccmp_e,0.0,0.0
EX_23cgmp_e,0.0,0.0
EX_23cump_e,0.0,0.0
EX_23dappa_e,0.0,0.0
EX_26dap__M_e,0.0,0.0
