,minimum,maximum
DM_4crsol_c,0.00019718342264027006,0.00021909269182251979
EX_glc__D_e,-10.0,-9.013124999996876
EX_glcn_e,0.0,1.0297826086950579
EX_glcr_e,0.0,0.0
EX_glcur_e,0.0,0.0
EX_glcur1p_e,0.0,0.0
EX_gln__L_e,0.0,0.0
EX_glu__L_e,0.0,1.3158333333328587
EX_gly_e,0.0,3.2254655754438457
EX_glyald_e,0.0,1.7815726950855044
EX_glyb_e,0.0,0.0
EX_glyc_e,0.0,1.5784618015103207
EX_glyc__R_e,0.0,2.105346478888439
EX_glyc2p_e,0.0,0.0
DM_5drib_c,0.00019895188382986888,0.2239511447911208
DM_aacald_c,0.0,0.0
DM_amob_c,1.7684611895988345e-06,1.9649568773320255e-06
DM_mththf_c,0.0003961353064701293,0.00044015034052236057
EX_glyc3p_e,0.0,1.2978082191739304
DM_oxam_c,0.0,2.0024288143097655
BIOMASS_Ec_iJO1366_WT_53p95M,0.0,0.0
EX_cm_e,0.0,0.0
EX_cmp_e,0.0,0.0
Biomass_Gut,0.8842305947994173,0.9824784386660126
EX_glyclt_e,0.0,3.643937161580407
EX_12ppd__R_e,0.0,1.442170042364953
EX_co2_e,12.167477179844582,23.703761231656017
EX_gmp_e,0.0,0.0
EX_cobalt2_e,-2.41271125739607e-05,-2.2105764869985435e-05
EX_colipa_e,0.0,0.0
EX_12ppd__S_e,0.0,1.420645116359509
EX_14glucan_e,0.0,0.0
EX_15dap_e,0.0,0.7895000000011487
EX_colipap_e,0.0,0.0
EX_cpgn_e,0.0,0.0
EX_cpgn_un_e,0.0,0.0
EX_crn_e,0.0,0.0
EX_crn__D_e,0.0,0.0
EX_csn_e,0.0,0.0
EX_cu_e,0.0,0.0
EX_cu2_e,-0.0006965772130342884,-0.0006269194917649656
EX_23camp_e,0.0,0.0
EX_23ccmp_e,0.0,0.0
EX_23cgmp_e,0.0,0.0
EX_23cump_e,0.0,0.0
EX_23dappa_e,0.0,0.0
EX_26dap__M_e,0.0,0.0
EX_2ddglcn_e,0.0,0.0
EX_34dhpac_e,0.0,0.0
EX_3amp_e,0.0,0.0
EX_3cmp_e,0.0,0.0
EX_3gmp_e,0.0,0.0
EX_cyan_e,0.0,0.0
EX_cynt_e,0.0,0.0
EX_cys__D_e,0.0,0.0
EX_cys__L_e,0.0,1.0511665359293305
EX_3hcinnm_e,0.0,0.0
EX_3hpp_e,0.0,1.2631999999994252
EX_cytd_e,0.0,0.64439863439298
EX_3hpppn_e,0.0,0.0
EX_gsn_e,0.0,0.0
EX_3ump_e,0.0,0.0
EX_4abut_e,0.0,1.3343661971826455
EX_dad_2_e,0.0,0.0
EX_damp_e,0.0,0.0
EX_dca_e,0.0,0.0
EX_4hoxpacd_e,0.0,0.0
EX_gthox_e,0.0,0.0
EX_5dglcn_e,0.0,0.0
EX_dcmp_e,0.0,0.0
EX_5mtr_e,0.0,0.28108339504899504
EX_LalaDglu_e,0.0,0.0
EX_LalaDgluMdap_e,0.0,0.3324210526314961
EX_LalaDgluMdapDala_e,0.0,0.2853614457835242
EX_dcyt_e,0.0,0.0
EX_ddca_e,0.0,0.0
EX_dgmp_e,0.0,0.0
EX_dgsn_e,0.0,0.0
EX_dha_e,0.0,1.9698689961929858
EX_LalaLglu_e,0.0,0.0
EX_ac_e,0.0,3.6438461538393767
EX_dimp_e,0.0,0.0
EX_gthrd_e,0.0,0.4642948540442363
EX_din_e,0.0,0.0
EX_dms_e,0.0,0.0
EX_dmso_e,0.0,0.0
EX_acac_e,0.0,0.0
EX_acald_e,0.0,2.560540540531292
EX_acgal_e,0.0,0.0
EX_acgal1p_e,0.0,0.0
EX_dopa_e,0.0,0.0
EX_gtp_e,0.0,0.0
EX_doxrbcn_e,0.0,0.0
EX_dtmp_e,0.0,0.0
EX_acgam_e,0.0,0.0
EX_acgam1p_e,0.0,0.0
EX_acmana_e,0.0,0.0
EX_dump_e,0.0,0.0
EX_duri_e,0.0,0.0
EX_acmum_e,0.0,0.0
EX_gua_e,0.0,1.1483122584444294
EX_acnam_e,0.0,0.0
EX_acolipa_e,0.0,0.0
EX_eca4colipa_e,0.0,0.0
EX_enlipa_e,0.0,0.04144356955386849
EX_enter_e,0.0,0.18453456704618457
EX_acser_e,0.0,1.2978082191847018
EX_h_e,-1000.0,19.667176085153642
EX_ade_e,0.0,1.1063919516149725
EX_adn_e,0.0,0.5582945562292507
EX_adocbl_e,0.0,0.0
EX_ag_e,0.0,0.0
EX_agm_e,0.0,0.8854205607488788
EX_etha_e,0.0,1.6316086635151343
EX_ethso3_e,0.0,0.0
EX_etoh_e,0.0,2.153181818188841
EX_f6p_e,0.0,0.0
EX_fald_e,0.0,0.0
EX_fe2_e,-1000.0,9.965012070831849
EX_fe3_e,-9.979213698407307,999.985798372417
EX_fe3dcit_e,0.0,0.0
EX_fe3dhbzs_e,0.0,0.0
EX_akg_e,0.0,1.480312499996156
EX_ala_B_e,0.0,0.0
EX_ala__D_e,0.0,1.4613186153521973
EX_ala__L_e,0.0,2.105333333334878
EX_fe3hox_e,0.0,0.0
EX_alaala_e,0.0,0.7287692307696492
EX_fe3hox_un_e,0.0,0.0
EX_h2_e,0.0,0.0
EX_fecrm_e,0.0,0.0
EX_fecrm_un_e,0.0,0.0
EX_feenter_e,0.0,0.1845345670464933
EX_all__D_e,0.0,0.0
EX_alltn_e,0.0,1.6045952750486916
EX_amp_e,0.0,0.0
EX_anhgm_e,0.0,0.2786470588239135
EX_arab__L_e,0.0,0.0
EX_feoxam_e,0.0,0.0
EX_feoxam_un_e,0.0,0.0
EX_arbt_e,0.0,0.0
EX_arbtn_e,0.0,0.0
EX_h2o_e,35.51746605314452,552.7905712435188
EX_arbtn_fe3_e,0.0,0.0
EX_for_e,0.0,11.536284051832153
EX_fru_e,0.0,0.0
EX_frulys_e,0.0,0.0
EX_fruur_e,0.0,0.0
EX_fuc__L_e,0.0,0.0
EX_fum_e,0.0,0.0
EX_arg__L_e,0.0,0.8772222222221502
EX_ascb__L_e,0.0,0.0
EX_asn__L_e,0.0,1.7494143431897413
EX_aso3_e,0.0,0.0
EX_asp__L_e,0.0,1.885555537211924
EX_btn_e,0.0,0.0
EX_fusa_e,0.0,0.0
EX_g1p_e,0.0,0.0
EX_but_e,0.0,0.0
EX_g3pc_e,0.0,0.0
EX_h2o2_e,0.0,0.0
EX_g3pe_e,0.0,0.8022976375229085
EX_g3pg_e,0.0,0.6966176470601858
EX_g3pi_e,0.0,0.0
EX_butso3_e,0.0,0.0
EX_ca2_e,-0.0051138002732565935,-0.004602420245930968
EX_cbi_e,0.0,0.0
EX_cbl1_e,0.0,0.0
EX_g3ps_e,0.0,0.0
EX_g6p_e,0.0,0.0
EX_cd2_e,0.0,0.0
EX_h2s_e,0.0,2.203255813953583
EX_cgly_e,0.0,0.7141426713955086
EX_gal_e,0.0,0.0
EX_gal_bD_e,0.0,0.0
EX_chol_e,0.0,0.0
EX_chtbs_e,0.0,0.0
EX_gal1p_e,0.0,0.0
EX_cit_e,0.0,1.2632000000007473
EX_galct__D_e,0.0,0.0
EX_hacolipa_e,0.0,0.0
EX_galctn__D_e,0.0,0.0
EX_cl_e,-0.0051138002732565935,-0.004602420245930968
EX_galctn__L_e,0.0,0.0
EX_galt_e,0.0,0.0
EX_galur_e,0.0,0.0
EX_gam_e,0.0,0.0
EX_halipa_e,0.0,0.0
EX_gam6p_e,0.0,0.0
EX_gbbtn_e,0.0,0.0
EX_gdp_e,0.0,0.0
EX_hdca_e,0.0,0.0
EX_hdcea_e,0.0,0.0
EX_ni2_e,-0.00031734053568912115,-0.0002856064821202118
EX_hg2_e,0.0,0.0
EX_nmn_e,0.0,0.0
EX_his__L_e,0.0,0.88590086483206
EX_no_e,0.0,0.0
EX_hom__L_e,0.0,1.331285090833096
EX_no2_e,0.0,0.0
EX_no3_e,0.0,0.0
EX_novbcn_e,0.0,0.0
EX_hxa_e,0.0,0.8028813559301887
EX_o16a4colipa_e,0.0,0.0
EX_o2_e,-271.81334585314085,-14.52827455797823
EX_hxan_e,0.0,1.1761839152032962
EX_o2s_e,0.0,0.0
EX_val__L_e,0.0,1.0526666666683127
EX_ocdca_e,0.0,0.0
EX_xan_e,0.0,1.2853787083929546
EX_idon__L_e,0.0,0.0
EX_xmp_e,0.0,0.0
EX_ocdcea_e,0.0,0.0
EX_octa_e,0.0,0.0
EX_xtsn_e,0.0,0.6042241559371719
EX_orn_e,0.0,0.9767010309311517
EX_xyl__D_e,0.0,0.0
EX_orot_e,0.0,0.0
EX_ile__L_e,0.0,0.7519047619063599
EX_pacald_e,0.0,0.0
EX_xylu__L_e,0.0,0.0
EX_zn2_e,-0.0003350251475851093,-0.0003015226328266013
12DGR120tipp,0.0,10.52666666667811
12DGR140tipp,0.0,10.526666666679375
12DGR141tipp,0.0,10.526666666681429
12DGR160tipp,0.0,10.526666666670849
EX_peamn_e,0.0,0.0
EX_phe__L_e,0.0,0.5557199232359231
EX_pheme_e,0.0,0.14268072289125588
EX_pi_e,-2.1507644620689916,-0.8529562428925601
EX_pnto__R_e,0.0,0.0
12DGR161tipp,0.0,10.526666666666493
12DGR180tipp,0.0,10.526666666660532
EX_ppa_e,0.0,0.0
EX_imp_e,0.0,0.0
EX_ppal_e,0.0,0.0
EX_pppn_e,0.0,0.0
12DGR181tipp,0.0,10.526666666667829
12PPDRtex,-1.442170042371184,0.0
12PPDRtpp,-1.442170042371184,0.0
12PPDStex,-1.4206451163612215,0.0
EX_ppt_e,0.0,0.0
EX_pro__L_e,0.0,1.0410989010964933
EX_indole_e,0.0,0.5707747621476726
EX_progly_e,0.0,0.0
EX_psclys_e,0.0,0.0
12PPDStpp,-1.4206451163612215,0.0
14GLUCANabcpp,0.0,0.0
14GLUCANtexi,0.0,0.0
23CAMPtex,0.0,0.0
23CCMPtex,0.0,0.0
EX_pser__L_e,0.0,0.0
EX_ptrc_e,0.0,0.9868749999983337
EX_inost_e,0.0,0.0
EX_pydam_e,0.0,0.0
EX_pydx_e,0.0,0.0
EX_pydxn_e,0.0,0.0
EX_pyr_e,0.0,2.5605405405597987
EX_quin_e,0.0,0.8158043317558945
23CGMPtex,0.0,0.0
23CUMPtex,0.0,0.0
