,minimum,maximum
DM_4crsol_c,0.0,7.527790894870534e-05
EX_glc__D_e,-10.0,-8.85125000000017
EX_glcn_e,0.0,0.0
EX_glcr_e,0.0,0.0
EX_glcur_e,0.0,0.0
EX_glcur1p_e,0.0,0.0
EX_gln__L_e,-1.0,0.0
EX_glu__L_e,-1.0,2.1987444619475993
EX_gly_e,-1.0,2.5651498232073187
EX_glyald_e,0.0,1.0854172973391631
EX_glyb_e,0.0,0.0
EX_glyc_e,0.0,1.221094459506637
EX_glyc__R_e,0.0,1.4375210670146343
EX_glyc2p_e,0.0,0.0
DM_5drib_c,0.000135507450978629,0.19178669810816562
DM_aacald_c,0.0,0.0
DM_amob_c,0.0,6.751735501376392e-07
DM_mththf_c,0.000135507450978629,0.00015123887523083186
EX_glyc3p_e,0.0,0.45570247933877006
DM_oxam_c,0.0,0.2588762177305828
BIOMASS_Ec_iJO1366_WT_53p95M,0.0,0.0
EX_cm_e,0.0,0.0
EX_cmp_e,0.0,0.0
Biomass_Gut,0.30382836542293495,0.3375870726921413
EX_glyclt_e,0.0,3.1147306091199085
EX_12ppd__R_e,0.0,3.1880781620749055
EX_co2_e,-2.786203651016353,28.51142854848326
EX_gmp_e,0.0,0.0
EX_cobalt2_e,-7.879900770261154e-06,-7.595709135573374e-06
EX_colipa_e,0.0,0.0
EX_12ppd__S_e,0.0,2.6241115357217843
EX_14glucan_e,0.0,0.0
EX_15dap_e,0.0,1.7271779349153609
EX_colipap_e,0.0,0.0
EX_cpgn_e,0.0,0.0
EX_cpgn_un_e,0.0,0.0
EX_crn_e,0.0,0.0
EX_crn__D_e,0.0,0.0
EX_csn_e,0.0,0.0
EX_cu_e,0.0,0.0
EX_cu2_e,-0.0002393492345387305,-0.00021541431108486087
EX_23camp_e,0.0,0.0
EX_23ccmp_e,0.0,0.0
EX_23cgmp_e,0.0,0.0
EX_23cump_e,0.0,0.0
EX_23dappa_e,0.0,0.0
EX_26dap__M_e,0.0,0.0
EX_2ddglcn_e,0.0,0.0
EX_34dhpac_e,0.0,0.0
EX_3amp_e,0.0,0.0
EX_3cmp_e,0.0,0.0
EX_3gmp_e,0.0,0.0
EX_cyan_e,0.0,0.0
EX_cynt_e,0.0,0.0
EX_cys__D_e,0.0,0.0
EX_cys__L_e,-1.0,0.4702023368895117
EX_3hcinnm_e,0.0,0.0
EX_3hpp_e,0.0,0.0
EX_cytd_e,0.0,0.27569999999997413
EX_3hpppn_e,0.0,0.0
EX_gsn_e,0.0,0.0
EX_3ump_e,0.0,0.0
EX_4abut_e,0.0,4.202545354391047
EX_dad_2_e,0.0,0.0
EX_damp_e,0.0,0.0
EX_dca_e,0.0,0.0
EX_4hoxpacd_e,0.0,0.0
EX_gthox_e,0.0,0.0
EX_5dglcn_e,0.0,0.0
EX_dcmp_e,0.0,0.0
EX_5mtr_e,0.0,0.40544117647060424
EX_LalaDglu_e,0.0,0.0
EX_LalaDgluMdap_e,0.0,0.15709401709399445
EX_LalaDgluMdapDala_e,0.0,0.15190082644620845
EX_dcyt_e,0.0,0.0
EX_ddca_e,0.0,0.0
EX_dgmp_e,0.0,0.0
EX_dgsn_e,0.0,0.0
EX_dha_e,0.0,2.2974999999996637
EX_LalaLglu_e,0.0,0.0
EX_ac_e,1.0614285714286804,5.0
EX_dimp_e,0.0,0.0
