,0
EX_cobalt2_e,2.5e-06
EX_14glucan_e,0.8139681195650041
EX_cu2_e,7.08999999687876e-05
EX_3amp_e,0.02042970000009937
EX_3gmp_e,0.005983199999271164
EX_gsn_e,0.08104238000062246
EX_LalaDgluMdapDala_e,0.0370949
EX_gthrd_e,0.024764500000011597
EX_fe3dcit_e,0.0016061
EX_arg__L_e,0.0295792
EX_btn_e,2.0000004496978363e-07
EX_ca2_e,0.0005205
EX_cl_e,0.0005205
EX_ni2_e,3.23e-05
EX_his__L_e,0.009473800000000001
EX_zn2_e,3.41e-05
EX_so4_e,0.00043380000000000003
EX_k_e,0.019519300000000003
EX_thm_e,2.23e-05
EX_kdo2lipid4_e,0.0019456000000000002
EX_udpacgal_e,0.033079500000000005
EX_mg2_e,0.0008675000000000001
EX_mn2_e,6.91e-05
EX_mobd_e,1.29e-05
