,minimum,maximum
EX_arab__L_e,0.0,0.0
EX_arbtn_e,0.0,0.0
EX_arg__L_e,0.0,0.8772222222214267
EX_arbt_e,0.0,0.0
EX_anhgm_e,0.0,0.27864705882355245
EX_arbtn_fe3_e,0.0,0.0
DM_4crsol_c,0.0001971834226402675,0.00021909269182252063
EX_alltn_e,0.0,1.604595275042014
EX_amp_e,0.0,0.0
EX_all__D_e,0.0,0.0
DM_5drib_c,0.0001989518838298663,0.22395114479029357
EX_ascb__L_e,0.0,0.0
DM_aacald_c,0.0,0.0
EX_asn__L_e,0.0,1.7494143431898088
EX_aso3_e,0.0,0.0
EX_asp__L_e,0.0,1.885555537210621
EX_g3pg_e,0.0,0.6966176470583002
EX_g3pi_e,0.0,0.0
EX_btn_e,0.0,0.0
EX_g3ps_e,0.0,0.0
EX_but_e,0.0,0.0
DM_amob_c,1.7684611895988117e-06,1.9649568773320153e-06
EX_butso3_e,0.0,0.0
EX_g6p_e,0.0,0.0
EX_gal_e,0.0,0.0
EX_ca2_e,-0.005113800273256592,-0.004602420245930908
DM_mththf_c,0.0003961353064701258,0.00044015034052236057
EX_cbi_e,0.0,0.0
EX_gal_bD_e,0.0,0.0
EX_cbl1_e,0.0,0.0
EX_gal1p_e,0.0,0.0
DM_oxam_c,0.0,2.0024288143138893
EX_galct__D_e,0.0,0.0
EX_cd2_e,0.0,0.0
EX_cgly_e,0.0,0.7141426713963577
EX_chol_e,0.0,0.0
EX_chtbs_e,0.0,0.0
EX_cit_e,0.0,1.2631999999995154
EX_cl_e,-0.005113800273256573,-0.004602420245930908
EX_cm_e,0.0,0.0
EX_cmp_e,0.0,0.0
EX_co2_e,12.167477179852199,23.703761231661133
EX_galctn__D_e,0.0,0.0
EX_galctn__L_e,0.0,0.0
EX_galt_e,0.0,0.0
EX_galur_e,0.0,0.0
EX_gam_e,0.0,0.0
EX_gam6p_e,0.0,0.0
EX_gbbtn_e,0.0,0.0
EX_gdp_e,0.0,0.0
EX_glc__D_e,-10.0,-9.013125000000286
EX_glcn_e,0.0,1.0297826086952533
EX_glcr_e,0.0,0.0
EX_glcur_e,0.0,0.0
EX_cobalt2_e,-2.4127112573960737e-05,-2.2105764869985147e-05
EX_colipa_e,0.0,0.0
EX_colipap_e,0.0,0.0
EX_cpgn_e,0.0,0.0
EX_cpgn_un_e,0.0,0.0
EX_glcur1p_e,0.0,0.0
EX_gln__L_e,0.0,0.0
EX_glu__L_e,0.0,1.315833333333236
EX_crn_e,0.0,0.0
EX_crn__D_e,0.0,0.0
EX_gly_e,0.0,3.22546557544363
BIOMASS_Ec_iJO1366_WT_53p95M,0.0,0.0
EX_glyald_e,0.0,1.7815726950881499
EX_glyb_e,0.0,0.0
EX_csn_e,0.0,0.0
EX_cu_e,0.0,0.0
EX_cu2_e,-0.0006965772130142055,-0.0006269194917127788
EX_cyan_e,0.0,0.0
EX_cynt_e,0.0,0.0
EX_cys__D_e,0.0,0.0
EX_cys__L_e,0.0,1.0511665359283398
EX_glyc_e,0.0,1.578461801507459
EX_glyc__R_e,0.0,2.105346478891326
EX_glyc2p_e,0.0,0.0
EX_glyc3p_e,0.0,1.2978082191781368
EX_glyclt_e,0.0,3.6439371615797733
EX_gmp_e,0.0,0.0
EX_gsn_e,0.0,0.0
EX_cytd_e,0.0,0.6443986343924586
EX_dad_2_e,0.0,0.0
EX_damp_e,0.0,0.0
EX_gthox_e,0.0,0.0
EX_dca_e,0.0,0.0
Biomass_Gut,0.8842305947994059,0.9824784386660118
EX_dcmp_e,0.0,0.0
EX_dcyt_e,0.0,0.0
EX_ddca_e,0.0,0.0
EX_gthrd_e,0.0,0.4642948540444304
EX_gtp_e,0.0,0.0
EX_gua_e,0.0,1.1483122584445482
EX_h_e,-996.2677941538059,19.667176085152175
EX_h2_e,0.0,0.0
EX_h2o_e,35.51746605318033,552.7905712435168
EX_h2o2_e,0.0,0.0
EX_dgmp_e,0.0,0.0
EX_dgsn_e,0.0,0.0
EX_h2s_e,0.0,2.203255813953658
EX_dha_e,0.0,1.9698689961940685
EX_12ppd__R_e,0.0,1.442170042366456
EX_dimp_e,0.0,0.0
EX_din_e,0.0,0.0
EX_dms_e,0.0,0.0
EX_hacolipa_e,0.0,0.0
EX_halipa_e,0.0,0.0
EX_hdca_e,0.0,0.0
EX_hdcea_e,0.0,0.0
EX_hg2_e,0.0,0.0
EX_his__L_e,0.0,0.8859008648335648
EX_dmso_e,0.0,0.0
EX_dopa_e,0.0,0.0
EX_doxrbcn_e,0.0,0.0
EX_dtmp_e,0.0,0.0
EX_hom__L_e,0.0,1.331285090835038
EX_hxa_e,0.0,0.8028813559312034
EX_dump_e,0.0,0.0
EX_hxan_e,0.0,1.1761839152005784
EX_duri_e,0.0,0.0
EX_12ppd__S_e,0.0,1.420645116357127
EX_eca4colipa_e,0.0,0.0
EX_enlipa_e,0.0,0.04144356955376847
EX_enter_e,0.0,0.18453456704624316
EX_idon__L_e,0.0,1.0410989010987128
EX_ile__L_e,0.0,0.7519047619043275
EX_imp_e,0.0,0.0
EX_indole_e,0.0,0.5707747621477366
EX_inost_e,0.0,0.0
EX_etha_e,0.0,1.6316086635131821
EX_ethso3_e,0.0,0.0
EX_etoh_e,0.0,2.1531818181809
EX_ins_e,0.0,0.5789579128594369
EX_isetac_e,0.0,0.0
EX_f6p_e,0.0,0.0
EX_fald_e,0.0,0.0
EX_14glucan_e,0.0,0.0
EX_fe2_e,-1000.0,9.965012070825484
EX_fe3_e,-9.979213698408557,999.985798372417
EX_k_e,-0.19177291387853398,-0.17259562249068044
EX_kdo2lipid4_e,0.0,0.056392857142863226
EX_lac__D_e,0.0,2.1531818181795117
EX_fe3dcit_e,0.0,0.0
EX_lac__L_e,0.0,1.7902447313786851
EX_15dap_e,0.0,0.7895000000006072
EX_lcts_e,0.0,0.0
EX_leu__L_e,0.0,0.8384070796454675
EX_lipa_e,0.0,0.04244623655920432
EX_lipa_cold_e,0.0,0.040959792477354096
EX_fe3dhbzs_e,0.0,0.0
EX_fe3hox_e,0.0,0.0
EX_fe3hox_un_e,0.0,0.0
EX_fecrm_e,0.0,0.0
EX_fecrm_un_e,0.0,0.0
EX_feenter_e,0.0,0.18453456704650018
EX_feoxam_e,0.0,0.0
EX_lipoate_e,0.0,0.0
EX_lys__L_e,0.0,0.7895000000010384
EX_lyx__L_e,0.0,0.0
EX_mal__D_e,0.0,0.0
EX_feoxam_un_e,0.0,0.0
EX_for_e,0.0,11.53628405181045
EX_mal__L_e,0.0,1.8566581343435473
EX_malt_e,0.0,0.0
EX_23camp_e,0.0,0.0
EX_malthx_e,0.0,0.0
EX_maltpt_e,0.0,0.0
EX_fru_e,0.0,0.0
EX_frulys_e,0.0,0.0
EX_fruur_e,0.0,0.0
EX_malttr_e,0.0,0.0
EX_fuc__L_e,0.0,0.0
EX_maltttr_e,0.0,0.0
EX_23ccmp_e,0.0,0.0
EX_man_e,0.0,0.0
EX_man6p_e,0.0,0.0
EX_fum_e,0.0,0.0
EX_fusa_e,0.0,0.0
EX_g1p_e,0.0,0.0
EX_g3pc_e,0.0,0.0
EX_manglyc_e,0.0,0.0
EX_melib_e,0.0,0.0
EX_g3pe_e,0.0,0.8022976375215137
EX_23cgmp_e,0.0,0.0
EX_23cump_e,0.0,0.0
EX_met__D_e,0.0,0.0
EX_met__L_e,0.0,0.0
EX_23dappa_e,0.0,0.0
EX_metsox_R__L_e,0.0,0.0
EX_metsox_S__L_e,0.0,0.0
EX_meoh_e,1.768461189585735e-06,1.95703294133602e-06
EX_26dap__M_e,0.0,0.0
EX_mg2_e,-0.008523000455427653,-0.0076707004098848465
EX_mincyc_e,0.0,0.0
EX_2ddglcn_e,0.0,0.0
EX_minohp_e,0.0,0.0
EX_34dhpac_e,0.0,0.0
EX_mmet_e,0.0,0.0
EX_ttdca_e,0.0,0.0
EX_ttdcea_e,0.0,0.0
EX_3amp_e,0.0,0.0
EX_ttrcyc_e,0.0,0.0
EX_mn2_e,-0.0006788926011182142,-0.0006110033410063895
EX_mnl_e,0.0,0.0
EX_tungs_e,0.0,0.0
EX_mobd_e,-0.00012673971858791552,-0.00011406574672912336
EX_tym_e,0.0,0.0
EX_3cmp_e,0.0,0.0
EX_tyr__L_e,0.0,0.5789579128592757
EX_mso3_e,0.0,0.0
EX_n2o_e,0.0,0.0
EX_tyrp_e,0.0,0.0
EX_na1_e,0.0,0.0
EX_3gmp_e,0.0,0.0
EX_nac_e,0.0,0.0
EX_uacgam_e,0.0,0.0
EX_udpacgal_e,0.0,0.0
EX_udpg_e,0.0,0.0
