,minimum,maximum
EX_arab__L_e,0.0,0.0
EX_arbtn_e,0.0,0.0
EX_arg__L_e,-1.0,0.3633233929700652
EX_arbt_e,0.0,0.0
EX_anhgm_e,0.0,0.15232044198892408
EX_arbtn_fe3_e,0.0,0.0
DM_4crsol_c,0.0,7.527790894870197e-05
EX_alltn_e,0.0,0.23353052848487832
EX_amp_e,0.0,0.0
EX_all__D_e,0.0,0.0
DM_5drib_c,0.00013550745097863135,0.19178669810813603
EX_ascb__L_e,0.0,0.0
DM_aacald_c,0.0,0.0
EX_asn__L_e,-1.0,0.8640376789839124
EX_aso3_e,0.0,0.0
EX_asp__L_e,-1.0,1.9682789537679666
EX_g3pg_e,0.0,0.30296703296697025
EX_g3pi_e,0.0,0.0
EX_btn_e,-6.534438938492282e-07,0.0
EX_g3ps_e,0.0,0.0
EX_but_e,-3.076877733076935,0.0
DM_amob_c,0.0,6.751735501376555e-07
EX_butso3_e,0.0,0.0
EX_g6p_e,0.0,0.0
EX_gal_e,0.0,0.0
EX_ca2_e,-0.00175714071336259,-0.0015814266420264044
DM_mththf_c,0.00013550745097863135,0.0001512388752308348
EX_cbi_e,0.0,0.0
EX_gal_bD_e,0.0,0.0
EX_cbl1_e,0.0,0.0
EX_gal1p_e,0.0,0.0
DM_oxam_c,0.0,0.25887621773050584
EX_galct__D_e,0.0,0.0
EX_cd2_e,0.0,0.0
EX_cgly_e,0.0,0.5105555555554109
EX_chol_e,0.0,0.0
EX_chtbs_e,0.0,0.0
EX_cit_e,0.0,1.8619300151171696
EX_cl_e,-0.0017571407133626352,-0.0015814266420264044
EX_cm_e,0.0,0.0
EX_cmp_e,0.0,0.0
EX_co2_e,-2.7862036510153922,28.511428548482968
EX_galctn__D_e,0.0,0.0
EX_galctn__L_e,0.0,0.0
EX_galt_e,0.0,0.0
EX_galur_e,0.0,0.0
EX_gam_e,0.0,0.0
EX_gam6p_e,0.0,0.0
EX_gbbtn_e,0.0,0.0
EX_gdp_e,0.0,0.0
EX_glc__D_e,-10.0,-8.851250000000366
EX_glcn_e,0.0,0.0
EX_glcr_e,0.0,0.0
EX_glcur_e,0.0,0.0
EX_cobalt2_e,-7.879900770261188e-06,-7.595709135573507e-06
EX_colipa_e,0.0,0.0
EX_colipap_e,0.0,0.0
EX_cpgn_e,0.0,0.0
EX_cpgn_un_e,0.0,0.0
EX_glcur1p_e,0.0,0.0
EX_gln__L_e,-1.0,0.0
EX_glu__L_e,-1.0,2.198744461947376
EX_crn_e,0.0,0.0
EX_crn__D_e,0.0,0.0
EX_gly_e,-1.0,2.5651498232069345
BIOMASS_Ec_iJO1366_WT_53p95M,0.0,0.0
EX_glyald_e,0.0,1.0854172973390754
EX_glyb_e,0.0,0.0
EX_csn_e,0.0,0.0
EX_cu_e,0.0,0.0
EX_cu2_e,-0.00023934923453872742,-0.00021541431108486466
EX_cyan_e,0.0,0.0
EX_cynt_e,0.0,0.0
EX_cys__D_e,0.0,0.0
EX_cys__L_e,-1.0,0.47020233688951113
EX_glyc_e,0.0,1.2210944595063116
EX_glyc__R_e,0.0,1.4375210670144805
EX_glyc2p_e,0.0,0.0
EX_glyc3p_e,0.0,0.455702479338683
EX_glyclt_e,0.0,3.114730609119592
EX_gmp_e,0.0,0.0
EX_gsn_e,0.0,0.0
EX_cytd_e,0.0,0.27569999999992223
EX_dad_2_e,0.0,0.0
EX_damp_e,0.0,0.0
EX_gthox_e,0.0,0.0
EX_dca_e,0.0,0.0
Biomass_Gut,0.3038283654229403,0.33758707269213967
EX_dcmp_e,0.0,0.0
EX_dcyt_e,0.0,0.0
EX_ddca_e,0.0,0.0
EX_gthrd_e,0.0,0.46706105696970207
EX_gtp_e,0.0,0.0
EX_gua_e,0.0,0.1967459254751591
EX_h_e,-6.900576514818965,31.27108673145275
EX_h2_e,0.0,0.0
EX_h2o_e,-12.931547637844128,4.702551220766203
EX_h2o2_e,0.0,0.0
EX_dgmp_e,0.0,0.0
EX_dgsn_e,0.0,0.0
EX_h2s_e,0.0,1.4702023368895105
EX_dha_e,0.0,2.297499999999422
EX_12ppd__R_e,0.0,3.1880781620747136
EX_dimp_e,0.0,0.0
EX_din_e,0.0,0.0
EX_dms_e,0.0,0.0
EX_hacolipa_e,0.0,0.0
EX_halipa_e,0.0,0.0
EX_hdca_e,0.0,0.0
EX_hdcea_e,0.0,0.0
EX_hg2_e,0.0,0.0
EX_his__L_e,-0.03198232409270813,0.275820945470762
EX_dmso_e,0.0,0.0
EX_dopa_e,0.0,0.0
EX_doxrbcn_e,0.0,0.0
EX_dtmp_e,0.0,0.0
EX_hom__L_e,0.0,1.2210944595063649
EX_hxa_e,0.0,4.670610569697615
EX_dump_e,0.0,0.0
EX_hxan_e,0.0,0.24582160893143565
EX_duri_e,0.0,0.0
EX_12ppd__S_e,0.0,2.62411153572152
EX_eca4colipa_e,0.0,0.0
EX_enlipa_e,0.0,0.0554924028082875
EX_enter_e,0.0,0.09377551020405546
EX_idon__L_e,0.0,0.0
EX_ile__L_e,-0.09807883464217527,1.4848642119259596
EX_imp_e,0.0,0.0
EX_indole_e,0.0,1.2791810971274105
EX_inost_e,0.0,0.0
EX_etha_e,0.0,0.5459405940592116
EX_ethso3_e,0.0,0.0
EX_etoh_e,0.0,24.45975222640287
EX_ins_e,0.0,0.19553191489356106
EX_isetac_e,0.0,0.0
EX_f6p_e,0.0,0.0
EX_fald_e,0.0,0.0
EX_14glucan_e,0.0,0.0
EX_fe2_e,-0.01,1.6439117574248572
EX_fe3_e,-1.6487915448021777,-0.0023722918772223177
EX_k_e,-0.06589463347999809,-0.059305170131999985
EX_kdo2lipid4_e,0.0,0.06517131027485343
EX_lac__D_e,-2.0,5.0
EX_fe3dcit_e,0.0,0.0
EX_lac__L_e,-2.0,1.8959401621274024
EX_15dap_e,0.0,1.7271779349151672
EX_lcts_e,0.0,0.0
EX_leu__L_e,-0.1520934414470648,2.5231626670180534
EX_lipa_e,0.0,0.06013661677721917
EX_lipa_cold_e,0.0,0.05975194758675011
EX_fe3dhbzs_e,0.0,0.0
EX_fe3hox_e,0.0,0.0
EX_fe3hox_un_e,0.0,0.0
EX_fecrm_e,0.0,0.0
EX_fecrm_un_e,0.0,0.0
EX_feenter_e,0.0,0.093775510204055
EX_feoxam_e,0.0,0.0
EX_lipoate_e,0.0,0.0
EX_lys__L_e,-1.0,0.7271779349151946
EX_lyx__L_e,0.0,0.0
EX_mal__D_e,0.0,0.0
EX_feoxam_un_e,0.0,0.0
EX_for_e,0.0,20.527270466786952
EX_mal__L_e,0.0,1.868244227879109
EX_malt_e,0.0,0.0
EX_23camp_e,0.0,0.0
EX_malthx_e,0.0,0.0
EX_maltpt_e,0.0,0.0
EX_fru_e,0.0,0.0
EX_frulys_e,0.0,0.0
EX_fruur_e,0.0,0.0
EX_malttr_e,0.0,0.0
EX_fuc__L_e,0.0,0.0
EX_maltttr_e,0.0,0.0
EX_23ccmp_e,0.0,0.0
EX_man_e,0.0,0.0
EX_man6p_e,0.0,0.0
EX_fum_e,0.0,0.0
EX_fusa_e,0.0,0.0
EX_g1p_e,0.0,0.0
EX_g3pc_e,0.0,0.0
EX_manglyc_e,0.0,0.0
EX_melib_e,0.0,0.0
EX_g3pe_e,0.0,0.38291666666658153
EX_23cgmp_e,0.0,0.0
EX_23cump_e,0.0,0.0
EX_met__D_e,0.0,0.0
EX_met__L_e,-0.45220309636436146,0.0
EX_23dappa_e,0.0,0.0
EX_metsox_R__L_e,0.0,0.0
EX_metsox_S__L_e,0.0,0.0
EX_meoh_e,0.0,6.72385763648622e-07
EX_26dap__M_e,0.0,0.0
EX_mg2_e,-0.00292856785560434,-0.0026357110700440073
EX_mincyc_e,0.0,0.0
EX_2ddglcn_e,0.0,0.0
EX_minohp_e,0.0,0.0
EX_34dhpac_e,0.0,0.0
EX_mmet_e,0.0,0.0
EX_ttdca_e,0.0,0.0
EX_ttdcea_e,0.0,0.0
EX_3amp_e,0.0,0.0
EX_ttrcyc_e,0.0,0.0
EX_mn2_e,-0.00023327266723027076,-0.00020994540050725172
EX_mnl_e,0.0,0.0
EX_tungs_e,0.0,0.0
EX_mobd_e,-4.354873237728644e-05,-3.9193859139559295e-05
EX_tym_e,0.0,0.0
EX_3cmp_e,0.0,0.0
EX_tyr__L_e,-0.04662470630531839,0.37268974988691633
EX_mso3_e,0.0,0.0
EX_n2o_e,0.0,0.0
EX_tyrp_e,0.0,0.0
EX_na1_e,0.0,0.0
EX_3gmp_e,0.0,0.0
EX_nac_e,-0.0007690233515909028,0.0
EX_uacgam_e,0.0,0.0
