,minimum,maximum
EX_acolipa_e,0.0,0.0
EX_fe3_e,-9.979213698417993,999.985798372417
EX_fe3dcit_e,0.0,0.0
EX_fe3dhbzs_e,0.0,0.0
EX_fe3hox_e,0.0,0.0
EX_fe3hox_un_e,0.0,0.0
EX_fecrm_e,0.0,0.0
EX_fecrm_un_e,0.0,0.0
EX_feenter_e,0.0,0.1845345670463152
EX_feoxam_e,0.0,0.0
EX_feoxam_un_e,0.0,0.0
EX_for_e,0.0,11.53628405181181
EX_fru_e,0.0,0.0
EX_frulys_e,0.0,0.0
EX_LalaLglu_e,0.0,0.0
EX_fruur_e,0.0,0.0
DM_4crsol_c,0.00019718342264026816,0.00021909269182252038
EX_fuc__L_e,0.0,0.0
DM_5drib_c,0.00019895188382986699,0.2239511447906748
DM_aacald_c,0.0,0.0
DM_amob_c,1.7684611895988176e-06,1.9649568773320212e-06
EX_fum_e,0.0,0.0
DM_mththf_c,0.00039613530645536845,0.00044015034052236057
EX_fusa_e,0.0,0.0
DM_oxam_c,0.0,2.0024288143145914
BIOMASS_Ec_iJO1366_WT_53p95M,0.0,0.0
EX_g1p_e,0.0,0.0
Biomass_Gut,0.8842305947994088,0.9824784386660095
EX_12ppd__R_e,0.0,1.442170042368683
EX_g3pc_e,0.0,0.0
EX_12ppd__S_e,0.0,1.4206451163630618
EX_14glucan_e,0.0,0.0
EX_acser_e,0.0,1.2978082191795979
EX_ade_e,0.0,1.106391951614476
EX_adn_e,0.0,0.5582945562298391
EX_adocbl_e,0.0,0.0
EX_ag_e,0.0,0.0
EX_agm_e,0.0,0.8854205607479536
EX_akg_e,0.0,1.4803125000000414
EX_ala_B_e,0.0,0.0
EX_ala__D_e,0.0,1.4613186153493574
EX_ala__L_e,0.0,2.1053333333351247
EX_15dap_e,0.0,0.7895000000002739
EX_23camp_e,0.0,0.0
EX_23ccmp_e,0.0,0.0
EX_23cgmp_e,0.0,0.0
EX_23cump_e,0.0,0.0
EX_23dappa_e,0.0,0.0
EX_26dap__M_e,0.0,0.0
EX_2ddglcn_e,0.0,0.0
EX_34dhpac_e,0.0,0.0
EX_alaala_e,0.0,0.7287692307697782
EX_g3pe_e,0.0,0.8022976375225598
EX_3amp_e,0.0,0.0
EX_3cmp_e,0.0,0.0
EX_all__D_e,0.0,0.0
EX_g3pg_e,0.0,0.6966176470582812
EX_alltn_e,0.0,1.604595275042289
EX_3gmp_e,0.0,0.0
EX_3hcinnm_e,0.0,0.0
EX_3hpp_e,0.0,1.2631999999988277
EX_g3pi_e,0.0,0.0
EX_3hpppn_e,0.0,0.0
EX_amp_e,0.0,0.0
EX_anhgm_e,0.0,0.27864705882327806
EX_3ump_e,0.0,0.0
EX_g3ps_e,0.0,0.0
EX_4abut_e,0.0,1.3343661971838516
EX_4hoxpacd_e,0.0,0.0
EX_arab__L_e,0.0,0.0
EX_arbt_e,0.0,0.0
EX_arbtn_e,0.0,0.0
EX_arbtn_fe3_e,0.0,0.0
EX_arg__L_e,0.0,0.877222222222667
EX_ascb__L_e,0.0,0.0
EX_5dglcn_e,0.0,1.1278571428568283
EX_5mtr_e,0.0,0.2810833950486914
EX_LalaDglu_e,0.0,0.0
EX_LalaDgluMdap_e,0.0,0.33242105263103583
EX_asn__L_e,0.0,1.7494143431889475
EX_aso3_e,0.0,0.0
