,minimum,maximum
EX_acolipa_e,0.0,0.0
EX_fe3_e,-1.7375071220617433,-0.0024842441905364855
EX_fe3dcit_e,0.0,0.0
EX_fe3dhbzs_e,0.0,0.0
EX_fe3hox_e,0.0,0.0
EX_fe3hox_un_e,0.0,0.0
EX_fecrm_e,0.0,0.0
EX_fecrm_un_e,0.0,0.0
EX_feenter_e,0.0,0.09636363636363388
EX_feoxam_e,0.0,0.0
EX_feoxam_un_e,0.0,0.0
EX_for_e,0.0,22.110956338882144
EX_fru_e,0.0,0.0
EX_frulys_e,0.0,0.0
EX_LalaLglu_e,0.0,0.0
EX_fruur_e,0.0,0.0
DM_4crsol_c,0.0,7.883046769031934e-05
EX_fuc__L_e,0.0,0.0
DM_5drib_c,0.00014190226805574702,0.18815860484124716
DM_aacald_c,0.0,0.0
DM_amob_c,0.0,6.99075043538717e-07
EX_fum_e,0.0,0.0
DM_mththf_c,0.00014190226805574704,0.0001583760849354663
EX_fusa_e,0.0,0.0
DM_oxam_c,0.0,0.28606554571678344
BIOMASS_Ec_iJO1366_WT_53p95M,0.0,0.0
EX_g1p_e,0.0,0.0
Biomass_Gut,0.3181665203043655,0.3535183558937399
EX_12ppd__R_e,0.0,3.1032364170075244
EX_g3pc_e,0.0,0.0
EX_12ppd__S_e,0.0,2.4027062314585343
EX_14glucan_e,0.0,0.0
EX_acser_e,0.0,1.9698815714874882
EX_ade_e,0.0,0.2575069291249832
EX_adn_e,0.0,0.20445289753166804
EX_adocbl_e,0.0,0.0
EX_ag_e,0.0,0.0
EX_agm_e,0.0,1.2157947050455395
EX_akg_e,0.0,2.9573001764180176
EX_ala_B_e,0.0,0.0
EX_ala__D_e,0.0,0.4814206056330983
EX_ala__L_e,-1.0,5.0
EX_15dap_e,0.0,1.7012542890208082
EX_23camp_e,0.0,0.0
EX_23ccmp_e,0.0,0.0
EX_23cgmp_e,0.0,0.0
EX_23cump_e,0.0,0.0
EX_23dappa_e,0.0,0.0
EX_26dap__M_e,0.0,0.0
EX_2ddglcn_e,0.0,0.0
EX_34dhpac_e,0.0,0.0
EX_alaala_e,0.0,0.2384999999999983
EX_g3pe_e,0.0,0.39749999999997904
EX_3amp_e,0.0,0.0
EX_3cmp_e,0.0,0.0
EX_all__D_e,0.0,0.0
EX_g3pg_e,0.0,0.29812499999998165
EX_alltn_e,0.0,0.26974213484176596
EX_3gmp_e,0.0,0.0
EX_3hcinnm_e,0.0,0.0
EX_3hpp_e,0.0,0.0
EX_g3pi_e,0.0,0.0
EX_3hpppn_e,0.0,0.0
EX_amp_e,0.0,0.0
EX_anhgm_e,0.0,0.15899999999999542
EX_3ump_e,0.0,0.0
EX_g3ps_e,0.0,0.0
EX_4abut_e,0.0,4.502575802435654
EX_4hoxpacd_e,0.0,0.0
EX_arab__L_e,0.0,0.0
EX_arbt_e,0.0,0.0
EX_arbtn_e,0.0,0.0
EX_arbtn_fe3_e,0.0,0.0
EX_arg__L_e,-1.0,0.15066284584658463
EX_ascb__L_e,0.0,0.0
EX_5dglcn_e,0.0,0.0
EX_5mtr_e,0.0,0.4208823529411566
EX_LalaDglu_e,0.0,0.0
EX_LalaDgluMdap_e,0.0,0.15639344262295005
EX_asn__L_e,-1.0,1.078584720151258
EX_aso3_e,0.0,0.0
EX_g6p_e,0.0,0.0
EX_asp__L_e,-1.0,2.108763882680042
EX_LalaDgluMdapDala_e,0.0,0.15142857142857674
EX_ac_e,0.4048083432498241,5.0
EX_acac_e,0.0,0.0
EX_acald_e,0.0,9.539999999999235
EX_btn_e,-6.484706113344117e-07,0.0
EX_but_e,-3.4118256716892557,0.0
EX_gal_e,0.0,0.0
EX_butso3_e,0.0,0.0
EX_acgal_e,0.0,0.0
EX_ca2_e,-0.0018400630424269138,-0.0016560567381842225
EX_acgal1p_e,0.0,0.0
EX_gal_bD_e,0.0,0.0
EX_acgam_e,0.0,0.0
EX_cbi_e,0.0,0.0
EX_cbl1_e,0.0,0.0
EX_acgam1p_e,0.0,0.0
EX_cd2_e,0.0,0.0
EX_acmana_e,0.0,0.0
EX_gal1p_e,0.0,0.0
EX_acmum_e,0.0,0.0
EX_cgly_e,0.0,0.53000000000001
EX_galct__D_e,0.0,0.0
EX_chol_e,0.0,0.0
EX_chtbs_e,0.0,0.0
EX_acnam_e,0.0,0.0
EX_cit_e,0.0,1.813815241706327
EX_cl_e,-0.0018400630424269138,-0.0016560567381842225
EX_cm_e,0.0,0.0
EX_cmp_e,0.0,0.0
EX_lac__L_e,-2.0,1.6717037454816879
EX_lcts_e,0.0,0.0
EX_co2_e,-1.8224617474966458,28.33225899974752
EX_leu__L_e,-0.159270978399165,2.434455495071378
EX_galctn__D_e,0.0,0.0
EX_lipa_e,0.0,0.06063559322033639
EX_lipa_cold_e,0.0,0.06025263157894317
EX_cobalt2_e,-8.837958897343634e-06,-7.954163007609137e-06
EX_colipa_e,0.0,0.0
EX_colipap_e,0.0,0.0
EX_lipoate_e,0.0,0.0
EX_lys__L_e,-1.0,0.7012542890208162
EX_galctn__L_e,0.0,0.0
EX_lyx__L_e,0.0,0.0
EX_mal__D_e,0.0,0.0
EX_mal__L_e,0.0,1.907999999999871
EX_malt_e,0.0,0.0
EX_malthx_e,0.0,0.0
EX_maltpt_e,0.0,0.0
EX_cpgn_e,0.0,0.0
EX_cpgn_un_e,0.0,0.0
EX_crn_e,0.0,0.0
EX_crn__D_e,0.0,0.0
EX_csn_e,0.0,0.0
EX_cu_e,0.0,0.0
EX_cu2_e,-0.00025064451432866544,-0.00022558006289579512
EX_cyan_e,0.0,0.0
EX_cynt_e,0.0,0.0
EX_malttr_e,0.0,0.0
EX_maltttr_e,0.0,0.0
EX_man_e,0.0,0.0
EX_cys__D_e,0.0,0.0
EX_galt_e,0.0,0.0
EX_cys__L_e,-1.0,0.46879613668766873
EX_cytd_e,0.0,0.30126315789472286
EX_dad_2_e,0.0,0.0
EX_damp_e,0.0,0.0
EX_dca_e,0.0,0.0
EX_man6p_e,0.0,0.0
EX_manglyc_e,0.0,0.0
EX_melib_e,0.0,0.0
EX_meoh_e,0.0,7.069653154362049e-07
EX_met__D_e,0.0,0.0
EX_met__L_e,-0.4698510439146827,0.0
EX_metsox_R__L_e,0.0,0.0
EX_dcmp_e,0.0,0.0
EX_dcyt_e,0.0,0.0
EX_ddca_e,0.0,0.0
EX_dgmp_e,0.0,0.0
EX_metsox_S__L_e,0.0,0.0
EX_mg2_e,-0.0030667717373781852,-0.0027600945636403708
EX_dgsn_e,0.0,0.0
EX_galur_e,0.0,0.0
EX_dha_e,0.0,2.384999999999886
EX_mincyc_e,0.0,0.0
EX_minohp_e,0.0,0.0
EX_dimp_e,0.0,0.0
EX_gam_e,0.0,0.0
EX_din_e,0.0,0.0
EX_dms_e,0.0,0.0
EX_mmet_e,0.0,0.0
EX_mn2_e,-0.00024428118392257357,-0.00021985306553031655
EX_mnl_e,0.0,0.0
EX_mobd_e,-4.560386791029232e-05,-4.104348111926314e-05
EX_dmso_e,0.0,0.0
EX_dopa_e,0.0,0.0
EX_mso3_e,0.0,0.0
EX_gam6p_e,0.0,0.0
EX_n2o_e,0.0,0.0
EX_doxrbcn_e,0.0,0.0
EX_dtmp_e,0.0,0.0
EX_dump_e,0.0,0.0
EX_duri_e,0.0,0.0
EX_eca4colipa_e,0.0,0.0
EX_na1_e,0.0,0.0
EX_nac_e,-0.0008053148147257883,0.0
EX_nh4_e,-1.1380288880055118,5.0
EX_ni2_e,-0.00011418642895367749,-0.00010276778605831005
EX_nmn_e,0.0,0.0
EX_no_e,0.0,0.0
EX_no2_e,0.0,0.0
EX_enlipa_e,0.0,0.056338582677164094
EX_enter_e,0.0,0.09636363636363432
EX_gbbtn_e,0.0,0.0
EX_etha_e,0.0,0.59593485900409
