,minimum,maximum
EX_amp_e,0.0,0.0
EX_arab__L_e,0.0,0.0
EX_arbt_e,0.0,0.0
DM_4crsol_c,0.00018823458603222344,0.0002091495400358038
EX_anhgm_e,0.0,0.2679545454544455
EX_alltn_e,0.0,0.0
EX_all__D_e,0.0,0.0
EX_arbtn_e,0.0,0.0
DM_5drib_c,0.00018992278859753485,0.21681377489568693
EX_arbtn_fe3_e,0.0,0.0
DM_aacald_c,0.0,0.0
EX_arg__L_e,0.0,0.8225581395366817
EX_g1p_e,0.0,0.0
DM_amob_c,1.6882025653114209e-06,1.875780628123801e-06
EX_g3pc_e,0.0,0.0
EX_g3pe_e,0.0,0.7525531914905115
EX_ascb__L_e,0.0,0.0
EX_asn__L_e,0.0,1.6842857142851246
EX_aso3_e,0.0,0.0
EX_g3pg_e,0.0,0.6550000000010092
EX_g3pi_e,0.0,0.0
EX_asp__L_e,0.0,1.8615789473721263
DM_mththf_c,0.0003781573746297583,0.0004201748606997291
EX_btn_e,0.0,0.0
EX_but_e,0.0,0.0
EX_g3ps_e,0.0,0.0
EX_g6p_e,0.0,0.0
DM_oxam_c,0.0,0.0
EX_gal_e,0.0,0.0
EX_gal_bD_e,0.0,0.0
EX_butso3_e,0.0,0.0
EX_ca2_e,-0.004881719084692192,-0.004393547176222973
EX_gal1p_e,0.0,0.0
EX_cbi_e,0.0,0.0
EX_cbl1_e,0.0,0.0
EX_cd2_e,0.0,0.0
EX_cgly_e,0.0,0.6330051583291496
EX_chol_e,0.0,0.0
EX_chtbs_e,0.0,0.0
EX_cit_e,0.0,1.2410526315808346
EX_cl_e,-0.004881719084692192,-0.004393547176222973
EX_cm_e,0.0,0.0
EX_galct__D_e,0.0,0.0
EX_galctn__D_e,0.0,0.0
EX_galctn__L_e,0.0,0.0
EX_galt_e,0.0,0.0
EX_galur_e,0.0,0.0
EX_gam_e,0.0,0.0
EX_gam6p_e,0.0,0.0
EX_gbbtn_e,0.0,0.0
EX_gdp_e,0.0,0.0
EX_glc__D_e,-10.0,-9.017499999998494
EX_glcn_e,0.0,1.0105714285729803
EX_cmp_e,0.0,0.0
EX_co2_e,15.92670960120563,27.643496867723456
EX_cobalt2_e,-2.3447257851547488e-05,-2.1102532066392764e-05
EX_colipa_e,0.0,0.0
EX_glcr_e,0.0,0.0
EX_glcur_e,0.0,0.0
EX_colipap_e,0.0,0.0
BIOMASS_Ec_iJO1366_WT_53p95M,0.0,0.0
EX_cpgn_e,0.0,0.0
EX_cpgn_un_e,0.0,0.0
EX_glcur1p_e,0.0,0.0
EX_gln__L_e,0.0,0.0
EX_crn_e,0.0,0.0
Biomass_Gut,0.8441012826557105,0.9378903140619048
EX_crn__D_e,0.0,0.0
EX_glu__L_e,0.0,0.9963380281700491
EX_gly_e,0.0,2.6459930806724574
EX_12ppd__R_e,0.0,1.4230965111303233
EX_glyald_e,0.0,0.0
EX_glyb_e,0.0,0.0
EX_glyc_e,0.0,1.5378260869596123
EX_glyc__R_e,0.0,2.0211428571449828
EX_glyc2p_e,0.0,0.0
EX_csn_e,0.0,0.0
EX_cu_e,0.0,0.0
EX_cu2_e,-0.0006649642326698708,-0.0005984678094028988
EX_cyan_e,0.0,0.0
EX_cynt_e,0.0,0.0
EX_cys__D_e,0.0,0.0
EX_cys__L_e,0.0,0.9825000000014884
EX_cytd_e,0.0,0.6046153846163027
EX_dad_2_e,0.0,0.0
EX_glyc3p_e,0.0,1.1989830508487564
EX_glyclt_e,0.0,3.537000000003675
EX_gmp_e,0.0,0.0
EX_gsn_e,0.0,0.0
EX_damp_e,0.0,0.0
EX_dca_e,0.0,0.0
EX_gthox_e,0.0,0.0
EX_gthrd_e,0.0,0.4283208556356948
EX_12ppd__S_e,0.0,1.3951926579709024
EX_gtp_e,0.0,0.0
EX_gua_e,0.0,0.9495302013432543
EX_dcmp_e,0.0,0.0
EX_dcyt_e,0.0,0.0
EX_ddca_e,0.0,0.0
EX_h_e,-996.6583063158519,19.091527627125288
EX_dgmp_e,0.0,0.0
EX_14glucan_e,0.0,0.0
EX_dgsn_e,0.0,0.0
EX_h2_e,0.0,0.0
EX_h2o_e,37.827744104145495,554.2865409020482
EX_dha_e,0.0,1.965000000002
EX_15dap_e,0.0,0.0
EX_dimp_e,0.0,0.0
EX_din_e,0.0,0.0
EX_h2o2_e,0.0,0.0
EX_h2s_e,0.0,2.021142857146824
EX_hacolipa_e,0.0,0.0
EX_halipa_e,0.0,0.0
EX_hdca_e,0.0,0.0
EX_hdcea_e,0.0,0.0
EX_dms_e,0.0,0.0
EX_dmso_e,0.0,0.0
EX_dopa_e,0.0,0.0
EX_doxrbcn_e,0.0,0.0
EX_dtmp_e,0.0,0.0
EX_dump_e,0.0,0.0
EX_hg2_e,0.0,0.0
EX_his__L_e,0.0,0.8178034682093331
EX_duri_e,0.0,0.0
EX_eca4colipa_e,0.0,0.0
EX_hom__L_e,0.0,1.286181818182583
EX_23camp_e,0.0,0.0
EX_hxa_e,0.0,0.8225581395357471
EX_enlipa_e,0.0,0.04141686182682046
EX_23ccmp_e,0.0,0.0
EX_enter_e,0.0,0.17640897755637566
EX_etha_e,0.0,1.4737499999994186
EX_hxan_e,0.0,1.0034042553206644
EX_23cgmp_e,0.0,0.0
EX_idon__L_e,0.0,0.0
EX_ile__L_e,0.0,0.7368750000009459
EX_ethso3_e,0.0,0.0
EX_etoh_e,0.0,2.2106250000034606
EX_imp_e,0.0,0.0
EX_f6p_e,0.0,0.0
EX_23cump_e,0.0,0.0
EX_fald_e,0.0,0.0
EX_indole_e,0.0,0.5483720930243396
EX_inost_e,0.0,0.0
EX_fe2_e,-1000.0,8.314267692219001
EX_23dappa_e,0.0,0.0
EX_fe3_e,-8.327824802911664,999.9864428892993
EX_fe3dcit_e,0.0,0.0
EX_fe3dhbzs_e,0.0,0.0
EX_fe3hox_e,0.0,0.0
EX_fe3hox_un_e,0.0,0.0
EX_ins_e,0.0,0.0
EX_isetac_e,0.0,0.0
EX_k_e,-0.18306962407268434,-0.16476266166541612
EX_kdo2lipid4_e,0.0,0.05614285714302346
EX_lac__D_e,0.0,2.210625000000272
EX_lac__L_e,0.0,0.0
EX_fecrm_e,0.0,0.0
EX_fecrm_un_e,0.0,0.0
EX_feenter_e,0.0,0.17640897755628995
EX_lcts_e,0.0,0.0
EX_feoxam_e,0.0,0.0
EX_leu__L_e,-0.42254866108462164,0.4719953616518132
EX_26dap__M_e,0.0,0.0
EX_lipa_e,0.0,0.04251201923090435
EX_lipa_cold_e,0.0,0.04105629715622172
EX_feoxam_un_e,0.0,0.0
EX_for_e,0.0,11.716787266514586
EX_2ddglcn_e,0.0,0.0
EX_fru_e,0.0,0.0
EX_frulys_e,0.0,0.0
EX_lipoate_e,0.0,0.0
EX_lys__L_e,0.0,0.7689130434792648
EX_lyx__L_e,0.0,0.0
EX_fruur_e,0.0,0.0
EX_fuc__L_e,0.0,0.0
EX_34dhpac_e,0.0,0.0
EX_fum_e,0.0,0.0
EX_fusa_e,0.0,0.0
EX_mal__D_e,0.0,0.0
EX_mal__L_e,0.0,1.8138461538480897
EX_malt_e,0.0,0.0
EX_malthx_e,0.0,0.0
EX_3amp_e,0.0,0.0
EX_maltpt_e,0.0,0.0
EX_malttr_e,0.0,0.0
EX_maltttr_e,0.0,0.0
EX_man_e,0.0,0.0
EX_man6p_e,0.0,0.0
EX_manglyc_e,0.0,0.0
EX_melib_e,0.0,0.0
EX_meoh_e,1.6882025653114209e-06,1.875780628123801e-06
EX_met__D_e,0.0,0.0
EX_met__L_e,0.0,0.0
EX_metsox_R__L_e,0.0,0.0
EX_metsox_S__L_e,0.0,0.0
EX_mg2_e,-0.008136198474486987,-0.007322578627038289
EX_mincyc_e,0.0,0.0
EX_minohp_e,0.0,0.0
EX_mmet_e,0.0,0.0
EX_mn2_e,-0.0006480822070167732,-0.0005832739863150959
EX_mnl_e,0.0,0.0
EX_tre_e,0.0,0.0
EX_trp__L_e,0.0,0.4366666666669159
EX_tsul_e,0.0,0.0
EX_ttdca_e,0.0,0.0
EX_ttdcea_e,0.0,0.0
EX_ttrcyc_e,0.0,0.0
EX_mobd_e,-0.00012098785051398515,-0.00010888906546258665
EX_tungs_e,0.0,0.0
EX_3cmp_e,0.0,0.0
EX_tym_e,0.0,0.0
EX_tyr__L_e,0.0,0.5659200000000606
EX_tyrp_e,0.0,0.0
EX_mso3_e,0.0,0.0
EX_n2o_e,0.0,0.0
EX_na1_e,0.0,0.0
EX_nac_e,0.0,0.0
EX_uacgam_e,0.0,0.0
EX_3gmp_e,0.0,0.0
EX_udpacgal_e,0.0,0.0
EX_udpg_e,0.0,0.0
EX_udpgal_e,0.0,0.0
EX_udpglcur_e,0.0,0.0
EX_ump_e,0.0,0.0
EX_ura_e,0.0,1.607727272730504
EX_nh4_e,-14.884047018686609,-8.732742670847976
EX_ni2_e,-0.00030293857144199387,-0.00027264471429779447
EX_nmn_e,0.0,0.0
EX_no_e,0.0,0.0
EX_no2_e,0.0,0.0
EX_no3_e,0.0,0.0
EX_novbcn_e,0.0,0.0
EX_o16a4colipa_e,0.0,0.0
EX_urea_e,0.0,3.075652173919228
EX_uri_e,0.0,0.655000000001337
EX_val__L_e,0.0,1.0718181818183097
EX_xan_e,0.0,1.0800000000001206
EX_xmp_e,0.0,0.0
EX_o2_e,-276.40790373143943,-18.55129300911254
EX_3hcinnm_e,0.0,0.0
EX_o2s_e,0.0,0.0
EX_ocdca_e,0.0,0.0
EX_ocdcea_e,0.0,0.0
EX_octa_e,0.0,0.0
EX_xtsn_e,0.0,0.5505058365767639
EX_xyl__D_e,0.0,0.0
EX_xylu__L_e,0.0,0.0
EX_zn2_e,-0.00031982059709510807,-0.0002878385373855973
EX_orn_e,0.0,0.943200000001184
EX_orot_e,0.0,0.0
12DGR120tipp,0.0,7.860000000013692
EX_3hpp_e,0.0,1.1989830508509656
12DGR140tipp,0.0,7.860000000006444
EX_pacald_e,0.0,0.0
EX_peamn_e,0.0,0.0
EX_phe__L_e,0.0,0.5441538461538888
12DGR141tipp,0.0,7.8600000000136845
12DGR160tipp,0.0,7.860000000004469
12DGR161tipp,0.0,7.860000000011702
12DGR180tipp,0.0,7.860000000011759
12DGR181tipp,0.0,7.860000000019312
EX_pheme_e,0.0,0.13870588235334683
EX_pi_e,-2.013229315234753,-0.8142462643836552
EX_pnto__R_e,0.0,0.0
EX_ppa_e,0.0,0.0
EX_ppal_e,0.0,0.0
12PPDRtex,-1.4230965111296994,0.0
