,minimum,maximum
EX_amp_e,0.0,0.0
EX_arab__L_e,0.0,0.0
EX_arbt_e,0.0,0.0
DM_4crsol_c,0.0,7.230213458966031e-05
EX_anhgm_e,0.0,0.14491803278688392
EX_alltn_e,0.0,0.0
EX_all__D_e,0.0,0.0
EX_arbtn_e,0.0,0.0
DM_5drib_c,0.00013015079699504783,0.19769962730434892
EX_arbtn_fe3_e,0.0,0.0
DM_aacald_c,0.0,0.0
EX_arg__L_e,-1.0,0.3636243811445501
EX_g1p_e,0.0,0.0
DM_amob_c,0.0,6.278909088437088e-07
EX_g3pc_e,0.0,0.0
EX_g3pe_e,0.0,0.3683333333333207
EX_ascb__L_e,0.0,0.0
EX_asn__L_e,-1.0,0.7638344950210016
EX_aso3_e,0.0,0.0
EX_g3pg_e,0.0,0.2946666666666819
EX_g3pi_e,0.0,0.0
EX_asp__L_e,-1.0,1.4311774280238385
DM_mththf_c,0.00013015079699504783,0.0001452603520135025
EX_btn_e,-6.484842899603778e-07,0.0
EX_but_e,0.0,0.0
EX_g3ps_e,0.0,0.0
EX_g6p_e,0.0,0.0
DM_oxam_c,0.0,0.0
EX_gal_e,0.0,0.0
EX_gal_bD_e,0.0,0.0
EX_butso3_e,0.0,0.0
EX_ca2_e,-0.0016876803646218835,-0.001518912328159695
EX_gal1p_e,0.0,0.0
EX_cbi_e,0.0,0.0
EX_cbl1_e,0.0,0.0
EX_cd2_e,0.0,0.0
EX_cgly_e,0.0,0.4911111111111184
EX_chol_e,0.0,0.0
EX_chtbs_e,0.0,0.0
EX_cit_e,0.0,2.0029223021114033
EX_cl_e,-0.0016876803646218835,-0.001518912328159695
EX_cm_e,0.0,0.0
EX_galct__D_e,0.0,0.0
EX_galctn__D_e,0.0,0.0
EX_galctn__L_e,0.0,0.0
EX_galt_e,0.0,0.0
EX_galur_e,0.0,0.0
EX_gam_e,0.0,0.0
EX_gam6p_e,0.0,0.0
EX_gbbtn_e,0.0,0.0
EX_gdp_e,0.0,0.0
EX_glc__D_e,-10.0,-8.895000000000001
EX_glcn_e,0.0,0.0
EX_cmp_e,0.0,0.0
EX_co2_e,-4.038746781882194,27.650171320887036
EX_cobalt2_e,-7.737052826220888e-06,-7.295448262054251e-06
EX_colipa_e,0.0,0.0
EX_glcr_e,0.0,0.0
EX_glcur_e,0.0,0.0
EX_colipap_e,0.0,0.0
BIOMASS_Ec_iJO1366_WT_53p95M,0.0,0.0
EX_cpgn_e,0.0,0.0
EX_cpgn_un_e,0.0,0.0
EX_glcur1p_e,0.0,0.0
EX_gln__L_e,-1.0,0.0
EX_crn_e,0.0,0.0
Biomass_Gut,0.29181793048217003,0.32424214498018894
EX_crn__D_e,0.0,0.0
EX_glu__L_e,-1.0,1.2410033510162517
EX_gly_e,-1.0,2.507044213663709
EX_12ppd__R_e,0.0,3.253849918278341
EX_glyald_e,0.0,0.0
EX_glyb_e,0.0,0.0
EX_glyc_e,0.0,1.262857142857094
EX_glyc__R_e,0.0,1.3866385168463249
EX_glyc2p_e,0.0,0.0
EX_csn_e,0.0,0.0
EX_cu_e,0.0,0.0
EX_cu2_e,-0.00022988768079095317,-0.00020689891271185855
EX_cyan_e,0.0,0.0
EX_cynt_e,0.0,0.0
EX_cys__D_e,0.0,0.0
EX_cys__L_e,-1.0,0.4713802482858917
EX_cytd_e,0.0,0.2625742574257453
EX_dad_2_e,0.0,0.0
EX_glyc3p_e,0.0,0.4419999999999823
EX_glyclt_e,0.0,3.0043834531670823
EX_gmp_e,0.0,0.0
EX_gsn_e,0.0,0.0
EX_damp_e,0.0,0.0
EX_dca_e,0.0,0.0
EX_gthox_e,0.0,0.0
EX_gthrd_e,0.0,0.4652631578947898
EX_12ppd__S_e,0.0,3.011483682625196
EX_gtp_e,0.0,0.0
EX_gua_e,0.0,0.18713552708741782
EX_dcmp_e,0.0,0.0
EX_dcyt_e,0.0,0.0
EX_ddca_e,0.0,0.0
EX_h_e,-6.509536516314954,32.427449434952884
EX_dgmp_e,0.0,0.0
EX_14glucan_e,0.0,0.0
EX_dgsn_e,0.0,0.0
EX_h2_e,0.0,0.0
EX_h2o_e,-12.479390448735709,3.6953399056602603
EX_dha_e,0.0,2.209999999999965
EX_15dap_e,0.0,0.0
EX_dimp_e,0.0,0.0
EX_din_e,0.0,0.0
EX_h2o2_e,0.0,0.0
EX_h2s_e,0.0,1.4713802482858918
EX_hacolipa_e,0.0,0.0
EX_halipa_e,0.0,0.0
EX_hdca_e,0.0,0.0
EX_hdcea_e,0.0,0.0
EX_dms_e,0.0,0.0
EX_dmso_e,0.0,0.0
EX_dopa_e,0.0,0.0
EX_doxrbcn_e,0.0,0.0
EX_dtmp_e,0.0,0.0
EX_dump_e,0.0,0.0
EX_hg2_e,0.0,0.0
EX_his__L_e,-0.03071805233113314,0.2606146224672163
EX_duri_e,0.0,0.0
EX_eca4colipa_e,0.0,0.0
EX_hom__L_e,0.0,1.4684627882850505
EX_23camp_e,0.0,0.0
EX_hxa_e,0.0,4.420000000000143
EX_enlipa_e,0.0,0.05251485148514919
EX_23ccmp_e,0.0,0.0
EX_enter_e,0.0,0.08929292929294785
EX_etha_e,0.0,0.5200000000000492
EX_hxan_e,0.0,0.23263157894736702
EX_23cgmp_e,0.0,0.0
EX_idon__L_e,0.0,0.0
EX_ile__L_e,-0.09420174613894931,1.6692633876718435
EX_ethso3_e,0.0,0.0
EX_etoh_e,0.0,22.614657299261424
EX_imp_e,0.0,0.0
EX_f6p_e,0.0,0.0
EX_23cump_e,0.0,0.0
EX_fald_e,0.0,0.0
EX_indole_e,0.0,0.285161290322584
EX_inost_e,0.0,0.0
EX_fe2_e,-0.01,1.605302239961611
EX_23dappa_e,0.0,0.0
EX_fe3_e,-1.6099891277430922,-0.0022785144012047835
EX_fe3dcit_e,0.0,0.0
EX_fe3dhbzs_e,0.0,0.0
EX_fe3hox_e,0.0,0.0
EX_fe3hox_un_e,0.0,0.0
EX_ins_e,0.0,0.0
EX_isetac_e,0.0,0.0
EX_k_e,-0.06328979700511803,-0.05696081730460622
EX_kdo2lipid4_e,0.0,0.06167441860465128
EX_lac__D_e,-2.0,5.0
EX_lac__L_e,-2.0,0.0
EX_fecrm_e,0.0,0.0
EX_fecrm_un_e,0.0,0.0
EX_feenter_e,0.0,0.0892929292929517
EX_lcts_e,0.0,0.0
EX_feoxam_e,0.0,0.0
EX_leu__L_e,-0.14608113782006968,2.812330385922552
EX_26dap__M_e,0.0,0.0
EX_lipa_e,0.0,0.0569098712446271
EX_lipa_cold_e,0.0,0.05654584221747589
EX_feoxam_un_e,0.0,0.0
EX_for_e,0.0,21.513499149930333
EX_2ddglcn_e,0.0,0.0
EX_fru_e,0.0,0.0
EX_frulys_e,0.0,0.0
EX_lipoate_e,0.0,0.0
EX_lys__L_e,-0.11126725871354662,0.8038875737262081
EX_lyx__L_e,0.0,0.0
EX_fruur_e,0.0,0.0
EX_fuc__L_e,0.0,0.0
EX_34dhpac_e,0.0,0.0
EX_fum_e,0.0,0.0
EX_fusa_e,0.0,0.0
EX_mal__D_e,0.0,0.0
EX_mal__L_e,0.0,1.7365553057313299
EX_malt_e,0.0,0.0
EX_malthx_e,0.0,0.0
EX_3amp_e,0.0,0.0
EX_maltpt_e,0.0,0.0
EX_malttr_e,0.0,0.0
EX_maltttr_e,0.0,0.0
EX_man_e,0.0,0.0
EX_man6p_e,0.0,0.0
EX_manglyc_e,0.0,0.0
EX_melib_e,0.0,0.0
EX_meoh_e,0.0,5.877607685099494e-07
EX_met__D_e,0.0,0.0
EX_met__L_e,-0.43491340586258564,0.0
EX_metsox_R__L_e,0.0,0.0
EX_metsox_S__L_e,0.0,0.0
EX_mg2_e,-0.0028128006077031394,-0.002531520546932825
EX_mincyc_e,0.0,0.0
EX_minohp_e,0.0,0.0
EX_mmet_e,0.0,0.0
EX_mn2_e,-0.00022405132218131056,-0.00020164618996317948
EX_mnl_e,0.0,0.0
EX_tre_e,0.0,0.0
EX_trp__L_e,-0.01843089624710888,0.2512909812563798
EX_tsul_e,0.0,0.0
EX_ttdca_e,0.0,0.0
EX_ttdcea_e,0.0,0.0
EX_ttrcyc_e,0.0,0.0
EX_mobd_e,-4.182723670244437e-05,-3.7644513032199935e-05
EX_tungs_e,0.0,0.0
EX_3cmp_e,0.0,0.0
EX_tym_e,0.0,0.0
EX_tyr__L_e,-0.044781607746140324,0.355580370180544
EX_tyrp_e,0.0,0.0
EX_mso3_e,0.0,0.0
EX_n2o_e,0.0,0.0
EX_na1_e,0.0,0.0
EX_nac_e,-0.0007386236062647991,0.0
EX_uacgam_e,0.0,0.0
EX_3gmp_e,0.0,0.0
EX_udpacgal_e,0.0,0.0
EX_udpg_e,0.0,0.0
EX_udpgal_e,0.0,0.0
EX_udpglcur_e,0.0,0.0
EX_ump_e,0.0,0.0
EX_ura_e,0.0,0.5893333333332934
EX_nh4_e,-3.688573694719088,5.0
EX_ni2_e,-0.0001047302128286012,-9.425719154574091e-05
EX_nmn_e,0.0,0.0
EX_no_e,0.0,0.0
EX_no2_e,0.0,0.0
EX_no3_e,0.0,0.0
EX_novbcn_e,0.0,0.0
EX_o16a4colipa_e,0.0,0.0
EX_urea_e,0.0,1.4438375800353584
EX_uri_e,0.0,0.34441558441559794
EX_val__L_e,-1.0,4.5318223727223845
EX_xan_e,0.0,0.2266666666666617
EX_xmp_e,0.0,0.0
EX_o2_e,0.0,0.0
EX_3hcinnm_e,0.0,0.0
EX_o2s_e,0.0,0.0
EX_ocdca_e,0.0,0.0
EX_ocdcea_e,0.0,0.0
EX_octa_e,0.0,0.0
EX_xtsn_e,0.0,0.18164383561642705
EX_xyl__D_e,0.0,0.0
EX_xylu__L_e,0.0,0.0
EX_zn2_e,-0.00011056657143824443,-9.950991429441998e-05
EX_orn_e,0.0,1.1265793523233114
EX_orot_e,0.0,0.0
12DGR120tipp,0.0,0.9822222222222381
EX_3hpp_e,0.0,0.0
12DGR140tipp,0.0,0.9822222222222381
EX_pacald_e,0.0,0.0
EX_peamn_e,0.0,0.0
EX_phe__L_e,-0.06007072098975471,0.36031135110922
12DGR141tipp,0.0,0.9822222222221957
12DGR160tipp,0.0,0.9822222222221887
12DGR161tipp,0.0,0.9822222222222347
12DGR180tipp,0.0,0.9822222222222382
12DGR181tipp,0.0,0.9822222222222361
EX_pheme_e,0.0,0.09878473825367858
EX_pi_e,-0.7234966220989447,-0.281496622098941
EX_pnto__R_e,-0.0001867634755084407,0.0
EX_ppa_e,0.0,0.0
