,minimum,maximum
EX_asn__L_e,0.0,1.7494143431899711
EX_aso3_e,0.0,0.0
EX_asp__L_e,0.0,1.8855555372097934
EX_btn_e,0.0,0.0
EX_butso3_e,0.0,0.0
EX_arg__L_e,0.0,0.8772222222210075
EX_but_e,0.0,0.0
DM_4crsol_c,0.00019718342264026775,0.0002190926918225186
EX_ascb__L_e,0.0,0.0
EX_ca2_e,-0.00511380027325661,-0.004602420245930914
EX_cbi_e,0.0,0.0
DM_5drib_c,0.00019895188382986658,0.22395114479068384
DM_aacald_c,0.0,0.0
EX_cbl1_e,0.0,0.0
EX_cd2_e,0.0,0.0
DM_amob_c,1.768461189598814e-06,1.964956877332005e-06
EX_cgly_e,0.0,0.7141426713970714
EX_chol_e,0.0,0.0
DM_mththf_c,0.0003961353064701043,0.00044015034052236057
EX_chtbs_e,0.0,0.0
EX_cit_e,0.0,1.2632000000001167
DM_oxam_c,0.0,2.0024288143162963
EX_cl_e,-0.00511380027325656,-0.004602420245930914
BIOMASS_Ec_iJO1366_WT_53p95M,0.0,0.0
EX_cm_e,0.0,0.0
EX_galct__D_e,0.0,0.0
EX_cmp_e,0.0,0.0
EX_galctn__D_e,0.0,0.0
BIOMASS_Ec_iJO1366_core_53p95M,0.884230594799407,0.9824784386660154
EX_galctn__L_e,0.0,0.0
EX_galt_e,0.0,0.0
EX_co2_e,12.167477179843445,23.703761231665908
EX_cobalt2_e,-2.4127112573960703e-05,-2.2105764869985178e-05
EX_galur_e,0.0,0.0
EX_gam_e,0.0,0.0
EX_gam6p_e,0.0,0.0
EX_gbbtn_e,0.0,0.0
EX_gdp_e,0.0,0.0
EX_glc__D_e,-10.0,-9.013124999996261
EX_glcn_e,0.0,1.0297826086951005
EX_glcr_e,0.0,0.0
EX_colipa_e,0.0,0.0
EX_colipap_e,0.0,0.0
EX_cpgn_e,0.0,0.0
EX_cpgn_un_e,0.0,0.0
EX_crn_e,0.0,0.0
EX_crn__D_e,0.0,0.0
EX_csn_e,0.0,0.0
EX_cu_e,0.0,0.0
EX_cu2_e,-0.000696577213014198,-0.0006269194917127795
EX_glcur_e,0.0,0.0
EX_glcur1p_e,0.0,0.0
EX_gln__L_e,0.0,0.0
EX_glu__L_e,0.0,1.315833333332769
EX_cyan_e,0.0,0.0
EX_cynt_e,0.0,0.0
EX_gly_e,0.0,3.2254655754466794
EX_12ppd__R_e,0.0,1.4421700423667447
EX_glyald_e,0.0,1.781572695086993
EX_glyb_e,0.0,0.0
EX_cys__D_e,0.0,0.0
EX_cys__L_e,0.0,1.0511665359308944
EX_cytd_e,0.0,0.6443986343909779
EX_dad_2_e,0.0,0.0
EX_glyc_e,0.0,1.5784618015116865
EX_12ppd__S_e,0.0,1.4206451163645397
EX_glyc__R_e,0.0,2.1053464789027565
EX_damp_e,0.0,0.0
EX_dca_e,0.0,0.0
EX_glyc2p_e,0.0,0.0
EX_14glucan_e,0.0,0.0
EX_glyc3p_e,0.0,1.2978082191764488
EX_glyclt_e,0.0,3.643937161568883
EX_gmp_e,0.0,0.0
EX_gsn_e,0.0,0.0
EX_dcmp_e,0.0,0.0
EX_dcyt_e,0.0,0.0
EX_ddca_e,0.0,0.0
EX_dgmp_e,0.0,0.0
EX_dgsn_e,0.0,0.0
EX_gthox_e,0.0,0.0
EX_gthrd_e,0.0,0.4642948540442392
EX_15dap_e,0.0,0.7895000000003063
EX_gtp_e,0.0,0.0
EX_gua_e,0.0,1.1483122584455925
EX_h_e,-1000.0,19.66717608515546
EX_dha_e,0.0,1.9698689961942106
EX_dimp_e,0.0,0.0
EX_din_e,0.0,0.0
EX_h2_e,0.0,0.0
EX_dms_e,0.0,0.0
EX_dmso_e,0.0,0.0
EX_h2o_e,35.51746605313656,552.7905712435097
EX_23camp_e,0.0,0.0
EX_h2o2_e,0.0,0.0
EX_h2s_e,0.0,2.2032558139525165
EX_dopa_e,0.0,0.0
EX_doxrbcn_e,0.0,0.0
EX_hacolipa_e,0.0,0.0
EX_dtmp_e,0.0,0.0
EX_halipa_e,0.0,0.0
EX_dump_e,0.0,0.0
EX_23ccmp_e,0.0,0.0
EX_duri_e,0.0,0.0
EX_hdca_e,0.0,0.0
EX_hdcea_e,0.0,0.0
EX_eca4colipa_e,0.0,0.0
EX_23cgmp_e,0.0,0.0
EX_hg2_e,0.0,0.0
EX_enlipa_e,0.0,0.041443569553821606
EX_enter_e,0.0,0.1845345670460039
EX_etha_e,0.0,1.6316086635168805
EX_ethso3_e,0.0,0.0
EX_his__L_e,0.0,0.8859008648404529
EX_hom__L_e,0.0,1.3312850908331333
EX_hxa_e,0.0,0.8028813559324393
EX_hxan_e,0.0,1.1761839152041658
EX_23cump_e,0.0,0.0
EX_etoh_e,0.0,2.1531818181863054
EX_f6p_e,0.0,0.0
EX_fald_e,0.0,0.0
EX_idon__L_e,0.0,0.0
EX_23dappa_e,0.0,0.0
EX_ile__L_e,0.0,0.7519047619063792
EX_imp_e,0.0,0.0
EX_indole_e,0.0,0.5707747621485383
EX_fe2_e,-1000.0,9.965012070840945
EX_fe3_e,-9.979213698429025,999.985798372417
EX_fe3dcit_e,0.0,0.0
EX_fe3dhbzs_e,0.0,0.0
EX_inost_e,0.0,4.085620730620576e-14
EX_ins_e,0.0,0.5789579128603634
EX_26dap__M_e,0.0,0.0
EX_isetac_e,0.0,0.0
EX_k_e,-0.19177291387853396,-0.17259562249068067
EX_fe3hox_e,0.0,0.0
EX_fe3hox_un_e,0.0,0.0
EX_fecrm_e,0.0,0.0
EX_kdo2lipid4_e,0.0,0.05639285714300801
EX_lac__D_e,0.0,2.153181818161066
EX_fecrm_un_e,0.0,0.0
EX_2ddglcn_e,0.0,0.0
EX_feenter_e,0.0,0.18453456704665375
EX_feoxam_e,0.0,0.0
EX_lac__L_e,0.0,1.790244731382586
EX_lcts_e,0.0,0.0
EX_feoxam_un_e,0.0,0.0
EX_for_e,0.0,11.536284051817402
EX_fru_e,0.0,0.0
EX_leu__L_e,0.0,0.8384070796465452
EX_lipa_e,0.0,0.04244623655918004
EX_lipa_cold_e,0.0,0.040959792477274076
EX_lipoate_e,0.0,0.0
EX_frulys_e,0.0,0.0
EX_lys__L_e,0.0,0.7895000000010537
EX_34dhpac_e,0.0,0.0
EX_lyx__L_e,0.0,0.0
EX_mal__D_e,0.0,0.0
EX_fruur_e,0.0,0.0
EX_fuc__L_e,0.0,0.0
EX_fum_e,0.0,0.0
EX_mal__L_e,0.0,1.856658134345218
EX_malt_e,0.0,0.0
EX_fusa_e,0.0,0.0
EX_3amp_e,0.0,0.0
EX_g1p_e,0.0,0.0
EX_malthx_e,0.0,0.0
EX_maltpt_e,0.0,0.0
EX_g3pc_e,0.0,0.0
EX_3cmp_e,0.0,0.0
EX_g3pe_e,0.0,0.8022976375241241
EX_malttr_e,0.0,0.0
EX_g3pg_e,0.0,0.6966176470596976
EX_maltttr_e,0.0,0.0
EX_3gmp_e,0.0,0.0
EX_man_e,0.0,0.0
EX_g3pi_e,0.0,0.0
EX_g3ps_e,0.0,0.0
EX_man6p_e,0.0,0.0
EX_g6p_e,0.0,0.0
EX_gal_e,0.0,0.0
EX_manglyc_e,0.0,0.0
EX_3hcinnm_e,0.0,0.0
EX_melib_e,0.0,0.0
EX_meoh_e,1.768461189598814e-06,1.9649568773320204e-06
EX_met__D_e,0.0,0.0
EX_met__L_e,0.0,0.0
EX_metsox_R__L_e,0.0,0.0
EX_gal_bD_e,0.0,0.0
EX_gal1p_e,0.0,0.0
EX_mmet_e,0.0,0.0
EX_metsox_S__L_e,0.0,0.0
EX_mg2_e,-0.008523000455427684,-0.007670700409884856
EX_mn2_e,-0.0006788926011182166,-0.0006110033410063903
EX_mincyc_e,0.0,0.0
EX_3hpp_e,0.0,1.263199999998399
EX_minohp_e,0.0,0.0
EX_mnl_e,0.0,0.0
EX_mobd_e,-0.00012673971858791599,-0.00011406574672912351
EX_mso3_e,0.0,0.0
EX_3hpppn_e,0.0,0.0
EX_n2o_e,0.0,0.0
EX_na1_e,0.0,0.0
EX_3ump_e,0.0,0.0
EX_nac_e,0.0,0.0
EX_nh4_e,-18.16314630257284,-9.550419029846921
EX_ni2_e,-0.00031734053568912294,-0.00028560648212020844
EX_uacgam_e,0.0,0.0
EX_udpacgal_e,0.0,0.0
EX_udpg_e,0.0,0.0
EX_udpgal_e,0.0,0.0
EX_nmn_e,0.0,0.0
EX_4abut_e,0.0,1.3343661971813727
EX_no_e,0.0,0.0
EX_udpglcur_e,0.0,0.0
EX_ump_e,0.0,0.0
EX_no2_e,0.0,0.0
EX_4hoxpacd_e,0.0,0.0
EX_no3_e,0.0,0.0
EX_ura_e,0.0,1.749414343187368
EX_urea_e,0.0,4.306363636368568
EX_novbcn_e,0.0,0.0
EX_o16a4colipa_e,0.0,0.0
EX_o2_e,-271.8133458531447,-14.528274557970917
EX_uri_e,0.0,0.6854141061720463
EX_val__L_e,0.0,1.0526666666670328
EX_xan_e,0.0,1.2853787083950736
EX_xmp_e,0.0,0.0
EX_xtsn_e,0.0,0.6042241559395487
EX_o2s_e,0.0,0.0
EX_xyl__D_e,0.0,0.0
EX_ocdca_e,0.0,0.0
EX_5dglcn_e,0.0,0.0
EX_ocdcea_e,0.0,0.0
EX_octa_e,0.0,0.0
EX_xylu__L_e,0.0,0.0
EX_zn2_e,-0.000335025147585113,-0.0003015226328265978
12DGR120tipp,0.0,10.526666666676192
EX_orn_e,0.0,0.9767010309290418
EX_orot_e,0.0,0.0
12DGR140tipp,0.0,10.526666666671758
EX_5mtr_e,0.0,0.2810833950492899
12DGR141tipp,0.0,10.526666666667722
12DGR160tipp,0.0,10.526666666681649
EX_pacald_e,0.0,0.0
EX_peamn_e,0.0,0.0
12DGR161tipp,0.0,10.526666666669769
EX_phe__L_e,0.0,0.5557199232391229
12DGR180tipp,0.0,10.526666666676874
EX_LalaDglu_e,0.0,0.0
12DGR181tipp,0.0,10.526666666672952
EX_pheme_e,0.0,0.14268072289174333
EX_LalaDgluMdap_e,0.0,0.33242105263168653
EX_pi_e,-2.150764462068537,-0.8529562428904001
12PPDRtex,-1.4421700423723516,0.0
12PPDRtpp,-1.4421700423723516,0.0
EX_pnto__R_e,0.0,0.0
12PPDStex,-1.4206451163643123,0.0
12PPDStpp,-1.4206451163643123,0.0
14GLUCANabcpp,0.0,0.0
EX_ppa_e,0.0,0.0
EX_ppal_e,0.0,0.0
EX_pppn_e,0.0,0.0
14GLUCANtexi,0.0,0.0
