,minimum,maximum
EX_asn__L_e,-1.0,1.0321616785479617
EX_aso3_e,0.0,0.0
EX_asp__L_e,-1.0,2.0320713574239653
EX_btn_e,-6.803745999375801e-07,0.0
EX_butso3_e,0.0,0.0
EX_arg__L_e,-1.0,0.3286139632087641
EX_but_e,-3.269750271805304,0.0
DM_4crsol_c,0.0,7.585778031458941e-05
EX_ascb__L_e,0.0,0.0
EX_ca2_e,-0.0017706748963375457,-0.0015936074067037925
EX_cbi_e,0.0,0.0
DM_5drib_c,0.00013655118220747234,0.18030603121947034
DM_aacald_c,0.0,0.0
EX_cbl1_e,0.0,0.0
EX_cd2_e,0.0,0.0
DM_amob_c,0.0,6.803740023086513e-07
EX_cgly_e,0.0,0.5077777777777397
EX_chol_e,0.0,0.0
DM_mththf_c,0.00013655118220747234,0.00015240377651713858
EX_chtbs_e,0.0,0.0
EX_cit_e,0.0,1.828000000000025
DM_oxam_c,0.0,0.27520553452976476
EX_cl_e,-0.0017706748963375472,-0.001593607406703797
BIOMASS_Ec_iJO1366_WT_53p95M,0.0,0.0
EX_cm_e,0.0,0.0
EX_galct__D_e,0.0,0.0
EX_cmp_e,0.0,0.0
EX_galctn__D_e,0.0,0.0
BIOMASS_Ec_iJO1366_core_53p95M,0.30616856997191105,0.34018729996877983
EX_galctn__L_e,0.0,0.0
EX_galt_e,0.0,0.0
EX_co2_e,-2.3691413434196145,28.18647571964467
EX_cobalt2_e,-8.291848251391488e-06,-7.654214249297777e-06
EX_galur_e,0.0,0.0
EX_gam_e,0.0,0.0
EX_gam6p_e,0.0,0.0
EX_gbbtn_e,0.0,0.0
EX_gdp_e,0.0,0.0
EX_glc__D_e,-10.0,-8.857500000000018
EX_glcn_e,0.0,0.0
EX_glcr_e,0.0,0.0
EX_colipa_e,0.0,0.0
EX_colipap_e,0.0,0.0
EX_cpgn_e,0.0,0.0
EX_cpgn_un_e,0.0,0.0
EX_crn_e,0.0,0.0
EX_crn__D_e,0.0,0.0
EX_csn_e,0.0,0.0
EX_cu_e,0.0,0.0
EX_cu2_e,-0.00024119279567787254,-0.00021707351611008493
EX_glcur_e,0.0,0.0
EX_glcur1p_e,0.0,0.0
EX_gln__L_e,-1.0,0.0
EX_glu__L_e,-1.0,2.3950742460859518
EX_cyan_e,0.0,0.0
EX_cynt_e,0.0,0.0
EX_gly_e,-1.0,2.7309716719540273
EX_12ppd__R_e,0.0,3.0811798614286907
EX_glyald_e,0.0,1.0155555555554614
EX_glyb_e,0.0,0.0
EX_cys__D_e,0.0,0.0
EX_cys__L_e,-1.0,0.4699728236685745
EX_cytd_e,0.0,0.288631578947371
EX_dad_2_e,0.0,0.0
EX_glyc_e,0.0,1.1424999999999683
EX_12ppd__S_e,0.0,2.540776554170556
