,minimum,maximum
EX_26dap__M_e,0.0,0.0
EX_34dhpac_e,0.0,0.0
EX_23camp_e,0.0,0.0
EX_23dappa_e,0.0,0.0
EX_3amp_e,0.0,0.0
EX_3cmp_e,0.0,0.0
EX_2ddglcn_e,0.0,0.0
DM_4crsol_c,0.00021909269182252084,0.00021909269182252084
EX_23cgmp_e,0.0,0.0
EX_23ccmp_e,0.0,0.0
EX_3gmp_e,0.0,0.0
DM_5drib_c,0.00022105764869985288,0.00022105764869985288
EX_3hcinnm_e,0.0,0.0
EX_23cump_e,0.0,0.0
DM_aacald_c,0.0,0.0
EX_3hpp_e,0.0,0.0
EX_3hpppn_e,0.0,0.0
DM_amob_c,1.9649568773320255e-06,1.964956866745693e-06
EX_3ump_e,0.0,0.0
EX_4abut_e,0.0,0.0
EX_4hoxpacd_e,0.0,0.0
DM_mththf_c,0.00044015034052233585,0.0004401503405117873
EX_5dglcn_e,0.0,0.0
DM_oxam_c,0.0,0.0
EX_5mtr_e,0.0,0.0
BIOMASS_Ec_iJO1366_WT_53p95M,0.0,0.0
EX_LalaDglu_e,0.0,0.0
EX_LalaDgluMdap_e,0.0,0.0
BIOMASS_Ec_iJO1366_core_53p95M,0.9824784386660128,0.982478438666012
EX_LalaDgluMdapDala_e,0.0,0.0
EX_LalaLglu_e,0.0,0.0
EX_dcmp_e,0.0,0.0
EX_dcyt_e,0.0,0.0
EX_ddca_e,0.0,0.0
EX_dgmp_e,0.0,0.0
EX_dgsn_e,0.0,0.0
EX_dha_e,0.0,-1.4266365866433262e-13
EX_dimp_e,0.0,0.0
EX_ac_e,0.0,-3.7470027081099033e-13
EX_acac_e,0.0,0.0
EX_acald_e,0.0,-1.0746958878371515e-13
EX_acgal_e,0.0,0.0
EX_acgal1p_e,0.0,0.0
EX_acgam_e,0.0,0.0
EX_acgam1p_e,0.0,0.0
EX_din_e,0.0,0.0
EX_dms_e,0.0,0.0
EX_acmana_e,0.0,0.0
EX_dmso_e,0.0,0.0
EX_12ppd__R_e,0.0,0.0
EX_dopa_e,0.0,0.0
EX_doxrbcn_e,0.0,0.0
EX_acmum_e,0.0,0.0
EX_acnam_e,0.0,0.0
EX_dtmp_e,0.0,0.0
EX_acolipa_e,0.0,0.0
EX_dump_e,0.0,0.0
EX_12ppd__S_e,0.0,0.0
EX_duri_e,0.0,0.0
EX_acser_e,0.0,0.0
EX_ade_e,0.0,0.0
EX_eca4colipa_e,0.0,0.0
EX_14glucan_e,0.0,0.0
EX_enlipa_e,0.0,0.0
EX_enter_e,0.0,0.0
EX_etha_e,0.0,-1.254552017826427e-13
EX_adn_e,0.0,0.0
EX_adocbl_e,0.0,0.0
EX_ag_e,0.0,0.0
EX_agm_e,0.0,0.0
EX_akg_e,0.0,-1.021405182655144e-13
EX_ala_B_e,0.0,0.0
EX_ethso3_e,0.0,0.0
EX_etoh_e,0.0,0.0
EX_f6p_e,0.0,0.0
EX_fald_e,0.0,0.0
EX_fe2_e,-1000.0,-0.01577958620578094
EX_fe3_e,3.566924533515703e-12,999.9842204137966
EX_ala__D_e,0.0,-2.0309622039693664e-13
EX_ala__L_e,0.0,-2.0309448567346067e-13
EX_alaala_e,0.0,0.0
EX_fe3dcit_e,0.0,0.0
EX_all__D_e,0.0,0.0
EX_fe3dhbzs_e,1.2212453270876722e-13,0.0
EX_15dap_e,0.0,0.0
EX_fe3hox_e,4.760636329592671e-13,0.0
EX_fe3hox_un_e,0.0,-3.339550858072471e-13
EX_alltn_e,0.0,-3.955765836421987e-13
EX_amp_e,0.0,0.0
EX_anhgm_e,0.0,0.0
EX_fecrm_e,0.0,0.0
EX_arab__L_e,0.0,0.0
EX_fecrm_un_e,0.0,0.0
EX_arbt_e,0.0,0.0
EX_h_e,-990.9569805843354,9.027239829456965
EX_arbtn_e,0.0,-4.263256414560601e-13
EX_arbtn_fe3_e,0.0,0.0
EX_arg__L_e,0.0,0.0
EX_feenter_e,0.0,0.0
EX_feoxam_e,0.0,0.0
EX_feoxam_un_e,0.0,0.0
EX_for_e,0.0,-1.5301076920250234e-12
EX_fru_e,0.0,0.0
EX_ascb__L_e,0.0,0.0
EX_asn__L_e,0.0,0.0
EX_h2_e,0.0,0.0
EX_aso3_e,0.0,0.0
EX_frulys_e,0.0,0.0
EX_fruur_e,0.0,0.0
EX_fuc__L_e,0.0,0.0
EX_fum_e,0.0,0.0
EX_fusa_e,0.0,0.0
EX_g1p_e,0.0,0.0
EX_g3pc_e,0.0,0.0
EX_g3pe_e,0.0,0.0
EX_asp__L_e,0.0,-1.262323578998803e-13
EX_btn_e,0.0,0.0
EX_but_e,0.0,0.0
EX_butso3_e,0.0,0.0
EX_ca2_e,-0.005113800273256568,-0.005113800273256597
EX_cbi_e,0.0,0.0
EX_g3pg_e,0.0,0.0
EX_g3pi_e,0.0,0.0
EX_cbl1_e,0.0,0.0
EX_g3ps_e,0.0,0.0
EX_cd2_e,0.0,0.0
EX_h2o_e,45.61786951321988,545.6099797201157
EX_cgly_e,0.0,0.0
EX_chol_e,0.0,0.0
EX_g6p_e,0.0,0.0
EX_gal_e,0.0,0.0
EX_gal_bD_e,0.0,0.0
EX_chtbs_e,0.0,0.0
EX_cit_e,0.0,-1.2168044349891716e-13
EX_gal1p_e,0.0,0.0
EX_h2o2_e,0.0,0.0
EX_galct__D_e,0.0,0.0
EX_galctn__D_e,0.0,0.0
EX_galctn__L_e,0.0,0.0
EX_cl_e,-0.005113800273256568,-0.005113800273256597
EX_cm_e,0.0,0.0
EX_cmp_e,0.0,0.0
EX_galt_e,0.0,0.0
EX_co2_e,19.670845812961442,19.670845812960348
EX_galur_e,0.0,-1.1368683772161603e-13
EX_h2s_e,0.0,-2.057243264630415e-13
EX_gam_e,0.0,0.0
EX_gam6p_e,0.0,0.0
EX_gbbtn_e,0.0,0.0
EX_gdp_e,0.0,0.0
EX_cobalt2_e,-2.456196096665018e-05,-2.456196096665032e-05
EX_colipa_e,0.0,0.0
EX_colipap_e,0.0,0.0
EX_cpgn_e,0.0,0.0
EX_glc__D_e,-10.0,-10.000000000000096
EX_cpgn_un_e,0.0,0.0
EX_glcn_e,0.0,0.0
EX_hacolipa_e,0.0,0.0
EX_glcr_e,0.0,0.0
EX_crn_e,0.0,0.0
EX_crn__D_e,0.0,0.0
EX_csn_e,0.0,0.0
EX_glcur_e,0.0,0.0
EX_glcur1p_e,0.0,0.0
EX_cu_e,0.0,0.0
EX_halipa_e,0.0,0.0
EX_cu2_e,-0.000696577213014199,-0.000696577213014203
EX_gln__L_e,0.0,0.0
EX_glu__L_e,0.0,0.0
EX_cyan_e,0.0,0.0
EX_hdca_e,0.0,0.0
EX_cynt_e,0.0,0.0
EX_cys__D_e,0.0,0.0
EX_gly_e,0.0,-1.41886502547095e-13
EX_glyald_e,0.0,-1.0663692151524629e-13
EX_cys__L_e,0.0,0.0
EX_hdcea_e,0.0,0.0
EX_cytd_e,0.0,0.0
EX_dad_2_e,0.0,0.0
EX_glyb_e,0.0,0.0
EX_glyc_e,0.0,0.0
EX_glyc__R_e,0.0,-1.0447404660135495e-13
EX_damp_e,0.0,0.0
EX_dca_e,0.0,0.0
EX_glyc2p_e,0.0,0.0
EX_glyc3p_e,0.0,-1.421640583032513e-13
EX_glyclt_e,0.0,-3.4050973846122545e-13
EX_hg2_e,0.0,0.0
EX_gmp_e,0.0,0.0
EX_gsn_e,0.0,0.0
EX_gthox_e,0.0,0.0
EX_ppal_e,0.0,0.0
EX_pppn_e,0.0,0.0
EX_ppt_e,0.0,0.0
EX_pro__L_e,0.0,0.0
EX_gthrd_e,0.0,0.0
EX_gtp_e,0.0,0.0
EX_progly_e,0.0,0.0
EX_his__L_e,0.0,0.0
EX_psclys_e,0.0,0.0
EX_pser__L_e,0.0,0.0
EX_gua_e,0.0,0.0
EX_hom__L_e,0.0,-1.1313172620930345e-13
EX_ptrc_e,0.0,0.0
EX_pydam_e,0.0,0.0
EX_pydx_e,0.0,0.0
EX_pydxn_e,0.0,0.0
14GLUCANabcpp,0.0,0.0
14GLUCANtexi,0.0,0.0
EX_hxa_e,0.0,0.0
23CAMPtex,0.0,0.0
EX_pyr_e,0.0,-1.0547725887155579e-13
EX_quin_e,0.0,0.0
EX_r5p_e,0.0,0.0
23CCMPtex,0.0,0.0
EX_hxan_e,0.0,-1.0547118733938987e-13
23CGMPtex,0.0,0.0
EX_rfamp_e,0.0,0.0
EX_rib__D_e,0.0,0.0
EX_rmn_e,0.0,0.0
23CUMPtex,0.0,0.0
23DAPPAt2pp,0.0,0.0
23DAPPAtex,0.0,0.0
23PDE2pp,0.0,0.0
EX_sbt__D_e,0.0,0.0
EX_sel_e,0.0,0.0
EX_ser__D_e,0.0,0.0
23PDE4pp,0.0,0.0
23PDE7pp,0.0,0.0
EX_ser__L_e,0.0,-2.646771690706373e-13
EX_idon__L_e,0.0,0.0
EX_skm_e,0.0,0.0
EX_slnt_e,0.0,0.0
23PDE9pp,0.0,0.0
26DAHtex,0.0,0.0
EX_so2_e,0.0,0.0
2AGPA120tipp,0.0,-2.970956813896919e-13
EX_ile__L_e,0.0,0.0
EX_so3_e,0.0,0.0
EX_so4_e,-0.24779088701586613,-0.2477908870159545
EX_spmd_e,0.0,0.0
2AGPA140tipp,0.0,-8.610889778992714e-13
2AGPA141tipp,0.0,0.0
EX_succ_e,0.0,-1.5698553568199713e-13
EX_imp_e,0.0,0.0
EX_sucr_e,0.0,0.0
EX_sulfac_e,0.0,0.0
2AGPA160tipp,0.0,-2.3780977187470853e-13
2AGPA161tipp,0.0,-4.858335955759685e-13
2AGPA180tipp,0.0,-7.89764087461009e-13
2AGPA181tipp,0.0,-2.828848266744899e-13
2AGPE120tipp,0.0,-3.7703173916270316e-13
EX_tartr__D_e,0.0,-1.0036416142611415e-13
EX_tartr__L_e,0.0,0.0
EX_taur_e,0.0,0.0
EX_tcynt_e,0.0,0.0
EX_thm_e,0.0,0.0
2AGPE140tipp,0.0,-1.1182166304024577e-12
2AGPE141tipp,0.0,-4.769518113789672e-13
EX_thr__L_e,0.0,0.0
EX_indole_e,0.0,0.0
EX_thrp_e,0.0,0.0
EX_thym_e,0.0,0.0
EX_thymd_e,0.0,0.0
2AGPE160tipp,0.0,-1.5765166949677223e-13
2AGPE161tipp,0.0,-1.3073986337985843e-12
2AGPE180tipp,0.0,-6.070699498650356e-13
EX_tma_e,0.0,-9.9298347322474e-13
EX_inost_e,0.0,0.0
EX_tmao_e,0.0,0.0
EX_tre_e,0.0,0.0
2AGPE181tipp,0.0,-8.006928453596629e-13
2AGPEAT120,0.0,-8.055778266680136e-13
2AGPEAT140,0.0,-4.557222654799631e-13
2AGPEAT141,0.0,-7.843482807690094e-13
EX_trp__L_e,0.0,0.0
EX_ins_e,0.0,0.0
EX_tsul_e,0.0,0.0
2AGPEAT160,0.0,-6.958877918350481e-13
EX_isetac_e,0.0,-1.0669243266647754e-13
2AGPEAT161,0.0,-3.312905505481467e-13
2AGPEAT180,0.0,-9.445777493510832e-13
EX_ttdca_e,0.0,0.0
EX_ttdcea_e,0.0,0.0
EX_ttrcyc_e,0.0,0.0
EX_tungs_e,0.0,0.0
EX_tym_e,0.0,0.0
EX_tyr__L_e,0.0,0.0
2AGPEAT181,0.0,-8.144596108650148e-13
2AGPG120tipp,0.0,-5.027089855502709e-13
2AGPG140tipp,0.0,-4.805045250577678e-13
2AGPG141tipp,0.0,-3.290701044988964e-13
2AGPG160tipp,0.0,-7.833733661755105e-13
EX_tyrp_e,0.0,0.0
EX_uacgam_e,0.0,0.0
EX_udpacgal_e,0.0,0.0
