,minimum,maximum
EX_cd2_e,0.0,0.0
3OAR80,0.24454019877561406,0.7868109510580855
EX_cbi_e,0.0,0.0
EX_cbl1_e,0.0,0.0
2AGPEAT120,0.0,4.0731066562309275
2AGPEAT140,0.0,4.073106656234131
3OAS100,0.24454019877561406,1.3533272590260075
12DGR120tipp,0.0,5.430808874979633
2AGPEAT141,0.0,4.073106656231191
3OAS120,0.0,1.9781676139208941
2AGPEAT160,0.0,4.073106656230369
2AGPEAT161,0.0,4.073106656231258
2AGPEAT180,0.0,4.073106656230225
12DGR140tipp,0.0,5.430808874976655
2AGPEAT181,0.0,4.073106656225475
3OAS121,0.04372821666517124,1.238988453667276
2AGPG120tipp,0.0,4.073106656227992
2AGPG140tipp,0.0,4.073106656229646
12DGR141tipp,0.0,5.430808874974886
12DGR160tipp,0.0,5.430808874976655
12DGR161tipp,0.0,5.430808874975689
2AGPG141tipp,0.0,4.073106656225258
12DGR180tipp,0.0,5.430808874974929
3OAS140,0.07657129785145861,1.9781676139201774
12DGR181tipp,0.0,5.430808874971326
2AGPG160tipp,0.0,4.0731066562308245
3OAS141,0.043728216665171155,1.2389884536676288
2AGPG161tipp,0.0,4.073106656230169
2AGPG180tipp,0.0,4.073106656232364
2AGPG181tipp,0.0,4.0731066562314435
2AGPGAT120,0.0,4.073106656230225
2AGPGAT140,0.0,4.073106656230225
2AGPGAT141,0.0,4.073106656230369
2AGPGAT160,0.0,4.073106656229579
2AGPGAT161,0.0,4.073106656231833
2AGPGAT180,0.0,4.073106656228922
3OAS160,0.0,1.8801740964659075
2AGPGAT181,0.0,4.0731066562328495
3OAS161,0.043728216665171155,0.9510771799512459
3OAS180,0.0,1.794219061132594
3OAS181,0.016515377967961663,0.7368954639712163
3OAS60,0.24454019877561406,0.7868109510575504
3OAS80,0.24454019877561406,0.7868109510575504
3OXCOAT,0.0,0.0
3PEPTabcpp,0.0,0.29050082191779075
12PPDt,0.0,0.0
3PEPTtex,-0.1704707395499554,0.0
2DGLCNRx,0.0,0.0
2DGLCNRy,0.0,0.0
13PPDH,0.0,1.4727768283387295
2DGULRx,0.0,0.0
3UMPtex,0.0,0.0
2DGULRy,0.0,0.0
13PPDtex,-1.472776828336413,0.0
13PPDtpp,-1.472776828336413,0.0
42A12BOOXpp,0.0,0.0
14GLUCANabcpp,0.0,0.0
4HOXPACDtex,0.0,0.0
14GLUCANtexi,0.0,0.0
23CAMPtex,0.0,0.0
23CCMPtex,0.0,0.0
23CGMPtex,0.0,0.0
23CUMPtex,0.0,0.0
23DAPPAt2pp,0.0,0.0
2INSD,0.0,0.0
2MAHMP,0.0,12.219319968695089
4HTHRS,0.0,0.0
34dhpactex,0.0,0.0
3AMPtex,0.0,0.0
23DAPPAtex,0.0,0.0
23PDE2pp,0.0,0.0
23PDE4pp,0.0,0.0
3CMPtex,0.0,0.0
23PDE7pp,0.0,0.0
4PCP,0.0,0.29129890109893897
23PDE9pp,0.0,0.0
3GMPtex,0.0,0.0
3HAD100,0.24454019877561417,1.3533272590258363
3HAD120,0.0,1.9781676139204394
4PCPpp,0.0,0.2905008219179574
3HAD121,0.04372821666517124,1.2389884536675173
26DAHtex,0.0,0.0
