,minimum,maximum
EX_cd2_e,0.0,0.0
3OAR80,0.06557218832587919,0.2647036168972925
EX_cbi_e,0.0,0.0
EX_cbl1_e,0.0,0.0
2AGPEAT120,0.0,0.8066666666666933
2AGPEAT140,0.0,0.8066666666666933
3OAS100,0.06557218832587922,0.295478921000361
12DGR120tipp,0.0,1.0755555555555478
2AGPEAT141,0.0,0.8066666666666958
3OAS120,0.0,0.4191297122744394
2AGPEAT160,0.0,0.8066666666666933
2AGPEAT161,0.0,0.8066666666666789
2AGPEAT180,0.0,0.8066666666666958
12DGR140tipp,0.0,1.0755555555555478
2AGPEAT181,0.0,0.8066666666666619
3OAS121,0.011725494919362896,0.26929948468161424
2AGPG120tipp,0.0,0.8066666666666933
2AGPG140tipp,0.0,0.8066666666666933
12DGR141tipp,0.0,1.0755555555555478
12DGR160tipp,0.0,1.0755555555555487
12DGR161tipp,0.0,1.0755555555555507
2AGPG141tipp,0.0,0.8066666666666764
12DGR180tipp,0.0,1.0755555555555514
3OAS140,0.020532197112017436,0.419129712274439
12DGR181tipp,0.0,1.075555555555554
2AGPG160tipp,0.0,0.8066666666666755
3OAS141,0.011725494919362896,0.2692994846816109
2AGPG161tipp,0.0,0.8066666666666933
2AGPG180tipp,0.0,0.8066666666666622
2AGPG181tipp,0.0,0.8066666666666598
2AGPGAT120,0.0,0.8066666666666755
2AGPGAT140,0.0,0.8066666666666933
2AGPGAT141,0.0,0.8066666666666624
2AGPGAT160,0.0,0.8066666666666933
2AGPGAT161,0.0,0.8066666666666624
2AGPGAT180,0.0,0.8066666666666933
3OAS160,0.0,0.3917667425937998
2AGPGAT181,0.0,0.8066666666666625
3OAS161,0.011725494919362896,0.2092609331235308
3OAS180,0.0,0.3687183448553174
3OAS181,0.004428513102591995,0.1617019511632293
3OAS60,0.06557218832587922,0.26470361689730476
3OAS80,0.06557218832587922,0.26470361689730476
3OXCOAT,0.0,0.0
3PEPTabcpp,0.0,0.15125000000000557
12PPDt,0.0,0.0
3PEPTtex,-0.11950617283950755,0.0
2DGLCNRx,0.0,0.0
2DGLCNRy,0.0,0.0
13PPDH,0.0,1.0757680347195648
2DGULRx,0.0,0.0
3UMPtex,0.0,0.0
2DGULRy,0.0,0.0
13PPDtex,-1.0757680347195393,0.0
13PPDtpp,-1.0757680347195393,0.0
42A12BOOXpp,0.0,0.0
14GLUCANabcpp,0.0,0.0
4HOXPACDtex,0.0,0.0
14GLUCANtexi,0.0,0.0
23CAMPtex,0.0,0.0
23CCMPtex,0.0,0.0
23CGMPtex,0.0,0.0
23CUMPtex,0.0,0.0
23DAPPAt2pp,0.0,0.0
2INSD,0.0,0.0
2MAHMP,0.0,2.4199999999999506
4HTHRS,0.0,0.0
34dhpactex,0.0,0.0
3AMPtex,0.0,0.0
23DAPPAtex,0.0,0.0
23PDE2pp,0.0,0.0
23PDE4pp,0.0,0.0
3CMPtex,0.0,0.0
23PDE7pp,0.0,0.0
4PCP,0.0,0.1536507936507907
23PDE9pp,0.0,0.0
3GMPtex,0.0,0.0
3HAD100,0.06557218832587922,0.2954789210003641
3HAD120,0.0,0.4191297122744391
4PCPpp,0.0,0.15125000000000163
3HAD121,0.011725494919362896,0.26929948468161
26DAHtex,0.0,0.0
2AGPA120tipp,0.0,0.5694117647058894
2AGPA140tipp,0.0,0.5718273173073043
3HAD140,0.0,0.39859751516242237
3HAD141,0.011725494919362896,0.2692994846816158
3HAD160,0.0,0.3917667425938081
2AGPA141tipp,0.0,0.5718273173073154
2AGPA160tipp,0.0,0.5694117647058803
2AGPA161tipp,0.0,0.5694117647058765
2AGPA180tipp,0.0,0.5694117647058765
2AGPA181tipp,0.0,0.5694117647058787
3HAD161,0.011725494919362896,0.20926093312352564
2AGPE120tipp,0.0,0.8066666666666797
3HAD180,0.0,0.36871834485531807
4PEPTabcpp,0.0,0.15365079365079307
3HAD181,0.004428513102591995,0.1617019511632364
2AGPE140tipp,0.0,0.8066666666667117
2AGPE141tipp,0.0,0.8066666666666755
3HAD40,0.06557218832587919,0.26470361689730737
2AGPE160tipp,0.0,0.8066666666666755
3HAD60,0.06557218832587919,0.26470361689730787
4PEPTtex,-0.11950617283950662,0.0
3HAD80,0.06557218832587919,0.26470361689730787
2AGPE161tipp,0.0,0.8066666666666781
2AGPE180tipp,0.0,0.8066666666666613
3HCINNMH,0.0,0.0
5DGLCNtex,0.0,0.0
3HPPPNH,0.0,0.0
2AGPE181tipp,0.0,0.8066666666666613
3NTD2pp,0.0,0.0
5DOAN,0.0,0.0
3NTD4pp,0.0,0.0
3NTD7pp,0.0,0.0
3NTD9pp,0.0,0.0
ACGALtex,0.0,0.0
ACGAM1Ptex,0.0,0.0
A5PISO,0.0012581003132363623,0.08743020713816232
ACGAMK,0.0,0.0
ACGAMT,0.0,0.0
AACPS1,0.0,2.4200000000000337
ACGAptspp,0.0,0.0
AACPS2,0.0,2.4200000000000337
ACGAtex,0.0,0.0
AACPS3,0.0,2.4200000000000386
ACGK,0.0,1.2484978695850604
ACGS,0.0,1.2484978695850604
AACPS4,0.0,2.4200000000000372
ACHBS,0.0,1.0755555555555485
ACKr,-1000.0,-1.763067234777342
3OADPCOAT,0.0,0.0
AACPS5,0.0,1.138823529411738
3OAR100,0.06557218832587923,0.29547892100038836
AACPS6,0.0,1.1388235294117552
3OAR120,0.0,0.41912971227443907
AACPS7,0.0,2.4199999999999875
3OAR121,0.011725494919362896,0.269299484681611
3OAR140,0.020532197112017432,0.41912971227443807
ACLDC,0.0,4.576087866934001
ACLS,0.0,6.499463291974758
3OAR141,0.011725494919362896,0.2692994846816148
ACLS_a,0.0,1.0755555555555596
AACPS8,0.0,2.4199999999999733
ACMAMUT,0.0,0.0
ACMANAptspp,0.0,0.0
ACMANAtex,0.0,0.0
3OAR160,0.0,0.3917667425938017
3OAR161,0.011725494919362896,0.20926093312352778
3OAR180,0.0,0.3687183448553193
3OAR181,0.004428513102591995,0.1617019511632615
3OAR40,0.06557218832587919,0.2647036168972925
3OAR60,0.06557218832587919,0.2647036168972925
ACMUMptspp,0.0,0.0
ACMUMtex,0.0,0.0
AACPS9,0.0,2.4199999999999413
ACOAD1f,0.0,0.11295995536029729
ADNK1,0.0,2.4199999999999884
ACOAD2f,0.0,0.11295995536029746
AADDGT,0.0,0.0
ACOAD3f,0.0,0.11295995536029746
ACOAD4f,0.0,0.2299067326744878
ADNUC,0.0,2.4199999999999893
ADNt2pp,0.0,0.0
AAMYL,0.0,0.0
ADNtex,0.0,0.0
ADOCBIK,0.0,0.0
ACOAD5f,0.0,0.3687183448553257
ACOAD6f,-0.06432805012725834,0.36658764515501463
ACOAD7f,-0.02553838845582171,0.3687183448553194
ACOAD8f,0.0,0.36871834485532545
ADOCBLS,0.0,0.0
ADOCBLabcpp,0.0,0.0
AAMYLpp,0.0,0.0
ADOCBLtonex,0.0,0.0
ADPRDP,0.0,0.6049999999999746
ADPT,0.0,2.4200000000000697
ADSK,0.0,0.5
ACOATA,-2.4200000000000363,0.2647036168973154
ACODA,0.0,1.1183309662056269
ADSL1r,0.02742658682855046,1.2374265868285668
AB6PGH,0.0,0.0
ADSL2r,0.06416311597505223,0.34519865956680906
ADSS,0.02742658682855046,1.2374265868285677
AGDC,0.0,0.0
ACOLIPAtex,0.0,0.0
ACONIs,0.0,0.0
ACONMT,0.0,0.0
ABTA,0.0,1.268168797081677
ACONTa,-2.8591620979449943,3.515465582453697
AGM3PA,0.0,0.0
ACONTb,-2.8591620979449943,3.515465582453697
AGM3PApp,0.0,0.15125000000000005
ABTDG,0.0,0.0
AGM3PH,0.0,0.0
ACOTA,-1.118330966205586,0.0
AGM3Pt2pp,0.0,0.0
ACPS1,0.0,0.0
ABUTD,0.0,1.2681687970815898
ACS,0.0,998.2369327652252
AGM4PA,0.0,0.0
AGM4PApp,0.0,0.1536507936510056
ACSERtex,-2.3250344906352334,0.0
AGM4PCP,0.0,0.0
ACSERtpp,0.0,2.3250344906369564
ABUTt2pp,0.0,0.0
ACTD,0.0,2.9120559153204733
ACTDa,0.0,2.912055915320582
AGM4PCPpp,0.0,0.1512500000000422
AGM4PH,0.0,0.0
AGM4Pt2pp,0.0,0.0
AGMH,0.0,0.0
AGMHE,0.001761340438530907,0.0019570449317010143
ACt2rpp,-1000.0,-1.773333333334882
ACt4pp,0.0,998.2266666666651
ACtex,-5.0,-1.7733333333349037
ADA,0.0,1.2100000000005195
ABUTtex,0.0,0.0
ADCL,0.0,0.0
ACACT1r,-0.11295995536030004,1000.0
AGMPTRCtpp,0.0,1.3423783731568468
ACALD,-23.494860649976893,992.7499800823505
ACALDtex,-9.679999999999907,0.0
AGMT,0.0,1.342378373157858
AGMt2pp,0.0,0.0
ADCPS1,0.0,0.0
ACALDtpp,-9.679999999999907,0.0
ADCS,0.0,0.0
AGMtex,-1.3423783731570296,0.0
AGPAT120,0.0,0.5694117647066932
AGPAT140,0.0,0.5718273173063935
ACANTHAT,0.0,0.0
ACBIPGT,0.0,0.0
ACCOAC,0.43263553571572044,2.852635535715166
ACGAL1Ptex,0.0,0.0
ADNCYC,0.0,2.4200000000003
ADCYRS,0.0,0.0
ADD,0.0,1.2099999999955948
AGPAT141,0.0,0.5718273173069592
ALAtex,0.0,1.0
AGPAT160,0.011524198869245078,0.5809359635744223
AGPAT161,0.0036484909083854505,0.5730602556150574
AGPAT180,0.0,0.5694117647051773
AGPAT181,0.0022142565512959975,0.5716260212579679
AGPR,-1.2484978695850226,0.0
AGt3,0.0,0.0
ADEt2rpp,-0.28103554359176286,0.0
ADEtex,-0.28103554359176286,0.0
ADK1,-1000.0,1000.0
ADK3,-1000.0,999.9413725254038
ADK4,-2.4200000000031423,0.0
ADMDC,0.0,0.0
ARGt3pp,0.0,1.9360000000017061
ARGtex,-0.3423783731564111,1.0
AHCi,0.0,1.2100000000054933
AHCYSNS,0.0,0.0
23DK5MPPISO,0.0,0.0
ALCD19,-1.075768034716082,0.0
ASAD,-1.6855482913080997,-0.0722149579797672
ASCBPL,0.0,0.0
AICART,0.06416311597564128,0.4254945291645102
AIRC2,0.06416311597564128,0.34519865956688683
AIRC3,-0.34519865956655876,-0.06416311597505009
AKGDH,0.0,4.57868939760484
ASCBptspp,0.0,0.0
ASCBtex,0.0,0.0
ASNN,0.0,3.3686695072187787
AKGt2rpp,-3.7593402770057542,0.0
ALCD2x,-23.494860649977106,-5.516702374324609
AKGtex,-3.759340277009988,0.0
ALAALAabcpp,0.0,0.0
ALAALAr,0.005535641378239993,0.15918643502912838
ALAALAtex,0.0,0.0
