,minimum,maximum
EX_agm_e,0.0,0.9209345794379615
EX_akg_e,0.0,1.539687499993918
EX_ala_B_e,0.0,0.0
EX_ala__D_e,0.0,1.5199703924128793
EX_ala__L_e,0.0,2.1897777777750207
EX_alaala_e,0.0,0.757999999999063
EX_all__D_e,0.0,0.0
EX_acmum_e,0.0,0.0
EX_arbtn_fe3_e,0.0,0.0
EX_arg__L_e,0.0,0.9124074074061868
EX_acnam_e,0.0,0.0
EX_alltn_e,0.0,1.6651652866070672
EX_acolipa_e,0.0,0.0
EX_ascb__L_e,0.0,0.0
EX_amp_e,0.0,0.0
EX_asn__L_e,0.0,1.8154509622942094
EX_aso3_e,0.0,0.0
EX_anhgm_e,0.0,0.2898235294114456
EX_asp__L_e,0.0,1.9567311928215685
EX_btn_e,0.0,0.0
EX_arab__L_e,0.0,0.0
EX_but_e,0.0,0.0
EX_butso3_e,0.0,0.0
EX_ca2_e,-0.0053711554679865305,-0.004834039921187922
EX_acser_e,0.0,1.3482035296384083
EX_ade_e,0.0,1.1481562037959558
EX_cbi_e,0.0,0.0
EX_arbt_e,0.0,0.0
EX_adn_e,0.0,0.5793691443120679
EX_arbtn_e,0.0,0.0
EX_adocbl_e,0.0,0.0
EX_ag_e,0.0,0.0
EX_colipa_e,0.0,0.0
EX_cbl1_e,0.0,0.0
EX_cd2_e,0.0,0.0
EX_cgly_e,0.0,0.7411453402615839
EX_chol_e,0.0,0.0
EX_chtbs_e,0.0,0.0
EX_cit_e,0.0,1.3138666666656986
EX_cl_e,-0.0053711554679865305,-0.004834039921187922
EX_cm_e,0.0,0.0
EX_cmp_e,0.0,0.0
EX_co2_e,13.261189171917112,25.29946475034284
EX_cynt_e,0.0,0.0
EX_cys__D_e,0.0,0.0
EX_cobalt2_e,-2.5797350120909218e-05,-2.3218251302535646e-05
EX_cys__L_e,0.0,1.0908458059771218
EX_cytd_e,0.0,0.6687232932928681
EX_dopa_e,0.0,0.0
EX_colipap_e,0.0,0.0
EX_dha_e,0.0,2.0442273030717404
EX_dimp_e,0.0,0.0
EX_dad_2_e,0.0,0.0
EX_damp_e,0.0,0.0
EX_cpgn_e,0.0,0.0
EX_dca_e,0.0,0.0
EX_dcmp_e,0.0,0.0
EX_din_e,0.0,0.0
EX_dms_e,0.0,0.0
EX_dmso_e,0.0,0.0
EX_dcyt_e,0.0,0.0
EX_cpgn_un_e,0.0,0.0
EX_ddca_e,0.0,0.0
EX_doxrbcn_e,0.0,0.0
EX_dtmp_e,0.0,0.0
EX_crn_e,0.0,0.0
EX_dump_e,0.0,0.0
EX_duri_e,0.0,0.0
