,minimum,maximum
EX_agm_e,0.0,1.2157947050454903
EX_akg_e,0.0,2.9573001764180273
EX_ala_B_e,0.0,0.0
EX_ala__D_e,0.0,0.48142060563313094
EX_ala__L_e,-1.0,5.0
EX_alaala_e,0.0,0.2384999999999902
EX_all__D_e,0.0,0.0
EX_acmum_e,0.0,0.0
EX_arbtn_fe3_e,0.0,0.0
EX_arg__L_e,-1.0,0.15066284584671497
EX_acnam_e,0.0,0.0
EX_alltn_e,0.0,0.26974213484177767
EX_acolipa_e,0.0,0.0
EX_ascb__L_e,0.0,0.0
EX_amp_e,0.0,0.0
EX_asn__L_e,-1.0,1.0785847201512935
EX_aso3_e,0.0,0.0
EX_anhgm_e,0.0,0.1589999999999968
EX_asp__L_e,-1.0,2.1087638826802713
EX_btn_e,-6.773150753075715e-07,0.0
EX_arab__L_e,0.0,0.0
EX_but_e,-3.4118256716892192,0.0
EX_butso3_e,0.0,0.0
EX_ca2_e,-0.0018400630424269112,-0.0016560567381842244
EX_acser_e,0.0,1.9698815714875821
EX_ade_e,0.0,0.2575069291250004
EX_cbi_e,0.0,0.0
EX_arbt_e,0.0,0.0
EX_adn_e,0.0,0.20445289753169077
EX_arbtn_e,0.0,0.0
EX_adocbl_e,0.0,0.0
EX_ag_e,0.0,0.0
EX_colipa_e,0.0,0.0
EX_cbl1_e,0.0,0.0
EX_cd2_e,0.0,0.0
EX_cgly_e,0.0,0.5299999999999754
EX_chol_e,0.0,0.0
EX_chtbs_e,0.0,0.0
EX_cit_e,0.0,1.8138152417063742
EX_cl_e,-0.0018400630424269112,-0.0016560567381842244
EX_cm_e,0.0,0.0
EX_cmp_e,0.0,0.0
EX_co2_e,-1.8224617474962912,28.3322589997479
EX_cynt_e,0.0,0.0
EX_cys__D_e,0.0,0.0
EX_cobalt2_e,-8.595172418404119e-06,-7.954163007609147e-06
EX_cys__L_e,-1.0,0.4687961366876696
EX_cytd_e,0.0,0.3012631578947371
EX_dopa_e,0.0,0.0
EX_colipap_e,0.0,0.0
EX_dha_e,0.0,2.3849999999999767
EX_dimp_e,0.0,0.0
EX_dad_2_e,0.0,0.0
EX_damp_e,0.0,0.0
EX_cpgn_e,0.0,0.0
EX_dca_e,0.0,0.0
EX_dcmp_e,0.0,0.0
EX_din_e,0.0,0.0
EX_dms_e,0.0,0.0
EX_dmso_e,0.0,0.0
EX_dcyt_e,0.0,0.0
EX_cpgn_un_e,0.0,0.0
EX_ddca_e,0.0,0.0
EX_doxrbcn_e,0.0,0.0
EX_dtmp_e,0.0,0.0
EX_crn_e,0.0,0.0
EX_dump_e,0.0,0.0
EX_duri_e,0.0,0.0
EX_eca4colipa_e,0.0,0.0
EX_dgmp_e,0.0,0.0
EX_dgsn_e,0.0,0.0
EX_enlipa_e,0.0,0.056338582677164364
EX_crn__D_e,0.0,0.0
EX_enter_e,0.0,0.09636363636361563
EX_etha_e,0.0,0.5959348590041041
EX_fe2_e,-0.01,1.7323970495791188
EX_ethso3_e,0.0,0.0
EX_csn_e,0.0,0.0
EX_etoh_e,0.0,23.41944672628866
EX_f6p_e,0.0,0.0
EX_fald_e,0.0,0.0
EX_fe3_e,-1.737507122061813,-0.0024842441905364885
EX_feoxam_un_e,0.0,0.0
