UP name,NCBI taxonomy name,Assembly ID (UP matched),Present in GFKB v3 (Y/N),Present in GFKB_epilepsy v3 (Y/N),Present in GFKB v5 (Y/N),In BiGG Models (Y/N),BiGG Model Link
Acidaminococcus fermentans (strain ATCC 25085 / DSM 20731 / VR4),Acidaminococcus fermentans DSM 20731,GCA_000025305.1,Y,Y,N,N,
Acidaminococcus intestini (strain RyC-MR95),Acidaminococcus intestini RyC-MR95,GCA_000230275.1,Y,Y,N,N,
Acidovorax sp KKS102,Acidovorax sp. KKS102,GCA_000302535.1,Y,Y,N,N,
Adlercreutzia equolifaciens DSM 19450,Adlercreutzia equolifaciens DSM 19450,GCA_000478885.1,Y,Y,N,N,
Agathobacter rectalis (strain ATCC 33656 / DSM 3377 / JCM 17463 / KCTC 5835 / VPI 0990) (Eubacterium rectale),Eubacterium rectale ATCC 33656,GCA_000020605.1,Y,Y,N,N,
Akkermansia muciniphila (strain ATCC BAA-835 / Muc),Akkermansia muciniphila ATCC BAA-835,GCA_000020225.1,Y,Y,N,N,
Akkermansia muciniphila YL44,Akkermansia muciniphila,GCA_001688765.2,N,Y,N,N,
Alistipes communis strain 5CBH24,Alistipes communis 5CBH24,GCA_006542665.1,N,N,Y,N,
Alistipes finegoldii (strain DSM 17242 / JCM 16770 / AHN 2437 / CCUG 46020 / CIP 107999),Alistipes finegoldii DSM 17242,GCA_000265365.1,Y,Y,N,N,
Alistipes onderdonkii subsp. vulgaris strain 5CPYCFAH4,Alistipes onderdonkii subsp. vulgaris strain 5CPYCFAH4,GCA_006542705.1,N,N,Y,N,
Alistipes shahii WAL 8301,Alistipes shahii WAL 8301,GCA_000210575.1,Y,Y,N,N,
Anaerococcus prevotii (strain ATCC 9321 / DSM 20548 / JCM 6508 / PC1) (Peptostreptococcus prevotii) (Peptococcus prevotii),Anaerococcus prevotii DSM 20548,GCA_000024105.1,Y,Y,N,N,
Anaerostipes hadrus,Anaerostipes hadrus,GCA_001998765.1,N,Y,N,N,
Anaerostipes hadrus,Anaerostipes hadrus,GCA_000210695.1,Y,Y,N,N,
Bacillus cytotoxicus,Bacillus cytotoxicus NVH 391-98,GCA_002251045.1,Y,Y,N,N,
Bacillus methanolicus MGA3,Bacillus methanolicus MGA3,GCA_000724485.1,Y,Y,N,N,
Bacteroides caccae ATCC 43185,Bacteroides caccae,GCA_002222615.2,N,Y,N,N,
